Name,App,T,G,FG,Pts
Luke Bailey,21.0,0,0,0,0
Greg Bird,19.0,3,1,1,15
Riley Brown,6.0,0,0,0,0
Preston Campbell,19.0,1,11,0,26
Luke Capewell,7.0,1,0,0,4
Nathan Friend,4.0,0,0,0,0
Kevin Gordon,2.0,0,0,0,0
Ashley Harrison,13.0,1,0,0,4
Michael Henderson,16.0,0,0,0,0
Beau Henry,4.0,0,0,0,0
Ryan James,14.0,0,0,0,0
Anthony Laffranchi,14.0,1,1,0,6
Brenton Lawrence,9.0,0,0,0,0
Kayne Lawton,1.0,0,0,0,0
Will Matthews,5.0,1,0,0,4
David Mead,24.0,16,0,0,64
Brad Meyers,2.0,1,0,0,4
Steve Michaels,23.0,10,0,0,40
Mark Minichiello,23.0,3,0,0,12
Luke O'Dwyer,19.0,1,0,0,4
Dominique Peyroux,4.0,1,0,0,4
Scott Prince,19.0,5,38,0,96
Jordan Rankin,8.0,0,0,0,0
Ben Ridge,11.0,0,0,0,0
Mat Rogers,1.0,0,0,0,0
Matt Srama,14.0,1,0,0,4
Sam Tagataese,8.0,1,0,0,4
Bodene Thompson,22.0,3,0,0,12
Joe Tomane,3.0,2,0,0,8
Esikeli Tonga,12.0,3,0,0,12
Clinton Toopi,13.0,0,0,0,0
Matthew White,23.0,0,0,0,0
William Zillman,24.0,10,0,0,40
Totals,,65,51,1,363
