Rank,Player,Points scored,Caps,Points per game
1.0,Panagiotis Giannakis,6291,403,15.6
2.0,Nikos Galis,5167,169,30.6
3.0,Fanis Christodoulou,2754,262,10.5
4.0,Antonis Fotsis,2699,258,10.5
5.0,Panagiotis Fasoulas,2538,261,9.7
6.0,Nikos Oikonomou,2511,191,13.1
7.0,Vassilis Spanoulis,2314,211,11.0
8.0,Nikos Zisis,2112,245,8.6
9.0,Georgios Sigalas,1923,235,8.2
10.0,Georgios Kolokythas,1910,94,20.3
11.0,Fragiskos Alvertis,1892,189,10.2
12.0,Lazaros Papadopoulos,1872,184,9.8
13.0,Takis Koroneos,1836,151,12.2
14.0,Kostas Sloukas,1748,208,8.4
15.0,Kostas Papanikolaou,1740,219,7.9
16.0,Ioannis Bourousis,1737,189,9.2
17.0,Kostas Vasileiadis,1734,122,14.2
18.0,Vassilis Goumas,1695,118,14.4
19.0,Efthimis Rentzias,1652,170,9.7
20.0,Nasos Galakteros,1645,136,12.1
21.0,Georgios Kastrinakis,1616,158,10.2
22.0,Angelos Koronios,1595,158,10.1
23.0,Nikos Pappas,1555,114,13.6
24.0,Apostolos Kontos,1547,141,11.0
25.0,Georgios Trontzos,1543,136,11.3
26.0,Michalis Kakiouzis,1521,166,9.2
27.0,Dimitris Papanikolaou,1514,164,9.2
28.0,Steve Giatzoglou,1468,115,12.8
29.0,Manthos Katsoulis,1364,165,8.3
30.0,Georgios Printezis,1358,159,8.5
31.0,Dimos Dikoudis,1319,144,9.2
32.0,Dimitris Kokolakis,1290,179,7.2
33.0,Nick Calathes,1281,149,8.6
34.0,Charis Papageorgiou,1269,105,13.1
35.0,Liveris Andritsos,1233,215,5.7
36.0,Christos Myriounis,1188,84,14.1
37.0,Christos Tapoutos,1153,91,12.7
38.0,Nikos Philippou,1110,143,7.8
39.0,Michalis Giannouzakos,1100,176,6.3
40.0,Georgios Amerikanos,1094,69,15.9
41.0,Sotiris Sakellariou,1080,176,6.1
42.0,Dinos Angelidis,1074,121,8.9
43.0,Thodoris Papaloukas,1073,150,7.2
44.0,Dimitris Papanikolaou,1071,131,8.2
45.0,Stratos Perperoglou,1054,124,8.5
46.0,Efthimis Rentzias,1049,127,8.3
47.0,Kostas Petropoulos,1037,101,10.3
48.0,Kostas Patavoukas,1012,191,5.3
