Year,Nationality,Inductee,Position,Club(s)
2013,England,George Chuter,Player,"Saracens, Leicester"
2013,England,Charlie Hodgson,Player,"Sale, Saracens"
2013,Ireland,Geordan Murphy,Player/Coach,Leicester
2014,England,Martin Johnson,Player,Leicester
2014,England,Lewis Moody,Player,"Leicester, Bath"
2014,England,Ed Morrison,Referee,Not applicable
2014,Scotland,Tom Walkinshaw,Owner,Gloucester
2015,England,Lawrence Dallaglio,Player,Wasps
2015,England,Josh Lewsey,Player,"Bristol, Wasps"
2015,England,Simon Shaw,Player,"Bristol, Wasps"
2015,England,James Simpson-Daniel,Player,Gloucester
2015,England,Phil Vickery,Player,"Gloucester, Wasps"
2015,England,Peter Wheeler,Chief Executive,Leicester
2015,England,Jonny Wilkinson,Player,Newcastle
2016,England,Neil Back,Player,Leicester
2016,England,Mark Cueto,Player,Sale
2016,England,Richard Hill,Player/Coach,Saracens
2016,England,Mike Tindall,Player,"Bath, Gloucester"
2016,England,Hugh Vyvyan,Player,"Newcastle, Saracens"
2017,England,Steve Borthwick,Player/Coach,"Bath , Saracens , Leicester"
2017,England,Kyran Bracken,Player,"Bristol, Saracens"
2017,England,Nick Easter,Player/Coach,"Harlequins , Newcastle, Worcester"
2017,England,Ben Kay,Player,Leicester
2017,England,Jason Robinson,Player,Sale
2019,England,Matt Dawson,Player,"Northampton, Wasps"
2019,New Zealand,Nick Evans,Player/Coach,Harlequins
2019,England,Jason Leonard,Player,"Saracens, Harlequins"
2021,England,Christian Day,Player,"Sale, Northampton"
2021,England,Andy Goode,Player,"Leicester, Saracens, Worcester, Wasps, Newcastle"
2021,England,Paul Grayson,Player/Coach,Northampton
2021,England,Steve Thompson,Player,"Northampton, Leeds, Wasps"
2022,England,Will Greenwood,Player,"Harlequins, Leicester"
2022,England,Tom Varndell,Player,"Leicester, Wasps, Bristol"
2022,England,Trevor Woodman,Player/Coach,Gloucester
2023,England,Matt Banahan,Player,"Bath, Gloucester"
2023,England,Brad Barritt,Player,Saracens
2023,England,Tom Youngs,Player,Leicester
2024,England,Danny Grewcock,Player/Coach,"Saracens , Bath , Bristol"
2024,England,Paul Sackey,Player,"Bedford, London Irish, Wasps, Harlequins"
2024,England,Richard Wigglesworth,Player/Coach,"Sale, Saracens , Leicester"
