Year,Name,Sides
1726,Perry,London
1726,Piper,Hampton
1727,"Alan Brodrick, 2nd Viscount Midleton",Surrey
1727,Thomas Waymark,Sussex and Berkshire
1729,John Chitty,Surrey
1730,Mr Andrews,Sunbury and Surrey
1731,"Frederick, Prince of Wales",Surrey
1731,Tim Coleman,London
1731,Thomas Chambers,Middlesex
1734,"Charles Sackville, 2nd Duke of Dorset",Kent
1734,Lord John Sackville,Kent
1735,Cook,Brentford
1735,Dunn,London
1735,Ellis,London
1735,Wakeland,London
1735,Wheatley,London
1735,Marshall,London
1735,Pool,London
1735,Mr Jervoise,Croydon
1735,Wood,Woodcot
1736,George Oldner,London
1737,John Boots,
1737,"Charles Spencer, 3rd Duke of Marlborough",London
1739,John Bowra,Bromley
1740,Darville,Berkshire
1740,John Newland,"Slindon, England"
1740,George Smith,London
1741,"John Russell, 4th Duke of Bedford",Bedfordshire
1741,"George Montagu-Dunk, 2nd Earl of Halifax",Northamptonshire
1741,"John Montagu, 4th Earl of Sandwich",Huntingdonshire
1741,Richard Grenville,Buckinghamshire
1743,Richard Newland,"Slindon, England"
1743,John Bryant,Kent and Slindon
1743,John Cutbush,Kent
1743,Ridgeway,Sussex
1743,Robert Colchin,Bromley and Kent
1743,Tom Peake,Chelsfield and Kent
1743,Val Romney,Sevenoaks and Kent
1743,William Hodsoll,Dartford and Kent
1743,William Sawyer,Richmond and Surrey
1743,Lord Montfort,London
1743,Stephen Rose,Chertsey
1744,Adam Newland,"Slindon, England"
1744,Little Bennett,London
1744,Tall Bennett,London
1744,Collins,Surrey
1744,Edward Aburrow Sr,Slindon and Sussex
1744,George Jackson,Addington and Surrey
1744,Green,Amberley and Sussex
1744,Howlett,London
1744,James Bryant,"Bromley, Kent"
1744,James Love,Richmond
1744,Joseph Harris,Addington and Surrey
1744,John Harris,Addington and Surrey
1744,John Mills,Horsmonden and Kent
1744,Kips,Eltham and Kent
1744,Maynard,Surrey
1744,Norris,London
1744,Stephen Dingate,"Reigate, Surrey"
1744,Stevens,Surrey
1744,Tom Faulkner,Addington and Surrey
1744,Andrews,Slindon and Sussex
1744,Bartram,Kent
1744,Butler,London
1744,Danes,Kent
1744,Hoder,London
1744,Mills,Kent
1745,Broad,Addington and Surrey
1745,John Borah,Long Robin's XI
1745,Howard,Kent
1745,Robert Lascoe,Bromley and Kent
1745,William Anderson,London
1745,Hodge,Long Robin's XI
1745,Jacob Mann,Richard Newland's XI
1745,Martin,Richard Newland's XI
1745,Norton,Richard Newland's XI
1747,John Bell,Dartford and Kent
1747,Thomas Bell,Dartford and Kent
1747,J Mansfield,England
1747,John Larkin,Hadlow
1747,Jones,
1747,Joseph Rudd,Sussex
1747,Pye,Sussex
1747,Robert Eures,Bexley and Kent
1747,Thomas Jure,London
1747,Allen,Kent and Middlesex
1747,Henry Venn,England
1748,Durling,Addington and Surrey
1748,Joseph Budd,
1748,John Capon,London and Surrey
1748,George Carter,London
1748,Walker,London
1748,Robin,
1749,John Frame,Dartford and Kent
1749,Perry,Surrey
1749,Humphreys,Surrey
1749,John Calchin,Bromley
1749,Joseph Hitches,Colchin's XI
1749,Thomas Southam,Colchin's XI
1749,Robinson,Faulkner's XI
1750,Garrett,Kent
1750,Rawlins,Kent
1750,Robert Bartholomew,Surrey
1750,Thomas Brandon,Dartford and Kent
1750,Frame,Surrey
