Songs,McCartney,Anderson,Ray,Wickens,Laboriel
Hello Goodbye or Magical Mystery Tour,Bass,Electric Guitar,Electric Guitar,Keyboards,Drums
Junior's Farm,Bass,Electric Guitar,Electric Guitar,Keyboards,Drums
All My Loving,Bass,Electric Guitar,Electric Guitar,Electric Guitar,Drums
Jet,Bass,Electric Guitar,Electric Guitar,Keyboards,Drums
Drive My Car or Got to Get You into My Life,Bass,Electric Guitar,Electric Guitar,Keyboards,Drums
Sing the Changes,Bass,Electric Guitar,Acoustic Guitar,Keyboards,Drums
The Night Before,Bass,Electric Guitar,Electric Guitar,Keyboards,Drums
Let Me Roll It,Electric Guitar,Electric Guitar,Bass,Keyboards,Drums
Paperback Writer,Electric Guitar,Electric Guitar,Bass,Keyboards,Drums
The Long and Winding Road,Piano,Electric Guitar,Bass,Keyboards,Drums
Nineteen Hundred and Eighty Five,Piano,Electric Guitar,Bass,Keyboards/Maracas,Drums
Let 'Em In or Come and Get It or My Valentine,Piano,Electric Guitar or Acoustic Guitar,Bass,Keyboards,Drums
Maybe I'm Amazed,Piano,Electric Guitar,Bass,Keyboards,Drums
I've Just Seen a Face or I'm Looking Through You or Things We Said Today,Acoustic Guitar,Acoustic Guitar,Bass,Shaker or Tambourine/Keyboards or Acoustic Guitar,Drums
Hope of Deliverance,Acoustic Guitar,Acoustic Guitar,Acoustic Guitar,Acoustic Guitar,Bass
And I Love Her or I Will,Acoustic Guitar,Acoustic Guitar,Bass,Claves or Acoustic Guitar,Drums
Blackbird,Acoustic Guitar,,,,
Here Today,Acoustic Guitar,,,,
Dance Tonight,Mandolin,Electric Guitar,Bass,Keyboards,Drums
Every Night,Acoustic Guitar,Electric Guitar,Bass,Keyboards,Drums
Mrs. Vandebilt,Acoustic Guitar,Electric Guitar,Bass,Keyboards,Drums
Eleanor Rigby,Acoustic Guitar,,,Keyboards,
Michelle,Acoustic Guitar,Acoustic Guitar,Bass,Keyboards,Drums
Ram On,Ukulele,Electric Guitar,Bass,Keyboards,Drums
Something,Ukulele/Acoustic Guitar,Electric Guitar,Bass,Keyboards,Drums
Yellow Submarine,Acoustic Guitar,Electric Guitar,Bass,Keyboards,Drums
Band on the Run,Bass,Electric Guitar,Electric Guitar/Acoustic Guitar,Keyboards,Drums
Ob-La-Di Ob-La-Da,Bass,Electric Guitar,Acoustic Guitar,Keyboards,Drums
Back in the U.S.S.R.,Bass,Electric Guitar,Electric Guitar,Keyboards,Drums
I've Got a Feeling,Electric Guitar,Electric Guitar,Bass,Keyboards,Drums
A Day in the Life/Give Peace a Chance,Bass,Acoustic Guitar,Acoustic Guitar,Keyboards,Drums
Let It Be,Piano,Electric Guitar,Bass,Keyboards,Drums
Live and Let Die,Piano,Electric Guitar,Bass,Keyboards,Drums
Hey Jude,Piano,Electric Guitar,Bass,Keyboards,Drums
Lady Madonna or The Word/All You Need Is Love,Piano or Bass,Electric Guitar,Bass or Electric Guitar,Keyboards,Drums
Day Tripper,Bass,Electric Guitar,Electric Guitar,Tambourine,Drums
Get Back,Bass,Electric Guitar,Electric Guitar,Keyboards,Drums
Yesterday,Acoustic Guitar,,,Keyboards,
Helter Skelter,Bass,Electric Guitar,Electric Guitar,Electric Guitar,Drums
Golden Slumbers/Carry That Weight/The End,Piano/Electric Guitar,Electric Guitar,Bass/Electric Guitar,Keyboards,Drums
