Name and Members,Parent Unit
Lt Col A.O. Mitha,2 Grenadiers & 9/8 Punjab
Lt Col Aslam Khan,Punjab Regiment
Col Syed Ghaffar Mehdi,15 Punjab Regiment
Brigadier Naseer Chaudhry,Frontier Force Regiment
Brigadier Sherullah Beg,18 Punjab Regiment
Brigadier Ghulam Muhammad,12 Baluch
Brigadier Saleem Zia,
Brigadier Hakeem Arshad Qureshi,11 and 26 Frontier Force Regiment
Brigadier Waheed Arshad Gejial,Guides Infantry
Brigadier Rafiuddin Ahmad,2 Baluch
Brigadier Tariq Mahmood,2 Baluch
Brigadier Mohammad Akram,
Brigadier Mohammad Nazir,Punjab Regiment
Brigadier Hamid Rabnawaz,Frontier Force Regiment
Brigadier Kamal Shaukat,Azad Kashmir Regiment
Brigadier Ameer Faisal Alvi,26 Cavalry
Brigadier Haroon Aslam,Azad Kashmir Regiment
Major General Ameer Faisal Alvi,26 Cavalry
Major General Tahir Mahmud,Punjab Regiment
Major General Haroon Aslam,Azad Kashmir Regiment
Major General Farrukh Bashir,
Major General Abid Rafiq,
Major General Tahir Masood Bhutta,54 Punjab Regiment
Major General Mumtaz Hussain,Punjab Regiment
Major General Adil Rehmani,Frontier Force Regiment
Major General Ahmad Jawad,28 Baloch Regiment/ Special Services
