Year,Program,Episode,Nominees,Network
2010,,,,
2010,Robot Chicken,Full-Assed Christmas Special,"Seth Green and Matthew Senreich, executive producers/written by; Keith Crofford and Mike Lazzo, executive producers; Alexander Bulkley, Corey Campodonico and Ollie Green, producers; Tom Root and Douglas Goldstein, head writers; Hugh Davidson, Mike Fasolo, Kevin Shinick and Zeb Wells, written by; Chris McKay, directed by; Ethan Marak, animation director",Adult Swim
2010,Adventure Time,My Two Favorite People,"Brian A. Miller, Jennifer Pelphrey, Curtis Lelash, Rob Swartz, Rob Sorcher, Derek Drymon and Fred Seibert, executive producers; Kevin Kolde, supervising producer; Kelly Crews, producer; Merriwether Williams and Tim McKeon, story by; Pendleton Ward and Kent Osborne, written by; Larry Leichliter, director/supervising director; Dong Kun Won, overseas director",Cartoon Network
2010,Chowder,The Toots,"Brian A. Miller, executive producer; C. H. Greenblatt, executive producer/story by; Jennifer Pelphrey, supervising producer; Louis Cuck, producer; Kevin A. Kramer, William Reiss and Ian Wasseluk, story by; Eddy Houchins, directed by/supervising director",Cartoon Network
2010,Kick Buttowski: Suburban Daredevil,Racing the Schoolbus,"Chris Savino, executive producer/written by/directed by; Sandro Corsaro, supervising producer; Janelle Momary-Neely, producer",Disney
2010,The Marvelous Misadventures of Flapjack,Tee Hee Tummy Tums,"Brian A. Miller and Thurop Van Orman, executive producers; Jennifer Pelphrey, supervising producer; Pernelle Hayes, producer; Kent Osborne, story by; Patrick McHale and Somvilay Xayaphone, written by; John McIntyre, supervising director; Larry Leichliter, sheet timing",Cartoon Network
2010,Uncle Grandpa,Pilot,"Brian A. Miller, Jennifer Pelphrey, Rob Sorcher and Craig McCracken, executive producers; Peter Browngardt, executive producer/story by/written by; Rob Renzetti, supervising producer; Janet Dimon, producer; Robert Alvarez, animation director",cartoonnetwork.com
2011,,,,
2011,Prep & Landing: Operation Secret Santa,Prep & Landing: Operation Secret Santa,"John Lasseter, executive producer; Dorothy McKim, producer; Kevin Deters and Stevie Wermers, written by/directed by",ABC
2011,Adventure Time,It Came from the Nightosphere,"Brian A. Miller, Jennifer Pelphrey, Curtis Lelash, Rob Swartz, Rob Sorcher and Fred Seibert, executive producers; Thurop Van Orman, supervising producer/story by; Kevin Kolde, supervising producer; Kelly Crews, producer; Pendleton Ward, Patrick McHale, Merriwether Williams and Steve Little, story by; Adam Muto and Rebecca Sugar, written by; Larry Leichliter, supervising director; Dong Kun Won, overseas director",Cartoon Network
2011,Regular Show,Mordecai and the Rigbys,"Brian A. Miller, Jennifer Pelphrey, Curtis Lelash, Rob Swartz, Rob Sorcher and J. G. Quintel, executive producers; Chris Reccardi, supervising producer; Janet Dimon, producer; Sean Szeles and Shion Takeuchi, written by; Matt Price and Mike Roth, writers; Brian Sheesley and Robert Alvarez, animation directors; Hwang Gi-Ho, overseas director",Cartoon Network
2011,Robot Chicken,Robot Chicken's DP Christmas Special,"Seth Green and Matthew Senreich, executive producers/written by; Keith Crofford and Mike Lazzo, executive producers; Tom Root and Douglas Goldstein, co-executive producers/head writers; Alexander Bulkley, Corey Campodonico and Ollie Green, producers; Matthew Beans, Mike Fasolo, Brendan Hay, Daniel Libman, Matthew Libman and Zeb Wells, written by; Chris McKay, directed by; Savelen Forrest, animation director",Adult Swim
2011,SpongeBob SquarePants,That Sinking Feeling,"Stephen Hillenburg, executive producer; Paul Tibbitt, executive producer/supervising producer; Dina Buteyn, producer; Mr. Lawrence, written by; Nate Cash and Luke Brookshier, written by/storyboard director; Andrew Overtoom, animation director; Alan Smart, supervising director",Nickelodeon
2012,,,,
2012,Regular Show,Eggscellent,"Brian A. Miller, Jennifer Pelphrey, Curtis Lelash and Rob Sorcher, executive producers; J. G. Quintel, executive producer/written by; Mike Roth, supervising producer/writer; Janet Dimon, producer; Matt Price, Jack Thomas and John Infantino, writers; Robert Alvarez, animation director",Cartoon Network
2012,Adventure Time,Too Young,"Brian A. Miller, Jennifer Pelphrey, Curtis Lelash, Rob Sorcher and Fred Seibert, executive producers; Pendleton Ward, executive producer/story by; Kevin Kolde, supervising producer; Kelly Crews, producer; Tom Herpich and Jesse Moynihan, written by; Mark Banker, Patrick McHale and Kent Osborne, story by; Larry Leichliter, director/supervising director; Dong Kun Won, overseas director; Don Judge and Michel Lyman, sheet timers",Cartoon Network
2012,MAD,Kitchen Nightmare Before Christmas / How I Met Your Mummy,"Sam Register, executive producer; Kevin Shinick, producer/written by; Mark Marek, producer; Aaron Blitzstein, Marly Halpern-Graser, Steve Borst and Greg White, written by; Aaron Horvath, director",Cartoon Network
2012,Phineas and Ferb,The Doonkleberry Imperative,"Dan Povenmire and Jeff Swampy Marsh, executive producers; Martin Olson, story by; Bernie Petterson and Mike Diederich, written by; Jay Lender, directed by; Sue Perrotto, assistant director; Herb Moore, supervising timing director; Barbara Dourmashkin-Case, Eddy Houchcins, Mitch Rochon and Theresa Wiseman, timing directors",Disney
2012,Robot Chicken,Fight Club Paradise,"Seth Green and Matthew Senreich, executive producers/written by; Keith Crofford and Mike Lazzo, executive producers; Tom Root and Douglas Goldstein, co-executive producers/head writers; Alexander Bulkley, Corey Campodonico and Ollie Green, producers; Jordan Allen-Dutton, Matthew Beans, Mike Fasolo, Zeb Wells and Erik Weiner, written by; Chris McKay, directed by; Savelen Forrest, animation director",Adult Swim
2013,,,,
2013,Mickey Mouse,Croissant de Triomphe,"Paul Rudish, executive producer/written by/directed by",Disney.com
2013,Adventure Time,Simon & Marcy,"Brian A. Miller, Jennifer Pelphrey, Curtis Lelash, Rob Sorcher and Fred Seibert, executive producers; Pendleton Ward, executive producer/story by; Adam Muto, supervising producer/supervising director; Kevin Kolde, supervising producer; Kelly Crews, producer; Cole Sanchez and Rebecca Sugar, written by; Patrick McHale and Kent Osborne, story by; Don Judge, timing director; Richard Collado and Michel Lyman, sheet timing; Bong Hee Han, overseas director",Cartoon Network
2013,Clarence,Pilot,"Brian A. Miller, Jennifer Pelphrey, Curtis Lelash and Rob Sorcher, executive producers; Peter Browngardt, supervising producer; Nate Funaro, producer; Skyler Page, writer; Robert Alvarez, timing director",cartoonnetwork.com
2013,Regular Show,A Bunch of Full Grown Geese,"J. G. Quintel, executive producer/writer; Brian A. Miller, Jennifer Pelphrey, Curtis Lelash and Rob Sorcher, executive producers; Mike Roth, supervising producer/written by; Ryan Slater, producer; Calvin Wong, Toby Jones, Matt Price and Michele Cavin, writers; John Davis Infantino, writer/supervising director; Robert Alvarez, animation director; Jong-Cheol Baek, overseas director",Cartoon Network
2013,Robot Chicken,Robot Chicken's ATM Christmas Special,"Seth Green and Matthew Senreich, executive producers/written by; Tom Root and Douglas Goldstein, executive producers/head writers; John Harvatine IV, Eric Towner, Keith Crofford and Mike Lazzo, executive producers; Janet Dimon, supervising producer; Ollie Green, producer; Matthew Beans, Mike Fasolo and Mehar Sethi, written by; Zeb Wells, written by/directed by",Adult Swim
2014,,,,
2014,Mickey Mouse,O Sole Minnie,"Paul Rudish, executive producer/written by/directed by; Derek Dressier, Clay Morrow, Alonso Ramirez Ramos and Aaron Springer, written by; Graham MacDonald, animation director",Disney
2014,Adventure Time,Be More,"Brian A. Miller, Jennifer Pelphrey, Curtis Lelash, Rob Sorcher and Fred Seibert, executive producers; Pendleton Ward, executive producer/story by; Adam Muto, supervising producer/story by; Nick Jennings and Kevin Kolde, supervising producers; Kelly Crews, producer; Tom Herpich and Steve Wolfhard, written by/story by; Patrick McHale and Kent Osborne, story by; Nate Cash, supervising director; Don Judge, timing director; Phil Cummings, Michel Lyman and Helen Roh, sheet timing; Bonghui Han, overseas director",Cartoon Network
2014,Phineas and Ferb,Thanks But No Thanks,"Dan Povenmire and Jeff Swampy Marsh, executive producers; Robert F. Hughes, producer; Martin Olson, story by; Antoine Guilbaud and Kazimieras G. Prapuolenis, written by; Sue Perrotto, director; Derek Thompson, assistant director; Barbara Dourmashkin and Terry Lennon, timing directors",Disney
2014,Regular Show,The Last Laserdisc Player,"J. G. Quintel, executive producer/directed by; Brian A. Miller, Jennifer Pelphrey, Curtis Lelash and Rob Sorcher, executive producers; Mike Roth, supervising producer/writer; Ryan Slater, producer; Calvin Wong, Toby Jones, Matt Price and Michele Cavin, writers; John Davis Infantino and Sean Szeles, supervising directors/writers; Robert Alvarez, animation director; Hwang Gi-Ho, overseas director",Cartoon Network
2014,Robot Chicken,Born Again Virgin Christmas Special,"Seth Green and Matthew Senreich, executive producers/written by; Tom Root and Douglas Goldstein, executive producers/head writers; John Harvatine IV, Eric Towner, Keith Crofford and Mike Lazzo, executive producers; Janet Dimon, supervising producer; Ollie Green, producer; Matthew Beans, Hugh Davidson, Mike Fasolo and Breckin Meyer, writers; Zeb Wells, director/writer",Adult Swim
2015,,,,
