Year,Match,Promotion,Show and venue
1980,Bob Backlund vs. Ken Patera Texas Death Match,World Wrestling Federation,"WWF on MSG Network New York, New York May 19"
1981,Pat Patterson vs. Sgt. Slaughter Alley Fight,World Wrestling Federation,"WWF on MSG Network New York, New York May 4"
1982,Tiger Mask vs. Dynamite Kid,New Japan Pro-Wrestling,"Summer Fight Series II Night 19 Tokyo, Japan August 5"
1983,Ricky Steamboat and Jay Youngblood vs. Sgt. Slaughter and Don Kernodle Steel Cage match,Jim Crockett Promotions,"The Final Conflict Greensboro, North Carolina March 12"
1984,The Freebirds vs. The Von Erichs Anything Goes match,World Class Championship Wrestling,"Independence Day Star Wars Fort Worth, Texas July 4"
1985,Tiger Mask II vs. Kuniaki Kobayashi,All Japan Pro Wrestling,"AJPW Special Wars in Budokan Tokyo, Japan June 21"
1986,Ric Flair vs. Barry Windham,Championship Wrestling from Florida,"Battle of the Belts II Orlando, Florida February 14"
1987,Ricky The Dragon Steamboat vs. Randy Macho Man Savage,World Wrestling Federation,"WrestleMania III Pontiac, Michigan March 29"
1988,Sting vs. Ric Flair,Jim Crockett Promotions,"Clash of the Champions I Greensboro, North Carolina March 27"
1989,Ricky Steamboat vs. Ric Flair Two out of three falls match,World Championship Wrestling,"Clash of the Champions VI New Orleans, Louisiana April 2"
1990,Jushin Thunder Liger vs. Naoki Sano,New Japan Pro-Wrestling,"New Spring Gold Series Osaka, Japan January 31"
1991,Hiroshi Hase and Kensuke Sasaki vs. Steiner Brothers,New Japan Pro-Wrestling World Championship Wrestling,"Starrcade in Tokyo Dome Tokyo, Japan March 21"
1992,Kenta Kobashi and Tsuyoshi Kikuchi vs. Doug Furnas and Dan Kroffat,All Japan Pro Wrestling,"Super Power Series Night 8 Sendai, Japan May 25"
1993,Manami Toyota and Toshiyo Yamada vs. Dynamite Kansai and Mayumi Ozaki,All Japan Women's Pro-Wrestling,"Dream Slam II Osaka, Japan April 11"
1994,Razor Ramon vs. Shawn Michaels Ladder match,World Wrestling Federation,"WrestleMania X New York, New York March 20"
1995,Manami Toyota vs. Kyoko Inoue,All Japan Women's Pro-Wrestling,"G*Top 2nd Tokyo, Japan May 7"
1996,Mitsuharu Misawa and Jun Akiyama vs. Steve Williams and Johnny Ace,All Japan Pro Wrestling,"Super Power Series Night 15 Tokyo, Japan June 7"
1997,Bret Hart vs. Stone Cold Steve Austin Submission match,World Wrestling Federation,"WrestleMania 13 Rosemont, Illinois March 23"
1998,Kenta Kobashi vs. Mitsuharu Misawa,All Japan Pro Wrestling,"October Giant Series Night 18 Tokyo, Japan October 31"
1999,Kenta Kobashi vs. Mitsuharu Misawa,All Japan Pro Wrestling,"Super Power Series Night 14 Tokyo, Japan June 11"
2000,Atlantis vs. Villano III,Consejo Mundial de Lucha Libre,"Juicio Final Mexico City, Mexico March 17"
2001,Keiji Mutoh vs. Genichiro Tenryu,All Japan Pro Wrestling,"Super Power in Budokan Tokyo, Japan June 8"
2002,Kurt Angle and Chris Benoit vs. Edge and Rey Mysterio,World Wrestling Entertainment,"No Mercy North Little Rock, Arkansas October 20"
2003,Kenta Kobashi vs. Mitsuharu Misawa,Pro Wrestling Noah,"Navigate for Evolution Night 9 Tokyo, Japan March 1"
2004,Kenta Kobashi vs. Jun Akiyama,Pro Wrestling Noah,"Departure Tokyo, Japan July 10"
2005,Kenta Kobashi vs. Samoa Joe,Ring of Honor,"Joe vs. Kobashi Manhattan, New York October 1"
2006,"Dragon Kid, Ryo Saito and Genki Horiguchi vs. Cima, Masato Yoshino and Naruki Doi",Ring of Honor,"Supercard of Honor Chicago Ridge, Illinois March 31"
2007,Takeshi Morishima vs. Bryan Danielson,Ring of Honor,"Manhattan Mayhem II Manhattan, New York August 25"
2008,Chris Jericho vs. Shawn Michaels Ladder match,World Wrestling Entertainment/WWE,"No Mercy Portland, Oregon October 5"
2009,The Undertaker vs. Shawn Michaels,World Wrestling Entertainment/WWE,"WrestleMania XXV Houston, Texas April 5"
2010,The Undertaker vs. Shawn Michaels,World Wrestling Entertainment/WWE,"WrestleMania XXVI Glendale, Arizona March 28"
2011,CM Punk vs. John Cena,World Wrestling Entertainment/WWE,"Money in the Bank Rosemont, Illinois July 17"
2012,Hiroshi Tanahashi vs. Minoru Suzuki,New Japan Pro-Wrestling,"King of Pro-Wrestling Tokyo, Japan October 8"
2013,Hiroshi Tanahashi vs. Kazuchika Okada,New Japan Pro-Wrestling,"Invasion Attack Tokyo, Japan April 7"
2014,A.J. Styles vs. Minoru Suzuki,New Japan Pro-Wrestling,"G1 Climax 24 Night 7 Tokyo, Japan August 1"
2015,Shinsuke Nakamura vs. Kota Ibushi,New Japan Pro-Wrestling,"Wrestle Kingdom 9 Tokyo, Japan January 4"
2016,Kazuchika Okada vs. Hiroshi Tanahashi,New Japan Pro-Wrestling,"Wrestle Kingdom 10 Tokyo, Japan January 4"
2017,Kazuchika Okada vs. Kenny Omega,New Japan Pro-Wrestling,"Wrestle Kingdom 11 Tokyo, Japan January 4"
2018,Kenny Omega vs. Kazuchika Okada Two out of three falls match,New Japan Pro-Wrestling,"Dominion 6.9 in Osaka-jo Hall Osaka, Japan June 9"
2019,Will Ospreay vs. Shingo Takagi,New Japan Pro-Wrestling,"Best of the Super Juniors 26 Final Tokyo, Japan June 5"
2020,Kenny Omega and Adam Page vs. The Young Bucks,All Elite Wrestling,"Revolution Chicago, Illinois February 29"
2021,The Young Bucks vs. Lucha Brothers Steel Cage match,All Elite Wrestling,"All Out Chicago, Illinois September 5"
2022,Kazuchika Okada vs. Will Ospreay,New Japan Pro-Wrestling,"G1 Climax 32 Final Tokyo, Japan August 18"
2023,Kenny Omega vs. Will Ospreay,New Japan Pro-Wrestling,"Wrestle Kingdom 17 Tokyo, Japan January 4"
2024,Will Ospreay vs. Bryan Danielson,All Elite Wrestling,"Dynasty St. Louis, Missouri April 21"
