Year,Association,Category,Nominee(s),Result
2007,Primetime Emmy Awards,Outstanding Drama Series,Outstanding Drama Series,Won
2007,Primetime Emmy Awards,Outstanding Lead Actor in a Drama Series,James Gandolfini,Nominated
2007,Primetime Emmy Awards,Outstanding Lead Actress in a Drama Series,Edie Falco,Nominated
2007,Primetime Emmy Awards,Outstanding Supporting Actor in a Drama Series,Michael Imperioli,Nominated
2007,Primetime Emmy Awards,Outstanding Supporting Actress in a Drama Series,Lorraine Bracco,Nominated
2007,Primetime Emmy Awards,Outstanding Supporting Actress in a Drama Series,Aida Turturro,Nominated
2007,Primetime Emmy Awards,Outstanding Guest Actor in a Drama Series,Tim Daly,Nominated
2007,Primetime Emmy Awards,Outstanding Directing for a Drama Series,Alan Taylor,Won
2007,Primetime Emmy Awards,Outstanding Writing for a Drama Series,David Chase,Won
2007,Primetime Emmy Awards,Outstanding Writing for a Drama Series,"David Chase, Matthew Weiner",Nominated
2007,Primetime Emmy Awards,Outstanding Writing for a Drama Series,Terrence Winter,Nominated
2007,Golden Globe Award,Best Actress in a Drama Series,Edie Falco,Nominated
2007,Screen Actors Guild Awards,Outstanding Ensemble in a Drama Series,Entire Cast,Won
2007,Screen Actors Guild Awards,Outstanding Actor in a Drama Series,James Gandolfini,Won
2007,Screen Actors Guild Awards,Outstanding Actress in a Drama Series,Edie Falco,Won
2007,Directors Guild of America Awards,Outstanding Directing for a Drama Series,David Chase,Nominated
2007,Directors Guild of America Awards,Outstanding Directing for a Drama Series,Tim Van Patten,Nominated
2007,Writers Guild of America Awards,Best Dramatic Series,Best Dramatic Series,Nominated
2007,Writers Guild of America Awards,Best Dramatic Episode,Terrence Winter,Won
2007,TCA Awards,Outstanding Achievement in Drama,Outstanding Achievement in Drama,Won
