Award,Category,Subject,Result
AACTA Awards,Best Film,Robert Stigwood and Patricia Lovell,Won
AACTA Awards,Best Direction,Peter Weir,Won
AACTA Awards,"Best Screenplay, Original or Adapted",David Williamson,Won
AACTA Awards,Best Actor,Mel Gibson,Won
AACTA Awards,Best Actor,Mark Lee,Nominated
AACTA Awards,Best Supporting Actor,Bill Hunter,Won
AACTA Awards,Best Supporting Actor,Bill Kerr,Nominated
AACTA Awards,Best Cinematography,Russell Boyd,Won
AACTA Awards,Best Costume Design,Terry Ryan and Wendy Stites,Nominated
AACTA Awards,Best Editing,William M. Anderson,Won
AACTA Awards,Best Production Design,Herbert Pinter and Wendy Stites,Nominated
AACTA Awards,Best Sound,"Greg Bell, Don Connolly and Peter Fenton",Won
Australian Cinematographers Society,Cinematographer of the Year,Russell Boyd,Won
AWGIE Award,Feature Film - Original,David Williamson,Won
Golden Globe Award,Best Foreign Film,Best Foreign Film,Nominated
National Board of Review,Top Ten Films,Top Ten Films,Won
Venice Film Festival,Golden Lion,Peter Weir,Nominated
