Name of Village,Block name,Gram Panchayat name,District
Bamondittari,Barkhetri,No Kekankuchi Kaplabari,Nalbari
Banpura,Barkhetri,No Kekankuchi Kaplabari,Nalbari
Bartola no-3,Barkhetri,No Kekankuchi Kaplabari,Nalbari
Bartola no-4,Barkhetri,No Kekankuchi Kaplabari,Nalbari
Domdoma Pathar,Barkhetri,No Kekankuchi Kaplabari,Nalbari
Gharuabaha Gaon,Barkhetri,No Kekankuchi Kaplabari,Nalbari
Kachuapathar,Barkhetri,No Kekankuchi Kaplabari,Nalbari
Kaldi,Barkhetri,No Kekankuchi Kaplabari,Nalbari
Kaplabari no-1,Barkhetri,No Kekankuchi Kaplabari,Nalbari
Kaplabari no-2,Barkhetri,No Kekankuchi Kaplabari,Nalbari
Kekankuchi no-1,Barkhetri,No Kekankuchi Kaplabari,Nalbari
Kekankuchi no-2,Barkhetri,No Kekankuchi Kaplabari,Nalbari
Khar Kaldi,Barkhetri,No Kekankuchi Kaplabari,Nalbari
Narua no-1,Barkhetri,No Kekankuchi Kaplabari,Nalbari
Roumari Damdama,Barkhetri,No Kekankuchi Kaplabari,Nalbari
Ahta,Barkhetri,No Barnibari Naptipara,Nalbari
Bakrikuchi,Barkhetri,No Barnibari Naptipara,Nalbari
Barnibari,Barkhetri,No Barnibari Naptipara,Nalbari
Dirua,Barkhetri,No Barnibari Naptipara,Nalbari
Naptipara,Barkhetri,No Barnibari Naptipara,Nalbari
Paikan Bonmaja,Barkhetri,No Barnibari Naptipara,Nalbari
Paikan Dirua,Barkhetri,No Barnibari Naptipara,Nalbari
Amrattari,Barkhetri,No Mugdi Rampur,Nalbari
Bamon Angradi,Barkhetri,No Mugdi Rampur,Nalbari
Bamonbori,Barkhetri,No Mugdi Rampur,Nalbari
Garia Angradi,Barkhetri,No Mugdi Rampur,Nalbari
Gharuabaha Pathar,Barkhetri,No Mugdi Rampur,Nalbari
Ghorathal no-1,Barkhetri,No Mugdi Rampur,Nalbari
Ghorathal no-2,Barkhetri,No Mugdi Rampur,Nalbari
Kshudra Chinadi,Barkhetri,No Mugdi Rampur,Nalbari
Mugdi,Barkhetri,No Mugdi Rampur,Nalbari
Mulaghata,Barkhetri,No Mugdi Rampur,Nalbari
Narua no-2,Barkhetri,No Mugdi Rampur,Nalbari
Rampur,Barkhetri,No Mugdi Rampur,Nalbari
Sidalkuchi Lachima,Barkhetri,No Mugdi Rampur,Nalbari
Balarchar,Barkhetri,No Daulashal Rampur,Nalbari
Belbeli,Barkhetri,No Jaysagar Bartala,Nalbari
Daulashal no-1,Barkhetri,No Jaysagar Bartala,Nalbari
Daulashal no-2,Barkhetri,No Jaysagar Bartala,Nalbari
Kalatoli,Barkhetri,No Jaysagar Bartala,Nalbari
Kalputa,Barkhetri,No Jaysagar Bartala,Nalbari
Khagrakati,Barkhetri,No Jaysagar Bartala,Nalbari
Larkuchi no-1,Barkhetri,No Jaysagar Bartala,Nalbari
Larkuchi no-2,Barkhetri,No Jaysagar Bartala,Nalbari
Larkuchi no-3,Barkhetri,No Jaysagar Bartala,Nalbari
Madhya Kajia,Barkhetri,No Jaysagar Bartala,Nalbari
Nadia,Barkhetri,No Jaysagar Bartala,Nalbari
Paschim Kajia,Barkhetri,No Jaysagar Bartala,Nalbari
Peradhara,Barkhetri,No Jaysagar Bartala,Nalbari
Pub Kajia,Barkhetri,No Jaysagar Bartala,Nalbari
Barmara,Barkhetri,No Jaysagar Bartala,Nalbari
Bartola no -1,Barkhetri,No Mukalmua Narayanpur,Nalbari
Bartola no-2,Barkhetri,No Mukalmua Narayanpur,Nalbari
Batamara,Barkhetri,No Mukalmua Narayanpur,Nalbari
Bhelakhaiti,Barkhetri,No Mukalmua Narayanpur,Nalbari
Chanda,Barkhetri,No Mukalmua Narayanpur,Nalbari
Jaysagar no-1,Barkhetri,No Mukalmua Narayanpur,Nalbari
Jaysagar no-2,Barkhetri,No Mukalmua Narayanpur,Nalbari
Kalardia,Barkhetri,No Mukalmua Narayanpur,Nalbari
Sobhamari,Barkhetri,No Mukalmua Narayanpur,Nalbari
Tegheriattari,Barkhetri,No Mukalmua Narayanpur,Nalbari
Adattari,Barkhetri,No Mukalmua Narayanpur,Nalbari
Bhelamari no-1,Barkhetri,No Mukalmua Narayanpur,Nalbari
Howlighat,Barkhetri,No Mukalmua Narayanpur,Nalbari
Lowthari,Barkhetri,No Mukalmua Narayanpur,Nalbari
Mukalmua,Barkhetri,No Mukalmua Narayanpur,Nalbari
Narayanpur,Barkhetri,No Mukalmua Narayanpur,Nalbari
Sapkata,Barkhetri,No Mukalmua Narayanpur,Nalbari
Baithabhanga,Barkhetri,No Kandhbari Dagapara,Nalbari
Balikuchi,Barkhetri,No Kandhbari Dagapara,Nalbari
Bardhap,Barkhetri,No Kandhbari Dagapara,Nalbari
Dagapara,Barkhetri,No Kandhbari Dagapara,Nalbari
Darangipara,Barkhetri,No Kandhbari Dagapara,Nalbari
Kandhbari,Barkhetri,No Kandhbari Dagapara,Nalbari
Khalihapara,Barkhetri,No Kandhbari Dagapara,Nalbari
Meruattari,Barkhetri,No Kandhbari Dagapara,Nalbari
Angradi,Barkhetri,No Ghoga,Nalbari
Badani Akhiya,Barkhetri,No Ghoga,Nalbari
Balattari no-1,Barkhetri,No Ghoga,Nalbari
Balattari no-2,Barkhetri,No Ghoga,Nalbari
Bhelamari no-3,Barkhetri,No Ghoga,Nalbari
Ghoga,Barkhetri,No Ghoga,Nalbari
Hamlakur,Barkhetri,No Ghoga,Nalbari
Kaurkhaiti,Barkhetri,No Ghoga,Nalbari
Lawtolipara,Barkhetri,No Ghoga,Nalbari
Lowtola,Barkhetri,No Ghoga,Nalbari
Puran Akhiya,Barkhetri,No Ghoga,Nalbari
Satemari,Barkhetri,No Ghoga,Nalbari
Tilardia,Barkhetri,No Ghoga,Nalbari
Adabari,Barkhetri,No Loharkatha Adabari,Nalbari
Barluitpar,Barkhetri,No Loharkatha Adabari,Nalbari
Chakirghat,Barkhetri,No Loharkatha Adabari,Nalbari
Chungarbari,Barkhetri,No Loharkatha Adabari,Nalbari
Galdighla,Barkhetri,No Loharkatha Adabari,Nalbari
Hanapara,Barkhetri,No Loharkatha Adabari,Nalbari
Loharkatha,Barkhetri,No Loharkatha Adabari,Nalbari
Sutarkuchi,Barkhetri,No Loharkatha Adabari,Nalbari
Bangnaputa,Barkhetri,No Kalarchar,Nalbari
Kalarchar,Barkhetri,No Kalarchar,Nalbari
N.C Pub Kajia,Barkhetri,No Kalarchar,Nalbari
Barbala no-1,Barkhetri,No Bhagnamari,Nalbari
Barbala no-3,Barkhetri,No Bhagnamari,Nalbari
Barbala no-5,Barkhetri,No Bhagnamari,Nalbari
Bhangnamari,Barkhetri,No Bhagnamari,Nalbari
Bhelamari no-2,Barkhetri,No Bhagnamari,Nalbari
Bhelamari no-4,Barkhetri,No Bhagnamari,Nalbari
Bhelengimari,Barkhetri,No Bhagnamari,Nalbari
Bhelengimari,Barkhetri,No Bhagnamari,Nalbari
Bhelengimari no-1,Barkhetri,No Bhagnamari,Nalbari
Bhelengimari no-2,Barkhetri,No Bhagnamari,Nalbari
Bhelengimari no-3,Barkhetri,No Bhagnamari,Nalbari
Damal,Barkhetri,No Bhagnamari,Nalbari
Naparapam,Barkhetri,No Bhagnamari,Nalbari
Natun Chaprapara,Barkhetri,No Bhagnamari,Nalbari
Natun Chaprapara no-1,Barkhetri,No Bhagnamari,Nalbari
Natun Chaprapara no-2,Barkhetri,No Bhagnamari,Nalbari
Natun Chaprapara no-3,Barkhetri,No Bhagnamari,Nalbari
