Year,Title,Credit
2004,The Aviator,Executive producer
2004,The Assassination of Richard Nixon,Executive producer
2007,The 11th Hour,Producer
2007,Gardener of Eden,Producer
2009,Orphan,Producer
2011,Red Riding Hood,Producer
2011,The Ides of March,Executive producer
2013,Runner Runner,Producer
2013,Out of the Furnace,Producer
2013,The Wolf of Wall Street,Producer
2014,Virunga,Executive producer
2015,Catching the Sun,Executive producer
2015,Cowspiracy,Executive producer
2016,The Ivory Game,Executive producer
2016,Before the Flood,Producer
2016,Live by Night,Producer
2018,Delirium,Producer
2018,Robin Hood,Producer
2018,Struggle: The Life and Lost Art of Szukalski,Producer
2019,And We Go Green,Producer
2019,Richard Jewell,Producer
2021,Kid 90,Executive producer
2021,The Loneliest Whale: The Search for 52,Executive producer
2021,Fin,Executive producer
2023,Killers of the Flower Moon,Executive producer
2023,Ozi: Voice of the Forest,Producer
