Year,Song(s),Artist(s),Album
1961,A Day in the Canyon,Andre Kostelanetz,The Lure of the Grand Canyon
1969,Girl from the North Country,Bob Dylan,Nashville Skyline
1971,A Front Row Seat to Hear Ole Johnny Sing,Shel Silverstein,Freakin' at the Freakers Ball
1972,A Song to Mama The World Needs a Melody,The Carter Family,Traveling Minstral Band
1972,Amazing Grace,The Evangel Temple Choir,The Evangel Temple Choir
1975,Gospel Ship Song to Woody Hey Porter,The Earl Scruggs Revue,"Anniversary Special, Vol. 1"
1976,I Still Miss Someone My Ship Will Sail,The Earl Scruggs Revue,"Anniversary Special, Vol. 2"
1976,No Earthly Good,The Oak Ridge Boys,"Old Fashioned, Down Home, Hand Clappin' Foot Stompin' Southern Style Gospel Quartet Music"
1976,My Ship Will Sail,The Carter Family,Country's First Family
1976,Love is My Refuge,Jack Routh,
1979,Jealous Loving Heart Soldier's Last Letter,Ernest Tubb,The Legend and the Legacy
1979,"Six Gun Shooting Help Him, Jesus The Death of Me",Levon Helm Emmylou Harris Charlie Daniels,The Legend of Jesse James
1980,What's Good for You  Mother Maybelle,Marty Stuart Curly Seckler The Nashville Grass,Take a Little Time
1980,Jordan,Emmylou Harris Tony Rice Ricky Skaggs,Roses in the Snow
1981,Mister Garfield,Merle Kilgore,
1982,One More Ride Hey Porter Get in Line Brother,Marty Stuart,Busy Bee Cafe
1982,That's How I Got to Memphis,Rosanne Cash,Somewhere in the Stars
1983,I Still Miss Someone,Bill Monroe,Bill Monroe and Friends
1983,Love Me Tender,Julie Andrews,Love Me Tender
1984,Crazy Old Soldier,Ray Charles,Friendship
1984,Suffer Little Children,Glen Campbell,No More Night
1986,Be Careful Who You Love,Waylon Jennings,Sweet Mother Texas
1986,Better Class of Losers,John Schneider Waylon Jennings,Take the Long Way Home
1987,The Ten Commandments of Love,David Allan Coe,A Matter of Life and Death
1987,Amazing Grace,Joanne Cash Yates,Amazing Grace
1988,Waitin' for a Southern Train,Jimmy Tittle,Jimmy Tittle
1989,Jesus is Lord I've Been Saved Gospel Medley How Beautiful Heaven Must Be Lord I'm Coming Home,Joanne Cash Yates,Live
1989,Life's Railway to Heaven Will the Circle Be Unbroken,Nitty Gritty Dirt Band,Will the Circle Be Unbroken: Volume Two
1989,Wildwood Flower Worried Man Blues Ain't Gonna Work Tomorrow Church in the Wildwood,The Carter Family,Wildwood Flower
1989,Woodcarver,Sandy Kelly,Kelly's Heroes
1990,Thoughts on the Flag  Guess Things Happen That Way,Tommy Cash,The 25th Anniversary Album
1990,Get Rhythm,Martin Delray,Get Rhythm
1991,Man in Black,One Bad Pig,I Scream Sunday
