Award,Date of ceremony,Category,Recipient(s),Result
AACTA Awards,"December 9, 2015",Best Visual Effects or Animation,"Christopher Townsend, Ryan Stafford, Paul Butterworth, and Matt Estela",Nominated
Annie Awards,"February 6, 2016",Outstanding Achievement for Animated Effects in a Live Action Production,"Michael Balog, Jim Van Allen, Florent Andorra, and Georg Kaltenbrunner for Sokovia's destruction",Won
Annie Awards,"February 6, 2016",Outstanding Achievement for Character Animation in a Live Action Production,"Jakub Pistecky, Gang Trinh, Craig Penn, Mickael Coedel, and Yair Gutierrez for the Hulk",Nominated
Annie Awards,"February 6, 2016",Outstanding Achievement for Character Animation in a Live Action Production,"Peter Tan, Boonyiki Lim, Sachio Nishiyama, Byounghee Cho, and Roy Tan for Ultron",Nominated
Golden Trailer Awards,"May 30, 2014",Best Motion/Title Graphics,Reveal,Nominated
Golden Trailer Awards,"May 6, 2015",Best Summer Blockbuster Trailer,Strings,Won
Golden Trailer Awards,"May 6, 2015",Best Sound Editing,Strings,Won
Hollywood Music in Media Awards,"November 11, 2015",Best Original Score in a Sci-Fi/Fantasy Film,Danny Elfman and Brian Tyler,Nominated
Hugo Awards,"August 20, 2016","Best Dramatic Presentation, Long Form",Joss Whedon,Nominated
Movieguide Awards,"February 5, 2016",Best Movie for Mature Audiences,Avengers: Age of Ultron,Nominated
MTV Movie Awards,"April 10, 2016",Movie of the Year,Avengers: Age of Ultron,Nominated
MTV Movie Awards,"April 10, 2016",Best Hero,Chris Evans,Nominated
MTV Movie Awards,"April 10, 2016",Best Villain,James Spader,Nominated
MTV Movie Awards,"April 10, 2016",Best Virtual Performance,James Spader,Nominated
MTV Movie Awards,"April 10, 2016",Ensemble Cast,Avengers: Age of Ultron,Nominated
MTV Movie Awards,"April 10, 2016",Best Fight,Robert Downey Jr. vs. Mark Ruffalo,Nominated
Nickelodeon Kids' Choice Awards,"March 12, 2016",Favorite Movie,Avengers: Age of Ultron,Nominated
Nickelodeon Kids' Choice Awards,"March 12, 2016",Favorite Movie Actor,Chris Evans,Nominated
Nickelodeon Kids' Choice Awards,"March 12, 2016",Favorite Movie Actor,Chris Hemsworth,Nominated
Nickelodeon Kids' Choice Awards,"March 12, 2016",Favorite Movie Actor,Robert Downey Jr.,Nominated
Nickelodeon Kids' Choice Awards,"March 12, 2016",Favorite Movie Actress,Scarlett Johansson,Nominated
People's Choice Awards,"January 6, 2016",Favorite Movie,Avengers: Age of Ultron,Nominated
People's Choice Awards,"January 6, 2016",Favorite Action Movie,Avengers: Age of Ultron,Nominated
People's Choice Awards,"January 6, 2016",Favorite Movie Actor,Robert Downey Jr.,Nominated
People's Choice Awards,"January 6, 2016",Favorite Movie Actress,Scarlett Johansson,Nominated
People's Choice Awards,"January 6, 2016",Favorite Action Movie Actor,Robert Downey Jr.,Nominated
People's Choice Awards,"January 6, 2016",Favorite Action Movie Actor,Chris Hemsworth,Won
People's Choice Awards,"January 6, 2016",Favorite Action Movie Actress,Scarlett Johansson,Nominated
Saturn Awards,"June 22, 2016",Best Comic-to-Film Motion Picture,Avengers: Age of Ultron,Nominated
Saturn Awards,"June 22, 2016",Best Supporting Actor,Paul Bettany,Nominated
Saturn Awards,"June 22, 2016",Best Film Costume Design,Alexandra Byrne,Won
Saturn Awards,"June 22, 2016",Best Film Special / Visual Effects,"Paul Corbould, Chris Townsend, Ben Snow, and Paul Butterworth",Nominated
Teen Choice Awards,"August 16, 2015",Choice Movie: Sci-Fi/Fantasy,Avengers: Age of Ultron,Nominated
Teen Choice Awards,"August 16, 2015",Choice Movie Actor: Sci-Fi/Fantasy,Chris Hemsworth,Nominated
Teen Choice Awards,"August 16, 2015",Choice Movie Actor: Sci-Fi/Fantasy,Robert Downey Jr.,Nominated
Teen Choice Awards,"August 16, 2015",Choice Movie Actress: Sci-Fi/Fantasy,Scarlett Johansson,Nominated
Teen Choice Awards,"August 16, 2015",Choice Movie: Scene Stealer,Chris Evans,Won
Teen Choice Awards,"August 16, 2015",Choice Movie: Breakout Star,Elizabeth Olsen,Nominated
Visual Effects Society Awards,"February 2, 2016",Outstanding Animated Performance in a Photoreal Feature,"Jakub Pistecky, Lana Lan, John Walker, and Sean Comer for Hulk",Nominated
Visual Effects Society Awards,"February 2, 2016",Outstanding Effects Simulations in a Photoreal Feature,"Michael Balog, Jim Van Allen, Florent Andorra, and Georg Kaltenbrunner for Hulk vs. Hulkbuster",Nominated
Visual Effects Society Awards,"February 2, 2016",Outstanding Models in a Photoreal or Animated Project,"Howie Weed, Robert Marinic, Daniel Gonzalez, and Myriam Catrin for Hulkbuster",Nominated
