#,Mission,SCA,Orbiter,Leg count,Date,Leg
1,Delivery to KSC,905,Columbia,4,20/03/1979,Edwards AFB - Biggs Army Airfield
1,Delivery to KSC,905,Columbia,4,22/03/1979,Biggs Army Airfield - Kelly Field
1,Delivery to KSC,905,Columbia,4,23/03/1979,Kelly Field - Eglin AFB
1,Delivery to KSC,905,Columbia,4,24/03/1979,"Eglin AFB - Shuttle Landing Facility, KSC"
2,STS-1,905,Columbia,2,27/04/1981,Edwards AFB - Tinker AFB
2,STS-1,905,Columbia,2,28/04/1981,"Tinker AFB - Shuttle Landing Facility, KSC"
3,STS-2,905,Columbia,2,24/11/1981,Edwards AFB - Bergstrom AFB
3,STS-2,905,Columbia,2,25/11/1981,"Bergstrom AFB - Shuttle Landing Facility, KSC"
4,STS-3,905,Columbia,2,06/04/1982,White Sands Space Harbor - Barskdale AFB
4,STS-3,905,Columbia,2,06/04/1982,"Barskdale AFB - Shuttle Landing Facility, KSC"
5,Delivery to KSC,905,Challenger,2,04/07/1982,Edwards AFB - Ellington Field
5,Delivery to KSC,905,Challenger,2,05/07/1982,"Ellington Field - Shuttle Landing Facility, KSC"
6,STS-4,905,Columbia,2,14/07/1982,Edwards AFB - Dyess AFB
6,STS-4,905,Columbia,2,15/07/1982,"Dyess AFB - Shuttle Landing Facility, KSC"
7,STS-5,905,Columbia,2,21/11/1982,Edwards AFB - Kelly Field
7,STS-5,905,Columbia,2,22/11/1982,"Kelly Field - Shuttle Landing Facility, KSC"
8,STS-6,905,Challenger,2,14/04/1983,Edwards AFB - Kelly Field
8,STS-6,905,Challenger,2,14/04/1983,"Kelly Field - Shuttle Landing Facility, KSC"
9,STS-7,905,Challenger,2,28/06/1983,Edwards AFB - Kelly Field
9,STS-7,905,Challenger,2,29/06/1983,"Kelly Field - Shuttle Landing Facility, KSC"
10,STS-8,905,Challenger,2,09/09/1983,Edwards AFB - Sheppard AFB
10,STS-8,905,Challenger,2,09/09/1983,"Sheppard AFB - Shuttle Landing Facility, KSC"
11,Delivery to KSC,905,Discovery,3,06/11/1983,Edwards AFB - Vandenberg AFB
11,Delivery to KSC,905,Discovery,3,08/11/1983,Vandenberg AFB - Carswell AFB
11,Delivery to KSC,905,Discovery,3,09/11/1983,"Carswell AFB - Shuttle Landing Facility, KSC"
12,STS-9,905,Columbia,4,14/12/1983,Edwards AFB - Biggs Army Airfield
12,STS-9,905,Columbia,4,14/12/1983,Biggs Army Airfield - Kelly Field
12,STS-9,905,Columbia,4,15/12/1983,Kelly Field - Eglin AFB
12,STS-9,905,Columbia,4,15/12/1983,"Eglin AFB - Shuttle Landing Facility, KSC"
13,Mods,905,Columbia,2,26/01/1984,"Shuttle Landing Facility, KSC - Kelly Field"
13,Mods,905,Columbia,2,27/01/1984,Kelly Field - Edwards AFB
14,STS-41C,905,Challenger,2,17/04/1984,Edwards AFB - Kelly Field
14,STS-41C,905,Challenger,2,18/04/1984,"Kelly Field - Shuttle Landing Facility, KSC"
15,STS-41D,905,Discovery,2,09/09/1984,Edwards AFB - Altus AFB
15,STS-41D,905,Discovery,2,10/09/1984,"Altus AFB - Shuttle Landing Facility, KSC"
16,Delivery to KSC,905,Atlantis,2,12/04/1985,Edwards AFB - Ellington Field
16,Delivery to KSC,905,Atlantis,2,13/04/1985,"Ellington Field - Shuttle Landing Facility, KSC"
17,STS-51-B,905,Challenger,2,10/05/1985,Edwards AFB - Kelly Field
17,STS-51-B,905,Challenger,2,11/05/1985,"Kelly Field - Shuttle Landing Facility, KSC"
18,STS-51-G,905,Discovery,2,28/06/1985,Edwards AFB - Bergstrom AFB
18,STS-51-G,905,Discovery,2,28/06/1985,"Bergstrom AFB - Shuttle Landing Facility, KSC"
19,Mods,905,Columbia,2,14/07/1985,Edwards AFB - Offut AFB
19,Mods,905,Columbia,2,14/07/1985,"Offut AFB - Shuttle Landing Facility, KSC"
20,STS-51-F,905,Challenger,4,10/08/1985,Edwards AFB - Davis-Monthan AFB
20,STS-51-F,905,Challenger,4,10/08/1985,Davis-Monthan AFB - Kelly Field
20,STS-51-F,905,Challenger,4,11/08/1985,Kelly Field - Eglin AFB
20,STS-51-F,905,Challenger,4,11/08/1985,"Eglin AFB - Shuttle Landing Facility, KSC"
21,STS-51-I,905,Discovery,2,07/09/1985,Edwards AFB - Kelly Field
21,STS-51-I,905,Discovery,2,08/09/1985,"Kelly Field - Shuttle Landing Facility, KSC"
22,STS-51-J,905,Atlantis,2,11/10/1985,Edwards AFB - Kelly Field
22,STS-51-J,905,Atlantis,2,11/10/1985,"Kelly Field - Shuttle Landing Facility, KSC"
23,STS-61-A,905,Challenger,4,10/11/1985,Edwards AFB - Davis-Monthan AFB
23,STS-61-A,905,Challenger,4,10/11/1985,Davis-Monthan AFB - Kelly Field
23,STS-61-A,905,Challenger,4,11/11/1985,Kelly Field - Eglin AFB
23,STS-61-A,905,Challenger,4,11/11/1985,"Eglin AFB - Shuttle Landing Facility, KSC"
24,STS-61-B,905,Atlantis,2,07/12/1985,Edwards AFB - Kelly Field
24,STS-61-B,905,Atlantis,2,07/12/1985,"Kelly Field - Shuttle Landing Facility, KSC"
25,STS-61-C,905,Columbia,4,22/01/1986,Edwards AFB - Davis-Monthan AFB
25,STS-61-C,905,Columbia,4,22/01/1986,Davis-Monthan AFB - Kelly Field
25,STS-61-C,905,Columbia,4,23/01/1986,Kelly Field - Eglin AFB
25,STS-61-C,905,Columbia,4,23/01/1986,"Eglin AFB - Shuttle Landing Facility, KSC"
26,STS-26,905,Discovery,2,08/10/1988,Edwards AFB - Kelly Field
26,STS-26,905,Discovery,2,08/10/1988,"Kelly Field - Shuttle Landing Facility, KSC"
27,STS-27,905,Atlantis,3,11/12/1988,Edwards AFB - Davis-Monthan AFB
27,STS-27,905,Atlantis,3,12/12/1988,Davis-Monthan AFB - Kelly Field
27,STS-27,905,Atlantis,3,13/12/1988,"Kelly Field - Shuttle Landing Facility, KSC"
28,STS-29,905,Discovery,2,23/03/1989,Edwards AFB - Kelly Field
28,STS-29,905,Discovery,2,24/03/1989,"Kelly Field - Shuttle Landing Facility, KSC"
29,STS-30,905,Atlantis,4,13/05/1989,Edwards AFB - Biggs Army Airfield
29,STS-30,905,Atlantis,4,15/05/1989,Biggs Army Airfield - Dallas Fort Worth
