District,Senator,Party,Residence
1,J. Tom Coleman,Democratic,Savannah
2,Charles Henry Wessels,Democratic,Savannah
3,Glenn E. Bryant,Democratic,Hinesville
4,Joseph E. Kennedy,Democratic,Claxton
5,Robert H.  Bell,Republican,Atlanta
6,Richard W. Littlefield,Democratic,Brunswick
7,Frank Eldridge Jr.,Democratic,Waycross
8,Loyce W. Turner,Democratic,Valdosta
9,Frank Sutton,Democratic,Moultrie
10,Paul Trulock,Democratic,Climax
11,Jimmy Hodge Timmons,Democratic,Blakely
12,Al Holloway,Democratic,Albany
13,Rooney L. Bowen,Democratic,Vienna
14,Lewis H.  McKenzie,Democratic,Montezuma
15,Floyd Hudgins,Democratic,Columbus
16,Ted J. Land,Republican,Columbus
17,Janice S. Horton,Democratic,McDonough
18,Ed Barker,Democratic,Warner Robins
19,Ronnie Walker,Democratic,McRae
20,Hugh Marion Gillis,Democratic,Soperton
21,Bill English,Democratic,Swainsboro
22,Thomas F. Allgood,Democratic,Augusta
23,Jimmy Lester,Democratic,Augusta
24,Sam P. McGill,Democratic,Washington
25,Culver Kidd Jr.,Democratic,Milledgeville
26,Richard L. Greene,Democratic,Macon
27,Lee Robinson,Democratic,Macon
28,Kyle Trueman Cobb,Democratic,Griffin
29,Render Hill,Democratic,Greenville
30,Wayne Garner,Democratic,Carrollton
31,Nathan Dean,Democratic,Rockmart
32,Joe Thompson,Democratic,Smyrna
33,Roy E. Barnes,Democratic,Mableton
34,Bev Engram,Democratic,Fairburn
35,Perry J. Hudson,Democratic,Hapeville
36,Jack L. Stephens,Democratic,Atlanta
37,Todd Evans,Democratic,Atlanta
38,Horace E Tate,Democratic,Atlanta
39,Julian Bond,Democratic,Atlanta
40,Paul Douglas Coverdell,Republican,Atlanta
41,James W.  Tysinger,Republican,Atlanta
42,Pierre Howard,Democratic,Decatur
43,Thomas R.  Scott,Democratic,Decatur
44,Terrell Starr,Democratic,Forest Park
45,W.D.  Ballard,Democratic,Covington
46,Paul Collins Broun,Democratic,Athens
47,M. Parks Brown,Democratic,Hartwell
48,Steve Reynolds,Democratic,Lawrenceville
49,J. Nathan Deal,Democratic,Gainesville
50,John C. Foster,Democratic,Cornelia
51,Max Brannon,Democratic,Calhoun
52,Dan H. Fincher,Democratic,Rome
53,E.G. Summers,Democratic,LaFayette
54,"W.W.  Fincher, Jr.",Democratic,Chatsworth
55,Lawrence  Stumbaugh,Democratic,Stone Mountain
56,"Haskew H. Brantley, Jr.",Republican,Alpharetta
