Date (1995),City,Country,Venue
June 07,Boise,United States,Boise State University Pavilion
June 08,Salt Lake City,United States,Delta Center
June 09,Morrison,United States,Red Rocks Amphitheatre
June 10,Morrison,United States,Red Rocks Amphitheatre
June 13,Maryland Heights,United States,Riverport Amphitheater
June 14,Memphis,United States,Mud Island Amphitheatre
June 15,Atlanta,United States,Lakewood Amphitheatre
June 16,Raleigh,United States,Hardee's Walnut Creek Amphitheatre
June 17,Bristow,United States,Nissan Pavilion at Stone Ridge
June 19,Noblesville,United States,Deer Creek Music Center
June 20,Cuyahoga Falls,United States,Blossom Music Center
June 22,Canandaigua,United States,Finger Lakes Performing Arts Center
June 23,Stanhope,United States,Waterloo Village
June 24,Philadelphia,United States,Mann Center for the Performing Arts
June 25,Philadelphia,United States,Mann Center for the Performing Arts
June 26,Saratoga Springs,United States,Saratoga Performing Arts Center
June 28,Wantagh,United States,Jones Beach Amphitheater
June 29,Wantagh,United States,Jones Beach Amphitheater
June 30,Mansfield,United States,Great Woods Center for the Performing Arts
July 01,Mansfield,United States,Great Woods Center for the Performing Arts
July 02,Warren,United States,Summer Stage at Sugarbush
July 03,Warren,United States,Summer Stage at Sugarbush
September 27,Sacramento,United States,California Exposition Amphitheater
September 28,San Diego,United States,Embarcadero Marina Park South
September 29,Los Angeles,United States,Greek Theatre
September 30,Mountain View,United States,Shoreline Amphitheatre
October 02,Seattle,United States,Seattle Event Center
October 03,Seattle,United States,Seattle Event Center
October 05,Portland,United States,Memorial Coliseum
October 06,Vancouver,Canada,Orpheum
October 07,Spokane,United States,Spokane Opera House
October 08,Missoula,United States,Adams Fieldhouse
October 11,Chandler,United States,Compton Terrace
October 13,Fort Worth,United States,Will Rogers Auditorium
October 14,Austin,United States,Austin Music Hall
October 15,Austin,United States,Austin Music Hall
October 17,New Orleans,United States,State Palace Theatre
October 19,Kansas City,United States,Municipal Auditorium
October 20,Cedar Rapids,United States,Five Seasons Center
October 21,Lincoln,United States,Pershing Auditorium
October 22,Champaign,United States,Assembly Hall
October 24,Madison,United States,Dane County Coliseum
October 25,Saint Paul,United States,Civic Center Arena
October 27,Kalamazoo,United States,Wings Stadium
October 28,Auburn Hills,United States,The Palace of Auburn Hills
October 29,Louisville,United States,Louisville Gardens
October 31,Rosemont,United States,Rosemont Horizon
November 09,Atlanta,United States,Fox Theatre
November 10,Atlanta,United States,Fox Theatre
November 11,Atlanta,United States,Fox Theatre
November 12,Gainesville,United States,O'Connell Center
November 14,Orlando,United States,UCF Arena
November 15,Tampa,United States,USF Sun Dome
November 16,West Palm Beach,United States,West Palm Beach Auditorium
November 18,North Charleston,United States,North Charleston Coliseum
November 19,Charlotte,United States,Charlotte Coliseum
November 21,Winston-Salem,United States,Lawrence Joel Veterans Memorial Coliseum
November 22,Landover,United States,USAir Arena
November 24,Pittsburgh,United States,Civic Arena
November 25,Hampton,United States,Hampton Coliseum
November 28,Knoxville,United States,Knoxville Civic Coliseum
November 29,Nashville,United States,Nashville Municipal Auditorium
November 30,Fairborn,United States,Ervin J. Nutter Center
December 01,Hershey,United States,Hersheypark Arena
December 02,New Haven,United States,New Haven Veterans Memorial Coliseum
December 04,Amherst,United States,William D. Mullins Memorial Center
December 05,Amherst,United States,William D. Mullins Memorial Center
December 07,Niagara Falls,United States,Niagara Falls Convention and Civic Center
December 08,Cleveland,United States,CSU Convocation Center
December 09,Albany,United States,Knickerbocker Arena
December 11,Portland,United States,Cumberland County Civic Center
December 12,Providence,United States,Providence Civic Center
December 14,Binghamton,United States,Broome County Veterans Memorial Arena
December 15,Philadelphia,United States,CoreStates Spectrum
December 16,Lake Placid,United States,Olympic Center Ice Rink
December 17,Lake Placid,United States,Olympic Center Ice Rink
December 28,Worcester,United States,Centrum in Worcester
December 29,Worcester,United States,Centrum in Worcester
December 30,New York City,United States,Madison Square Garden
December 31,New York City,United States,Madison Square Garden
