Title,Written by,Performed by,Episode,Single,Album
Back Home,"Kyle Jacobs, Lee Brice and Joy Williams",Deacon Claybourne,1-1. Pilot,Yes,"The Music of Nashville, Season 1: The Complete Collection"
It's My Life,Bob DiPiero and Sarah Buxton,Rayna Jaymes,1-1. Pilot 1-13. There'll Be No Teardrops Tonight 1-20. A Picture from Life's Other Side 2-17. We've Got Things To Do,Yes,"The Music of Nashville, Season 1: The Complete Collection"
Boys and Buses,"Shane McAnally, Brandy Clark and Josh Osborne",Juliette Barnes,1-1. Pilot 1-9. Be Careful of Stones That You Throw 1-10. I'm Sorry for You My Friend,Yes,"The Music of Nashville, Season 1: The Complete Collection"
If I Didn't Know Better,John Paul White and Arum Rae,Scarlett O'Connor and Gunnar Scott,1-1. Pilot 1-3. Someday You'll Call My Name 4-17. Baby Come Home,Yes,"The Music of Nashville: Season 1, Volume 1"
Love Like Mine,"Kelly Archer, Justin Weaver and Emily Shackelton",Juliette Barnes,1-1. Pilot 1-10. I'm Sorry for You My Friend,Yes,"The Music of Nashville: Season 1, Volume 1"
Love Like Mine,"Kelly Archer, Justin Weaver and Emily Shackelton",Juliette Barnes and Sean Butler,1-6. You're Gonna Change,No,
Love Like Mine,"Kelly Archer, Justin Weaver and Emily Shackelton",Deacon Claybourne,1-15. When You're Tired of Breaking Other Hearts,No,
Already Gone,"Kyle Jacobs, Ben Glover and Joy Williams",Rayna Jaymes,1-1. Pilot 1-12. I've Been Down That Road Before 1-15. When You're Tired of Breaking Other Hearts 2-17. We've Got Things To Do 5-1. The Wayfaring Stranger,Yes,
I'll Be There,Ray Price and Rusty Gabbard,Gunnar Scott,1-2. I Can't Help It,No,"The Music of Nashville: Season 1, Volume 1"
No One Will Ever Love You,Steve McEwan and John Paul White,Rayna Jaymes and Deacon Claybourne,1-2. I Can't Help It  3-12. I've Got Reasons to Hate You,Yes,"The Music of Nashville: Season 1, Volume 1"
Undermine,Trent Dabbs and Kacey Musgraves,Juliette Barnes and Deacon Claybourne,1-2. I Can't Help It  1-3. Someday You'll Call My Name,Yes,"The Music of Nashville: Season 1, Volume 1"
Telescope,Hillary Lindsey and Cary Barlowe,Juliette Barnes,1-2. I Can't Help It  1-3. Someday You'll Call My Name 1-10. I'm Sorry For You My Friend 1-11. You Win Again 1-12. I've Been Down That Road Before,Yes,"The Music of Nashville: Season 1, Volume 1"
Telescope,Hillary Lindsey and Cary Barlowe,Maddie Conrad and Daphne Conrad,1-3. Someday You'll Call My Name,No,
Telescope,Hillary Lindsey and Cary Barlowe,Maddie Conrad and Juliette Barnes,4-5. Stop The World  4-9. Three's A Crowd,Yes,
Twist of Barbwire,Elvis Costello,Avery Barkley,1-2. I Can't Help It,Yes,"The Music of Nashville: Season 1, Volume 1"
Twist of Barbwire,Elvis Costello,Scarlett O'Connor,1-9. Be Careful of Stones That You Throw,Yes,"The Music of Nashville, Season 1: The Complete Collection"
Matchbox Blues,Blind Lemon Jefferson,Deacon Claybourne,1-2. I Can't Help It,No,"The Music of Nashville: Season 1, Volume 2"
Fade Into You,"Trevor Rosen, Shane McAnally and Matt Jenkins",Scarlett O'Connor and Gunnar Scott,1-3. Someday You'll Call My Name,Yes,"The Music of Nashville: Season 1, Volume 2"
I Will Fall,Tyler James and Kate York,Scarlett O'Connor and Gunnar Scott,1-3. Someday You'll Call My Name 1-14. Dear Brother,Yes,"The Music of Nashville: Season 1, Volume 2"
Changing Ground,Gillian Welch,Rayna Jaymes,1-4. We Live in Two Different Worlds,No,"The Music of Nashville: Season 1, Volume 1"
American Beauty,"Ross Copperman, Bob DiPiero, and Jon Nite",Rayna Jaymes,1-5. Move It on Over,No,
Sideshow,Aaron Scherz and Brad Tursi,Deacon Claybourne,1-5. Move It on Over,No,"The Music of Nashville: Season 1, Volume 1"
Buried Under,Chris DeStefano and Natalie Hemby,Rayna Jaymes,1-5. Move It on Over 1-6. You're Gonna Change  1-10. I'm Sorry for You My Friend 2-17. We've Got Things To Do,Yes,"The Music of Nashville: Season 1, Volume 1"
Yellin' from the Rooftop,Busbee and Sarah Buxton,Juliette Barnes,1-5. Move It On Over,Yes,"The Music of Nashville, Season 1: The Complete Collection"
Loving You Is the Only Way to Fly,"Jedd Hughes, Sarah Buxton and Rodney Crowell","Scarlett O'Connor, Gunnar Scott and Avery Barkley",1-5. Move It On Over,Yes,"The Music of Nashville, Season 1: The Complete Collection"
