Week,FedEx Air Player of the Week (Quarterbacks),FedEx Ground Player of the Week (Running Backs),Pepsi Next Rookie of the Week
1,Matt Ryan,Knowshon Moreno,Kelvin Benjamin
2,Philip Rivers,DeMarco Murray,Sammy Watkins
3,Kirk Cousins,Le'Veon Bell,Kyle Fuller
4,Philip Rivers,DeMarco Murray,Teddy Bridgewater
5,Peyton Manning,DeMarco Murray,Branden Oliver
6,Joe Flacco,DeMarco Murray,Branden Oliver
7,Peyton Manning,DeMarco Murray,Sammy Watkins
8,Ben Roethlisberger,Mark Ingram II,Sammy Watkins
9,Ben Roethlisberger,Jeremy Hill,Jeremy Hill
10,Aaron Rodgers,Marshawn Lynch,Chris Borland
11,Aaron Rodgers,Le'Veon Bell,Chris Borland
12,Tony Romo,Justin Forsett,Odell Beckham Jr.
13,Ryan Fitzpatrick,C. J. Anderson,Teddy Bridgewater
14,Ben Roethlisberger,Le'Veon Bell,Derek Carr
15,Ben Roethlisberger,Jeremy Hill,Odell Beckham Jr.
16,Philip Rivers,Marshawn Lynch,Odell Beckham Jr.
17,Joe Flacco,Lamar Miller,Odell Beckham Jr.
