Week,FedEx Air Player of the Week (Quarterbacks),FedEx Ground Player of the Week (Running Backs),Pepsi Next Rookie of the Week,Castrol Edge Clutch Performer of the Week
1,Jameis Winston,DeAngelo Williams,Carson Wentz,Derek Carr
2,Philip Rivers,Matt Forte,Corey Coleman,Marcus Mariota
3,Trevor Siemian,LeSean McCoy,Carson Wentz,Su'a Cravens
4,Matt Ryan,Ezekiel Elliott,Dak Prescott,Derek Carr
5,Ben Roethlisberger,Ezekiel Elliott,Carson Wentz,Roberto Aguayo
6,Drew Brees,Jay Ajayi,Jatavis Brown,Odell Beckham Jr.
7,Aaron Rodgers,Jay Ajayi,Joey Bosa,Denzel Perryman
8,Derek Carr,Jordan Howard,Dak Prescott,Derek Carr
9,Drew Brees,Latavius Murray,Dak Prescott,Melvin Gordon
10,Marcus Mariota,DeMarco Murray,Ezekiel Elliott,Ezekiel Elliott
11,Kirk Cousins,Rob Kelley,Dak Prescott,Amari Cooper
12,Drew Brees,Mark Ingram II,Noah Spence,Derek Carr
13,Joe Flacco,Latavius Murray,Ezekiel Elliott,Khalil Mack
14,Aaron Rodgers,Le'Veon Bell,Ezekiel Elliott,Keith Tandy
15,Matt Ryan,Devonta Freeman,Ezekiel Elliott,Sebastian Janikowski
16,Aaron Rodgers,Jay Ajayi,Dak Prescott,Antonio Brown
17,Matt Ryan,Isaiah Crowell,Tyreek Hill,Mike Evans
