Country,Hunters,Population (millions),Hunters as percentage of the total population,Relation hunters/inhabitants,Area (km2),Hunters per km2
Canada,2482678,34.7,7.15,1:14,9984670,0.25
Finland,308000,5.2,5.92,1:17,338448,0.91
Cyprus,45000,0.8,5.63,1:18,5896,7.63
Norway,190000,4.7,4.04,1:25,385207,0.49
Malta,15000,0.4,3.75,1:27,316,47.47
United States,11453000,323.1,3.54,1:28,9826675,1.17
Sweden,290000,9.0,3.22,1:31,447435,0.65
Denmark,165000,5.5,3.0,1:33,42921,3.84
Ireland,104000,4.2,2.48,1:46,70273,1.48
Greece,235000,10.7,2.2,1:46,131957,1.78
Spain,980000,45.0,2.18,1:46,505970,1.94
Portugal,230000,10.7,2.15,1:47,92212,2.49
France,1331000,64.1,2.08,1:48,543965,2.45
Russia,2800000,143.2,1.96,1:51,17125200,0.16
Bulgaria,110000,7.7,1.43,1:70,110994,0.99
Austria,118000,8.3,1.42,1:70,83879,1.41
United Kingdom,800000,61.1,1.31,1:76,242495,3.3
Italy,750000,58.1,1.29,1:77,301338,2.49
Estonia,16600,1.3,1.28,1:78,45339,0.37
Croatia,55000,4.5,1.22,1:82,56594,0.97
Slovenia,22000,2.0,1.1,1:91,20273,1.09
Latvia,25000,2.3,1.09,1:92,64589,0.39
Czech Republic,110000,10.2,1.08,1:93,78866,1.39
Slovakia,55000,5.4,1.02,1:98,49034,1.12
Lithuania,32000,3.6,0.89,1:113,65300,0.49
Hungary,55000,9.9,0.56,1:180,93036,0.59
Germany,351000,82.5,0.43,1:235,357578,0.98
Luxembourg,2000,0.5,0.4,1:250,2586,0.77
Switzerland,30000,7.6,0.39,1:253,41285,0.73
Poland,106000,38.5,0.28,1:363,312696,0.34
Romania,60000,22.2,0.27,1:370,238391,0.25
Belgium,23000,10.4,0.22,1:452,30688,0.75
Netherlands,28170,16.7,0.17,1:593,41543,0.68
