Year,Title,Role
1930,Caste,Hon. George d'Alroy
1933,Little Miss Nobody,Pat Carey
1933,House of Dreams,Unknown
1933,Taxi to Paradise,Tom Fanshawe
1934,The Way of Youth,Alan Marmon
1934,The Four Masked Men,Arthur Phillips
1934,Get Your Man,Robert Halbean
1934,Adventure Ltd.,Bruce Blandford
1935,Brewster's Millions,Frank
1935,The Lad,Jimmy
1935,The Ace of Spades,Trent
1935,Three Witnesses,Roger Truscott
1935,Jubilee Window,Peter Ward
1935,Department Store,John Goodman Johnson
1936,Tomorrow We Live,Eric Morton
1936,Birds of a Feather,Jack Wortle
1936,Jury's Evidence,Philip
1936,Men Are Not Gods,Edmund Davey
1937,Farewell Again,Capt. Gilbert Reed
1937,The Squeaker,Frank Sutton
1938,Julius Caesar,Marcus Brutus
1939,Too Dangerous to Live,Jacques Leclerc
1939,Prison Without Bars,Doctor
1939,Table d'Hote,Adam
1939,The Spy in Black,Lieutenant Ashington Commander David Blacklock
1940,Now You're Talking,Charles Hampton
1940,Three Silent Men,Sir James Quentin
1940,Bulldog Sees It Through,Derek Sinclair
1940,The Flying Squad,Inspector Bradley
1941,East of Piccadilly,Tamsie Green
1945,Journey Together,Squadron Leader Marshall
1947,Hamlet,Claudius
1949,The Glass Mountain,Bruce McLeod
1949,Landfall,Wing Commander Dickens
1952,BBC Sunday Night Theatre,Archdeacon Adam Brandon
1953,Laxdale Hall,"Hugh Marvell, MP"
1958,Armchair Theatre,Unknown
1960,Here Lies Miss Sabry,James Cracker Talbot
1961,For Elise,Chief Inspector Lynch
1966,It Happened Here,Dr. Richard Fletcher
1966,Out of the Unknown,Major Gregory
1968,All's Well That Ends Well,King of France
1968,A Midsummer Night's Dream,Quince
1972,Thirty-Minute Theatre,Judge
1972,Dead of Night,Powys Jubb
1975,Village Hall,Ralph
1977,Play for Today,Abbot General
1978,BBC2 Play of the Week,Carl Fiodorich
1979,Rumpole of the Bailey,Mr. Justice Skelton
1979,The Old Curiosity Shop,Grandfather
1981,Nanny,Mr. Starkie
1981,Timon of Athens,Old Athenian
1983,Reilly: Ace of Spies,Reverend Thomas
1983,The Weather in the Streets,Mr. Curtis
1983,Return of the Jedi,Anakin Skywalker
1983,The Nation's Health,Dr. Thurson
1984,Crown Court,Justice Bewes
1987,High Season,Sharp
1988,The Master Builder,Knut Brovik
1988,Casualty,Charles Howlett
1989,Chelworth,Lord Toller
1991,Chernobyl: The Final Warning,Grandpa
1991,Chimera,Dr. Liawski
1992,Growing Rich,Mr. Sallace
