Year,Actress,Role,Program,Episode Submission,Network
2010,Kyra Sedgwick,Brenda Leigh Johnson,The Closer,Maternal Instincts,TNT
2010,Connie Britton,Tami Taylor,Friday Night Lights,After the Fall,DirecTV
2010,Glenn Close,Patty Hewes,Damages,Your Secrets Are Safe,FX
2010,Mariska Hargitay,Olivia Benson,Law & Order: Special Victims Unit,Perverted,NBC
2010,January Jones,Betty Draper,Mad Men,The Gypsy and the Hobo,AMC
2010,Julianna Margulies,Alicia Florrick,The Good Wife,Threesome,CBS
2011,Julianna Margulies,Alicia Florrick,The Good Wife,In Sickness,CBS
2011,Kathy Bates,Harriet Korn,Harry's Law,Innocent Man,NBC
2011,Connie Britton,Tami Taylor,Friday Night Lights,Always,DirecTV
2011,Mireille Enos,Sarah Linden,The Killing,Missing,AMC
2011,Mariska Hargitay,Olivia Benson,Law & Order: Special Victims Unit,Rescue,NBC
2011,Elisabeth Moss,Peggy Olson,Mad Men,The Suitcase,AMC
2012,Claire Danes,Carrie Mathison,Homeland,The Vest,Showtime
2012,Kathy Bates,Harriet Korn,Harry's Law,Onward and Upward,NBC
2012,Glenn Close,Patty Hewes,Damages,I've Done Way Too Much for This Girl,DirecTV
2012,Michelle Dockery,Lady Mary Crawley,Downton Abbey,Episode Seven,PBS
2012,Julianna Margulies,Alicia Florrick,The Good Wife,Parenting Made Easy,CBS
2012,Elisabeth Moss,Peggy Olson,Mad Men,The Other Woman,AMC
2013,Claire Danes,Carrie Mathison,Homeland,Q&A,Showtime
2013,Connie Britton,Rayna Jaymes,Nashville,Pilot,ABC
2013,Michelle Dockery,Lady Mary Crawley,Downton Abbey,Episode One,PBS
2013,Vera Farmiga,Norma Bates,Bates Motel,"First You Dream, Then You Die",A&E
2013,Elisabeth Moss,Peggy Olson,Mad Men,The Better Half,AMC
2013,Kerry Washington,Olivia Pope,Scandal,"Happy Birthday, Mr. President",ABC
2013,Robin Wright,Claire Underwood,House of Cards,Chapter 10,Netflix
2014,Julianna Margulies,Alicia Florrick,The Good Wife,The Last Call,CBS
2014,Lizzy Caplan,Virginia E. Johnson,Masters of Sex,Pilot,Showtime
2014,Claire Danes,Carrie Mathison,Homeland,The Star,Showtime
2014,Michelle Dockery,Lady Mary Crawley,Downton Abbey,Episode One,PBS
2014,Kerry Washington,Olivia Pope,Scandal,The Fluffer,ABC
2014,Robin Wright,Claire Underwood,House of Cards,Chapter 26,Netflix
2015,Viola Davis,Annalise Keating,How to Get Away with Murder,Freakin' Whack-a-Mole,ABC
2015,Claire Danes,Carrie Mathison,Homeland,From A to B and Back Again,Showtime
2015,Taraji P. Henson,Cookie Lyon,Empire,Pilot,Fox
2015,Tatiana Maslany,Various characters,Orphan Black,Certain Agony of the Battlefield,BBC America
2015,Elisabeth Moss,Peggy Olson,Mad Men,Person to Person,AMC
2015,Robin Wright,Claire Underwood,House of Cards,Chapter 32,Netflix
2016,Tatiana Maslany,Various characters,Orphan Black,The Antisocialism of Sex,BBC America
2016,Claire Danes,Carrie Mathison,Homeland,Super Powers,Showtime
2016,Viola Davis,Annalise Keating,How to Get Away with Murder,There's My Baby,ABC
2016,Taraji P. Henson,Cookie Lyon,Empire,Rise by Sin,Fox
2016,Keri Russell,Elizabeth Jennings,The Americans,The Magic of David Copperfield V: The Statue of Liberty Disappears,FX
2016,Robin Wright,Claire Underwood,House of Cards,Chapter 49,Netflix
2017,Elisabeth Moss,June Osborne / Offred,The Handmaid's Tale,Night,Hulu
2017,Viola Davis,Annalise Keating,How to Get Away with Murder,Wes,ABC
2017,Claire Foy,Queen Elizabeth II,The Crown,Assassins,Netflix
2017,Keri Russell,Elizabeth Jennings,The Americans,Dyatkovo,FX
2017,Evan Rachel Wood,Dolores Abernathy,Westworld,The Bicameral Mind,HBO
2017,Robin Wright,Claire Underwood,House of Cards,Chapter 65,Netflix
2018,Claire Foy,Queen Elizabeth II,The Crown,Dear Mrs. Kennedy,Netflix
2018,Tatiana Maslany,Various characters,Orphan Black,To Right the Wrongs of Many,BBC America
2018,Elisabeth Moss,June Osborne / Offred,The Handmaid's Tale,The Last Ceremony,Hulu
2018,Sandra Oh,Eve Polastri,Killing Eve,I Have a Thing About Bathrooms,BBC America
2018,Keri Russell,Elizabeth Jennings,The Americans,The Summit,FX
2018,Evan Rachel Wood,Dolores Abernathy,Westworld,Reunion,HBO
2019,Jodie Comer,Villanelle,Killing Eve,I Hope You Like Missionary!,BBC America
2019,Emilia Clarke,Daenerys Targaryen,Game of Thrones,The Last of the Starks,HBO
2019,Viola Davis,Annalise Keating,How to Get Away with Murder,He Betrayed Us Both,ABC
2019,Laura Linney,Wendy Byrde,Ozark,One Way Out,Netflix
2019,Mandy Moore,Rebecca Pearson,This Is Us,The Graduates,NBC
2019,Sandra Oh,Eve Polastri,Killing Eve,You're Mine,BBC America
2019,Robin Wright,Claire Underwood,House of Cards,Chapter 70,Netflix
