City,ST,Wilson,Taft,Roosevelt,Debs,Others,Totals
San Francisco,CA,48953,65,38610,12354.0,1166.0,101148.0
Oakland,CA,11210,0,14221,1549.0,525.0,27505.0
Denver,CO,26690,8155,25154,2750.0,764.0,63513.0
Bridgeport,CT,5870,4625,3654,1511.0,284.0,15944.0
Hartford,CT,7481,6396,2467,849.0,258.0,17451.0
New Haven,CT,8946,7291,3252,1696.0,442.0,21627.0
Waterbury,CT,4440,3261,1675,787.0,212.0,10375.0
Des Moines,IA,6005,3669,6432,,,
Chicago,IL,124297,71030,150290,53743.0,2806.0,402166.0
Ft. Wayne,IN,4892,1896,2793,,,
Indianapolis,IN,18306,8722,9693,,,
New Orleans,LA,26433,904,5692,,,
Boston,MA,43065,21427,21533,1818.0,428.0,88271.0
Cambridge,MA,6667,3362,3403,192.0,68.0,13692.0
Fall River,MA,5160,4224,3453,219.0,256.0,13312.0
Lowell,MA,5459,3034,3783,170.0,82.0,12528.0
Lynn,MA,4595,4144,4764,583.0,178.0,14264.0
New Bedford,MA,3290,4177,1905,626.0,98.0,10096.0
Somerville,MA,4062,3757,4072,176.0,78.0,12145.0
Springfield,MA,4375,5167,3161,555.0,58.0,13316.0
Worcester,MA,6049,10532,4818,230.0,140.0,21769.0
Baltimore,MD,48030,15597,33679,1763.0,253.0,99322.0
Portland,ME,4242,2776,3305,197.0,58.0,10578.0
Kansas City,MO,26954,4646,20894,1470.0,465.0,54429.0
St. Louis,MO,58845,46509,24746,9159.0,1068.0,140327.0
Manchester,NH,4502,4022,2165,520.0,35.0,11244.0
Bayonne,NJ,3717,1184,2552,,,
Camden,NJ,6895,5517,4707,,,
Elizabeth,NJ,5139,1900,3953,,,
Jersey City,NJ,21069,4070,11986,,,
Newark,NJ,14031,10780,19721,,,
Paterson,NJ,7437,3007,7223,,,
Trenton,NJ,5146,3898,4753,,,
Buffalo,NY,26192,14433,20769,,,
New York City,NY,312426,126582,188896,33239.0,2730.0,663873.0
Rochester,NY,13430,12230,11102,2593.0,636.0,39991.0
Yonkers,NY,5533,4056,4536,354.0,49.0,14528.0
Cincinnati,OH,31221,30588,9970,6520.0,401.0,78700.0
Allentown,PA,4627,1224,3475,686.0,59.0,10071.0
Erie,PA,3407,2378,1898,1464.0,140.0,9287.0
Philadelphia,PA,66308,91944,82963,9784.0,691.0,251690.0
Pittsburgh,PA,17352,14658,25394,8498.0,534.0,66436.0
Reading,PA,6130,1657,6719,2800.0,83.0,17389.0
Scranton,PA,6193,1817,7971,564.0,214.0,16759.0
Wilkes-Barre,PA,2905,1178,3951,219.0,47.0,8300.0
Salt Lake City,UT,7488,8964,6587,2498.0,,
Norfolk,VA,3539,195,451,33.0,10.0,4228.0
Richmond,VA,5636,405,483,91.0,12.0,6627.0
Milwaukee,WI,24501,15092,5127,17708.0,511.0,62939.0
