Award,Year,Category,Nominated work,Result
Brand of the Year Awards,2021,Vocal Group,SG Wannabe,Won
Golden Disc Awards,2004,Best New Artist,SG Wanna Be+,Won
Golden Disc Awards,2004,Best Music Video,Timeless,Won
Golden Disc Awards,2005,Album Daesang,Saldaga,Won
Golden Disc Awards,2005,Album Bonsang,Saldaga,Won
Golden Disc Awards,2006,Digital Daesang,Partner for Life,Won
Golden Disc Awards,2006,Digital Bonsang,Partner for Life,Won
Golden Disc Awards,2006,Album Daesang,The 3rd Masterpiece,Nominated
Golden Disc Awards,2006,Album Bonsang,The 3rd Masterpiece,Won
Golden Disc Awards,2007,Album Daesang,The Sentimental Chord,Won
Golden Disc Awards,2007,Album Bonsang,The Sentimental Chord,Won
Golden Disc Awards,2008,Album Daesang,My Friend,Nominated
Golden Disc Awards,2008,Album Bonsang,My Friend,Won
Golden Disc Awards,2009,Album Daesang,Gift from SG Wannabe,Nominated
Golden Disc Awards,2009,Album Bonsang,Gift from SG Wannabe,Won
KBS Gayo Daesang,2005,Best Music Video,Sin and Punishment,Won
KBS Gayo Daesang,2005,Singer of the Year,SG Wannabe,Won
Korea Broadcasting Awards,2009,Singer Award,SG Wannabe,Won
Korean Entertainment Arts Awards,2005,Best Group,SG Wannabe,Won
Korean Entertainment Arts Awards,2006,Best Male Ballad,SG Wannabe,Won
MBC Gayo Daejejeon,2005,Top Ten Singers Award,SG Wannabe,Declined
Mnet Asian Music Awards,2004,Best New Group Video,Timeless,Nominated
Mnet Asian Music Awards,2004,Best R&B Video,Timeless,Nominated
Mnet Asian Music Awards,2005,Best Male Group,Sin and Punishment,Won
Mnet Asian Music Awards,2005,Best Ballad Performance,Saldaga,Nominated
Mnet Asian Music Awards,2006,Album of the Year,The 3rd Masterpiece,Won
Mnet Asian Music Awards,2006,Song of the Year,Partner for Life,Won
Mnet Asian Music Awards,2006,Artist of the Year,SG Wannabe,Nominated
Mnet Asian Music Awards,2006,Best R&B Performance,Partner for Life,Nominated
Mnet Asian Music Awards,2006,Digital Popularity Award,Partner for Life,Won
Mnet Asian Music Awards,2007,Album of the Year,The Sentimental Chord,Nominated
Mnet Asian Music Awards,2007,Artist of the Year,SG Wannabe,Nominated
Mnet Asian Music Awards,2007,Song of the Year,Arirang,Nominated
Mnet Asian Music Awards,2007,Best Male Group,Arirang,Nominated
Mnet Asian Music Awards,2007,Best R&B Performance,Arirang,Won
Mnet Asian Music Awards,2008,Best Male Group,Lalala,Nominated
Mnet Asian Music Awards,2008,Best OST,Fate Reverse,Won
Mnet Asian Music Awards,2008,Judges' Choice Award,SG Wannabe,Won
Mnet Asian Music Awards,2009,Best Male Group,I Love You,Nominated
Mnet Asian Music Awards,2015,Best Male Vocal Performance,Love You,Nominated
SBS Gayo Daejeon,2004,Best New Artist,SG Wannabe,Won
SBS Gayo Daejeon,2005,Album Bonsang,Saldaga,Won
SBS Gayo Daejeon,2005,Producer's Award,SG Wannabe,Won
SBS Gayo Daejeon,2006,Album Bonsang,The 3rd Masterpiece,Won
SBS Gayo Daejeon,2006,Producer's Award,SG Wannabe,Won
Seoul Music Awards,2004,Best New Artist,SG Wannabe,Won
Seoul Music Awards,2006,Album Bonsang,The 3rd Masterpiece,Won
Seoul Music Awards,2008,Album Bonsang,The Sentimental Chord,Won
Seoul Music Awards,2009,Album Bonsang,Gift from SG Wannabe,Won
