#,Event Title,Date,Location
68,Legacy Amateur Series: Black Tie Brawl 3,"December 8, 2016","Dallas, Texas, United States"
67,Legacy Fighting Championship 63,"December 2, 2016","Tulsa, Oklahoma, United States"
66,Legacy Fighting Championship 62,"November 11, 2016","Oklahoma City, Oklahoma, United States"
65,Legacy Fighting Championship 61,"October 14, 2016","Dallas, Texas, United States"
64,Legacy Fighting Championship 60,"October 7, 2016","Hinckley, Minnesota, United States"
63,Legacy Fighting Championship 59,"September 16, 2016","Houston, Texas, United States"
62,Legacy Fighting Championship 58,"July 22, 2016","Lake Charles, Louisiana, United States"
61,Legacy Fighting Championship 57,"July 1, 2016","Bossier City, Louisiana, United States"
60,Legacy Fighting Championship 56,"June 24, 2016","Dallas, Texas, United States"
59,Legacy Fighting Championship 55,"May 13, 2016","Houston, Texas, United States"
58,Legacy Fighting Championship 54,"April 22, 2016","Catoosa, Oklahoma, United States"
57,Legacy Fighting Championship 53,"April 8, 2016","Atlanta, Georgia, United States"
56,Legacy Fighting Championship 52,"March 25, 2016","Lake Charles, Louisiana, United States"
55,Legacy Fighting Championship 51,"February 5, 2016","Hinckley, Minnesota, United States"
54,Legacy Fighting Championship 50,"January 22, 2016","Houston, Texas, United States"
53,Legacy Fighting Championship 49,"December 4, 2015","Shreveport, Louisiana, United States"
52,Legacy Fighting Championship 48,"November 13, 2015","Lake Charles, Louisiana, United States"
51,Legacy Fighting Championship 47,"October 16, 2015","Atlanta, Georgia, United States"
50,Legacy Fighting Championship 46,"October 2, 2015","Allen, Texas, United States"
49,Legacy Fighting Championship 45,"September 11, 2015","Tulsa, Oklahoma, United States"
48,Legacy Fighting Championship 44,"August 28, 2015","Houston, Texas, United States"
47,Legacy Kickboxing 3,"July 24, 2015","Houston, Texas, United States"
46,Legacy Fighting Championship 43,"July 17, 2015","Hinckley, Minnesota, United States"
45,Legacy Fighting Championship 42,"June 26, 2015","Lake Charles, Louisiana, United States"
44,Legacy Kickboxing 2,"May 29, 2015","Bossier City, Louisiana, United States"
43,AXS TV Fights: Legacy vs. RFA Superfight,"May 8, 2015","Robinsonville, Mississippi, United States"
42,Legacy Fighting Championship 41,"April 3, 2015","Tulsa, Oklahoma, United States"
41,Legacy Fighting Championship 40,"March 20, 2015","Duluth, Georgia, United States"
40,Legacy Fighting Championship 39,"February 27, 2015","Houston, Texas, United States"
39,Legacy Fighting Championship 38,"February 13, 2015","Allen, Texas, United States"
38,Legacy Kickboxing 1,"January 16, 2015","Houston, Texas, United States"
37,Legacy Fighting Championship 37,"November 14, 2014","Houston, Texas, United States"
36,Legacy Fighting Championship 36,"October 17, 2014","Allen, Texas, United States"
35,Legacy Fighting Championship 35,"September 26, 2014","Tulsa, Oklahoma, United States"
34,Legacy Fighting Championship 34,"August 29, 2014","Tunica, Mississippi, United States"
33,Legacy Fighting Championship 33,"July 18, 2014","Allen, Texas, United States"
32,Legacy Fighting Championship 32,"June 20, 2014","Bossier City, Louisiana, United States"
31,Legacy Fighting Championship 31,"June 13, 2014","Houston, Texas, United States"
30,Legacy Fighting Championship 30,"April 4, 2014","Albuquerque, New Mexico, United States"
29,Legacy Fighting Championship 29,"March 21, 2014","Tulsa, Oklahoma, United States"
28,Legacy Fighting Championship 28,"February 21, 2014","Arlington, Texas, United States"
27,Legacy Fighting Championship 27,"January 31, 2014","Houston, Texas, United States"
26,Legacy Fighting Championship 26,"December 6, 2013","San Antonio, Texas, United States"
25,Legacy Fighting Championship 25,"November 15, 2013","Houston, Texas, United States"
24,Legacy Fighting Championship 24,"October 11, 2013","Dallas, Texas, United States"
23,Legacy Fighting Championship 23,"September 13, 2013","San Antonio, Texas, United States"
22,Legacy Fighting Championship 22,"August 23, 2013","Lubbock, Texas, United States"
21,Legacy Fighting Championship 21,"July 19, 2013","Houston, Texas, United States"
20,Legacy Fighting Championship 20,"May 31, 2013","Corpus Christi, Texas, United States"
19,Legacy Fighting Championship 19,"April 12, 2013","Dallas, Texas, United States"
18,Legacy Fighting Championship 18,"March 1, 2013","Houston, Texas, United States"
17,Legacy Fighting Championship 17,"February 1, 2013","San Antonio, Texas, United States"
16,Legacy Fighting Championship 16,"December 14, 2012","Dallas, Texas, United States"
15,Legacy Fighting Championship 15,"November 16, 2012","Houston, Texas, United States"
14,Legacy Fighting Championship 14,"September 14, 2012","Houston, Texas, United States"
13,Legacy Fighting Championship 13,"August 17, 2012","Dallas, Texas, United States"
12,Legacy Fighting Championship 12,"July 13, 2012","Houston, Texas, United States"
11,Legacy Fighting Championship 11,"May 11, 2012","Houston, Texas, United States"
10,Legacy Fighting Championship 10,"February 24, 2012","Houston, Texas, United States"
9,Legacy Fighting Championship 9,"December 16, 2011","Houston, Texas, United States"
8,Legacy Fighting Championship 8,"September 16, 2011","Houston, Texas, United States"
7,Legacy Fighting Championship 7,"July 22, 2011","Houston, Texas, United States"
6,Legacy Fighting Championship 6,"April 9, 2011","Houston, Texas, United States"
5,Legacy Fighting Championship 5,"January 29, 2011","Houston, Texas, United States"
4,Legacy Promotions 4,"November 5, 2010","Houston, Texas, United States"
3,Legacy Promotions 3,"July 31, 2010","Houston, Texas, United States"
2,Legacy Promotions 2,"March 20, 2010","Houston, Texas, United States"
1,Legacy Promotions 1,"November 17, 2009","Houston, Texas, United States"
