Club,City or Regency,Stadium,Capacity,2013 season
Bintang Jaya Asahan,Asahan,Mutiara Kisaran,10000,Third round in First Division
Deltras Sidoarjo,Sidoarjo,Gelora Delta,35000,First round in LI Premier Division
Kalteng Putra,Palangkaraya,Tuah Pahoe Stadium,7000,Premier League playoff runner-up
Martapura FC,Banjar,Demang Lehman,15000,Third round in First Division
Madiun Putra,Madiun,Wilis,10000,First round in LI Premier Division
Mojokerto Putra,Mojokerto,Gajahmada,10000,Second round in LI Premier Division
Persbul Buol,Buol,Kuonoto,3000,First round in LI Premier Division
Persebo Bondowoso,Bondowoso,Semeru,10000,First round in LI Premier Division
Perseka Kaimana,Kaimana,Triton,5000,First round in LI Premier Division
Metro FC,Malang Regency,Kanjuruhan,30000,First round in LI Premier Division
Persekap Pasuruan,Pasuruan,Untung Suropati,5000,LPIS Premier Division participant
Perseman Manokwari,Manokwari,Wilis,10000,Premier League playoff participant
Persenga Nganjuk,Nganjuk,Anjukladang,10000,LPIS Premier Division participant
Perseta Tulungagung,Tulungagung Regency,Rejoagung,7000,Second round in LI Premier Division
Persewangi Banyuwangi,Banyuwangi,Diponegoro,10000,First round in LI Premier Division
Persewon Wondama,Teluk Wondama Regency,Sanggeng,10000,LPIS Premier Division participant
Persibangga Purbalingga,Purbalingga,Goentoer Darjono,15000,LPIS Premier Division participant
Persid Jember,Jember,Notohadinegoro,10000,First round in LI Premier Division
Persida Sidoarjo,Sidoarjo,Gelora Delta,35000,Third round in First Division
Persidafon Dafonsoro,Jayapura Regency,Barnabas Youwe,15000,16th in Super League
Persifa Fak-fak,Fak-Fak,16 November,7000,LPIS Premier Division participant
Persigo Gorontalo,Gorontalo,Merdeka,10000,First round in LI Premier Division
Persigubin Gunung Bintang,Pegunungan Bintang,Barnabas Youwe,15000,Third round in First Division
Persih Tembilahan,Indragiri Hilir,Beringin,5000,First round in LI Premier Division
Persika Karawang,Karawang,Singaperbangsa,20000,LPIS Premier Division participant
Persikab Bandung,Bandung Regency,Jalak Harupat,40000,LPIS Premier Division participant
Persikabo Bogor,Bogor Regency,Pakansari Persikabo,3000015000,Knockout stage in LI Premier Division
Persikad Depok,Depok,Merpati Stadium,1000,First round in LI Premier Division
Persiku Kudus,Kudus,Wergu Wetan,10000,First round in LI Premier Division
Persinga Ngawi,Ngawi Madiun,Ketonggo Wilis,1000010000,First Division runner-up
Persip Pekalongan,Pekalongan,Hoegeng,25000,First round in LI Premier Division
Persipasi Bekasi,Bekasi,Patriot,30000500015000,LPIS Premier Division participant
Persipon Pontianak,Pontianak,Sultan Syarif Abdurrahman,15000,LPIS Premier Division participant
Persipur Purwodadi,Purwodadi,Krida Bakti,15000,First round in LI Premier Division
Persiraja Banda Aceh,Banda Aceh,Harapan Bangsa Stadium,40000,Premier League playoff participant
Kuningan FC,Kuningan,Mashud Wisnusaputra,10000,LPIS Premier Division participant
Persis Solo,Surakarta,Manahan,35000,First round in LI Premier Division
Persisko Bangko,West Tanjung Jabung Regency,Karya Bhakti,3000,Second round in LI Premier Division
Persitara Jakarta Utara,North Jakarta,Kamal Muara,1000010000,First round in LI Premier Division
Persitema Temanggung,Temanggung Regency,Bhumi Phala,15000,First round in LI Premier Division
Persiwa Wamena,Jayawijaya Regency,Pendidikan Stadium,15000,17th in Super League
PPSM Sakti Magelang,Magelang,Abu Bakrin,10000,First round in LI Premier Division
Pro Duta FC,Medan,Teladan,22234,Premier League playoff champion
PS Bangka,Bangka Regency,Orom,3000,Second round in LI Premier Division
PS Bengkulu,Bengkulu,Semarak,15000,First round in LI Premier Division
PS Kwarta,Deli Serdang,Teladan,22234,First Division champions
PS Sumbawa Barat,West Sumbawa,Lalu Magaparang,15000,First round in LI Premier Division
PSAP Sigli,Pidie Regency,Kuta Asan,15000,First round in LI Premier Division
PSBI Blitar,Blitar,Aryo Srengat,6000,LPIS Premier Division participant
PSBK Blitar,Blitar Regency,Gelora Supriyadi,15000,First round in LI Premier Division
PSBL Langsa,Langsa,Langsa Stadium,8000,LPIS Premier Division participant
PSBS Biak Numfor,Biak Numfor,Cendrawasih,30000,Second round in LI Premier Division
PSCS Cilacap,Cilacap,Wijayakusuma,10000,Second round in LI Premier Division
PSGC Ciamis,Ciamis,Galuh,10000,Third round in First Division
PSIM Yogyakarta,Yogyakarta,Mandala Krida,25000,First round in LI Premier Division
PSIR Rembang,Rembang Regency,Krida,10000,Premier League playoff participant
PSIS Semarang,Semarang,Jatidiri,25000,Second round in LI Premier Division
PSMS Medan,Medan,Teladan,22234,First round in LI Premier Division
PSPS Pekanbaru,Pekanbaru,Kaharudin Nasution,25000,18th in Super League
PSS Sleman,Sleman,Maguwoharjo,10000,LPIS Premier Division champions
Pusamania Borneo,Samarinda,Segiri,25000,Second round in LI Premier Division
Villa 2000,South Tangerang,GOR Ciracas,5000,Third round in First Division
Yahukimo FC,Yahukimo,Andi Mattalatta,15000,First round in LI Premier Division
