Season,Premiers,Runners-up,Score
1903,East Sydney,North Shore,6.4  d. 4.2
1904,North Shore,Balmain,5.13  d. 2.8
1905,Sydney,YMCA,7.9  d. 7.8
1906,Newtown,Redfern,9.8  d. 1.14
1907,Sydney,Newtown,9.6  d. 1.4
1908,YMCA,East Sydney,15.6  d. 5.8
1909,North Shore,YMCA,7.5  d. 5.5
1910,YMCA,East Sydney,5.18  d. 3.6
1911,East Sydney,Sydney,4.5  d. 2.4
1912,Sydney,Paddington,5.13  d. 2.3
1913,Sydney,Paddington,9.16  d. 6.6
1914,South Sydney,Sydney,7.7  d. 4.15
1915,Paddington,Newtown,9.5  d. 5.11
1916,Paddington,Balmain,3.14  d. 1.8
1917,Paddington,East Sydney,12.20  d. 3.10
1918,East Sydney,Newtown,14.12  d. 6.7
1919,Paddington,East Sydney,11.10  d. 8.8
1920,Paddington,Newtown,15.5  d. 9.15
1921,North Shore,Newtown,10.7  d. 7.12
1922,Paddington,Newtown,8.6  d. 5.14
1923,Sydney,Newtown,10.7  d. 8.15
1924,Paddington,Newtown,11.8  d. 9.14
1925,Sydney,Paddington,9.13  d. 7.10
1926,Eastern Suburbs,Western Suburbs,6.10  d. 4.7
1927,Eastern Suburbs,Newtown,9.16  d. 6.13
1928,Newtown,Eastern Suburbs,10.16  d. 4.5
1929,Newtown,North Shore,10.8  d. 6.6
1930,Newtown,South Sydney,9.17  d. 7.13
1931,Sydney,Newtown,6.7  d. 4.14
1932,Newtown,South Sydney,7.12  d. 5.5
1933,Newtown,Sydney,10.3  d. 7.16
1934,South Sydney,Newtown,17.12  d. 12.6
1935,South Sydney,St George,21.9  d. 11.17
1936,Newtown,South Sydney,17.8  d. 10.10
1937,St George,South Sydney,11.16  d. 6.9
1938,St George,Newtown,6.20  d. 1.9
1939,Newtown,St George,10.25  d. 10.3
1940,Newtown,Eastern Suburbs,10.11  d. 8.8
1941,Eastern Suburbs,South Sydney,7.10  d. 8.3
1942,Newtown,South Sydney,14.14  d. 9.10
1943,St George,South Sydney,12.19  d. 9.10
1944,Sydney Naval,R.A.A.F,11.15  d. 8.17
1945,Newtown,R.A.A.F,20.18  d. 12.14
1946,Newtown,St George,16.13  d. 10.6
1947,Newtown,Eastern Suburbs,18.14  d. 10.6
1948,Newtown,Sydney Naval,16.17  d. 6.15
1949,Newtown,Eastern Suburbs,15.10  d. 14.15
1950,Newtown,Sydney Naval,13.16  d. 8.7
1951,Western Suburbs,Eastern Suburbs,11.15  d. 10.9
1952,North Shore,Western Suburbs,11.7  d. 9.12
1953,Eastern Suburbs,Western Suburbs,21.22  d. 15.12
1954,Eastern Suburbs,Newtown,13.20  d. 11.8
1955,Eastern Suburbs,North Shore,13.12  d. 7.10
1956,Eastern Suburbs,Western Suburbs,10.12  d. 9.17
1957,Eastern Suburbs,Sydney Naval,12.18  d. 9.16
1958,Eastern Suburbs,Western Suburbs,15.11  d. 8.11
1959,Eastern Suburbs,Newtown,14.11  d. 7.11
1960,Sydney Naval,Newtown,9.12  d. 9.9
1961,North Shore,Sydney Naval,11.15  d. 4.11
1962,Sydney Naval,Newtown,18.20  d. 14.13
1963,Western Suburbs,Newtown,14.14  d. 12.16
1964,St George,Western Suburbs,14.18  d. 4.18
1965,Western Suburbs,St George,17.15  d. 12.9
1966,Western Suburbs,St George,15.22  d. 10.10
1967,Newtown,Western Suburbs,9.16  d. 8.12
1968,Newtown,Western Suburbs,22.11  d. 10.18
1969,Western Suburbs,Newtown,13.17  d. 12.16
1970,Newtown,North Shore,15.16  d. 10.16
1971,East Sydney,Western Suburbs,19.15  d. 15.22
1972,Western Suburbs,East Sydney,22.23  d. 12.14
1973,East Sydney,Western Suburbs,22.18  d. 18.9
1974,Western Suburbs,East Sydney,18.25  d. 17.21
1975,Western Suburbs,East Sydney,18.18  d. 12.16
1976,East Sydney,North Shore,23.12  d. 10.13
1977,Western Suburbs,North Shore,18.25  d. 14.9
1978,North Shore,Western Suburbs,17.17  d. 13.12
1979,North Shore,Western Suburbs,13.17  d. 9.22
1980,East Sydney,North Shore,30.24  d. 12.11
1981,East Sydney,Newtown,19.16  d. 3.23
1982,East Sydney,Pennant Hills,8.8  d. 5.8
1983,East Sydney,Balmain,18.23  d. 15.3
1984,East Sydney,North Shore,20.13  d. 5.4
1985,North Shore,Campbelltown,18.19  d. 14.12
1986,Campbelltown,North Shore,17.13  d. 13.14
1987,Campbelltown,St George,25.16  d. 12.7
1988,Campbelltown,East Sydney,13.10  d. 8.9
1989,Campbelltown,North Shore,10.12  d. 6.9
1990,Holroyd-Parramatta,North Shore,9.15  d. 9.8
1991,North Shore,Holroyd-Parramatta,10.13  d. 7.9
1992,Sydney University,North Shore,18.16  d. 8.11
1993,St George,North Shore,17.13  d. 9.26
1994,Campbelltown,North Shore,13.16  d. 12.15
1995,Campbelltown,Pennant Hills,16.19  d. 9.5
1996,Western Suburbs,Pennant Hills,12.16  d. 11.10
1997,Balmain,St George,17.13  d. 11.14
1998,Balmain,Pennant Hills,12.13  d. 9.11
1999,Campbelltown,Balmain,18.5  d. 13.13
2000,Pennant Hills,North Shore,15.12  d. 10.7
2001,North Shore,Campbelltown,12.12  d. 10.9
2002,UNSW/ES,North Shore,16.10  d. 11.6
2003,UNSW/ES,North Shore,12.10  d. 10.16
2004,North Shore,St George,10.11  d. 7.4
2005,North Shore,Western Suburbs,13.9  d. 6.10
2006,Pennant Hills,East Coast,5.20  d. 7.6
2007,North Shore,St George,12.15  d. 9.12
2008,Pennant Hills,East Coast,20.12  d. 3.10
2009,East Coast,UNSW/ES,22.12  d. 13.12
2010,East Coast,Sydney University,13.9  d. 10.10
2011,East Coast,Balmain,17.12  d. 10.11
2012,UNSW/ES,Balmain,13.11  d. 7.5
2013,Manly-Warringah,Pennant Hills,11.14  d. 11.6
2014,Manly-Warringah,Pennant Hills,8.20  d. 2.10
2015,Pennant Hills,East Coast,14.5  d. 7.12
2016,East Coast,St George,17.5  d. 9.12
2017,Pennant Hills,Sydney University,10.6  d. 7.18
2018,UNSW/ES,Sydney University,8.10  d. 7.13
2019,UNSW/ES,Sydney University,10.9  d. 6.15
2020,Sydney University,UNSW/ES,8.6  d. 6.9
2022,UNSW/ES,North Shore,7.10  d. 2.10
2023,UNSW/ES,North Shore,10.6  d. 6.10
2024,North Shore,Manly-Warringah,10.9  d. 5.6
