Award,Category,Recipients and nominees,Result
2014 Cannes Film Festival,Best Screenplay,Andrey Zvyagintsev and Oleg Negin,Won
2014 Cannes Film Festival,Palme d'Or,Andrey Zvyagintsev,Nominated
European Film Award,Best Film,Andrey Zvyagintsev,Nominated
European Film Award,Best Director,Andrey Zvyagintsev,Nominated
European Film Award,Best Screenwriter,"Oleg Negin,Andrey Zvyagintsev",Nominated
European Film Award,Best Actor,Aleksei Serebryakov,Nominated
45th International Film Festival of India,Golden Peacock,Andrey Zvyagintsev,Won
35th Independent Spirit Awards,Best International Film,Andrey Zvyagintsev,Nominated
International Art Festival of Cinematography,Best Cinematographer,Mikhail Krichman,Won
58th London Film Festival,Best Film,Andrey Zvyagintsev and Alexander Rodnyansky,Won
68th British Academy Film Awards,Best Film Not in the English Language,Andrey Zvyagintsev,Nominated
32nd Munich Film Festival,Best Film,Andrey Zvyagintsev and Alexander Rodnyansky,Won
8th Abu Dhabi Film Festival,Best Narrative  Best Actor,"Andrey Zvyagintsev, Alexey Serebryakov",Won
Palm Springs International Film Festival,Best Foreign Language Film,Andrey Zvyagintsev,Won
Asia Pacific Screen Awards,,,
Asia Pacific Screen Awards,Best Feature film,Andrey Zvyagintsev,Won
Asia Pacific Screen Awards,Achievement in Directing,Andrey Zvyagintsev,Nominated
Asia Pacific Screen Awards,Achievement in Cinematography,Mikhail Krichman,Nominated
72nd Golden Globe Awards,Best Foreign Language Film,Andrey Zvyagintsev and Alexander Rodnyansky,Won
13th Golden Eagle Award,,,
13th Golden Eagle Award,Best Direction,Andrey Zvyagintsev,Won
13th Golden Eagle Award,Best Leading Actress,Elena Lyadova,Won
13th Golden Eagle Award,Best Film Editing,Anna Mass,Won
13th Golden Eagle Award,Best Supporting Actor,Roman Madyanov,Won
51st Guldbagge Awards,Best Foreign Film,Leviathan,Won
87th Academy Awards,Best Foreign Language Film,Andrey Zvyagintsev,Nominated
30th Goya Awards,Best European Film,Andrey Zvyagintsev,Nominated
Russian Guild of Film Critics,Best Film,Leviathan,Won
Russian Guild of Film Critics,Best Director,Andrey Zvyagintsev,Won
Russian Guild of Film Critics,Best Screenplay,"Oleg Negin, Andrey Zvyagintsev",Won
Russian Guild of Film Critics,Best Director of Photography,Mikhail Krichman,Nominated
Russian Guild of Film Critics,Best Female Actor,Elena Lyadova,Won
Russian Guild of Film Critics,Best Male Actor,Aleksei Serebryakov,Won
Russian Guild of Film Critics,Best Male Supporting Actor,Roman Madyanov,Won
27th Nika Awards,Best Film,"Andrey Zvyagintsev, Alexander Rodnyansky",Nominated
27th Nika Awards,Best Director,Andrey Zvyagintsev,Nominated
27th Nika Awards,Best Screenplay,"Oleg Negin, Andrey Zvyagintsev",Nominated
27th Nika Awards,Best Cinematographer,Mikhail Krichman,Nominated
27th Nika Awards,Best Actress,Elena Lyadova,Won
27th Nika Awards,Best Actor,Aleksei Serebryakov,Nominated
27th Nika Awards,Best Supporting Actor,Roman Madyanov,Won
27th Nika Awards,Best Supporting Actor,Vladimir Vdovichenkov,Nominated
27th Nika Awards,Best Supporting Actress,Anna Ukolova,Nominated
27th Nika Awards,Best Production Designer,Andrey Ponkratov,Nominated
27th Nika Awards,Best Sound,Andrey Dergachev,Nominated
