Product,Nicotine (mg/g),Free Nicotine (mg/g),Free Nicotine (% of total nicotine),pH,Type,Form,Year
Ariva,3.9,0.7,17.95,7.36,"dissolvable, dry",pieces,2007
Stonewall Natural,8.19,1.17,14.23,7.24,"dissolvable, dry",pieces,2007
Beech-nut Chewing Tobacco,7.07,0.02,0.35,5.56,loose leaf,loose,2006
Hawken Wintergreen,2.92,0.01,0.22,5.37,loose leaf,cut,2007
Lancaster Premium Chewing Tobacco,8.01,0.01,0.11,5.05,loose leaf,loose,2007
Levi Garrett Chewing Tobacco,5.34,0.06,1.19,6.1,loose leaf,loose,2006
Red Man Chewing Tobacco,8.58,0.08,0.88,5.97,loose leaf,loose,2006
Red Man Golden Chewing Tobacco,7.7,0.06,0.72,5.88,loose leaf,loose,2006
Stoker Chew Apple Chewing Tobacco,3.77,0.01,0.22,5.37,loose leaf,loose,2007
Taylor's Pride,6.43,0.06,0.9,5.98,plug,one cut,2006
Catch Dry Eucalyptus,15.93,1.39,8.72,7.0,"snuff, dry",pouch,2006
Catch Dry Licorice,16.7,0.68,4.09,6.65,"snuff, dry",pouch,2006
Skoal Dry,11.91,2.39,20.08,7.42,"snuff, dry",pouch,2007
Taboka,16.73,0.36,2.14,6.36,"snuff, dry",pouch,2007
Taboka Green,13.01,0.48,3.66,6.6,"snuff, dry",pouch,2007
Bruton Scotch Snuff,17.49,0.49,2.8,6.48,"snuff, dry",powder,2006
Dental Sweet Snuff,11.14,0.13,1.19,6.1,"snuff, dry",powder,2006
Levi Garrett Snuff,16.6,0.07,0.42,5.65,"snuff, dry",powder,2007
Railroad Mills Plain Scotch Snuff,23.13,0.48,2.09,6.35,"snuff, dry",powder,2007
Red Seal Sweet Snuff,15.08,0.4,2.62,6.45,"snuff, dry",powder,2007
Camel Frost,13.25,4.7,35.46,7.76,"snuff, moist",pouch,2006
Camel Frost,14.1,4.71,33.39,7.72,"snuff, moist",pouch,2007
Camel Original,13.87,4.7,33.9,7.73,"snuff, moist",pouch,2006
Camel Original,13.49,6.2,45.98,7.95,"snuff, moist",pouch,2007
Camel Spice,13.16,6.65,50.58,8.03,"snuff, moist",pouch,2006
Camel Spice,13.16,6.65,50.58,8.03,"snuff, moist",pouch,2007
Cooper Long Cut Wintergreen,7.97,1.09,13.68,7.22,"snuff, moist",long cut,2007
Copenhagen,12.68,3.21,25.31,7.55,"snuff, moist",fine cut,2006
Copenhagen Long Cut,13.91,5.38,38.69,7.82,"snuff, moist",long cut,2006
Copenhagen Pouches,11.21,6.81,60.77,8.21,"snuff, moist",fine cut,2006
General Loose,7.15,1.87,26.19,7.57,"snuff, moist",coarse,2006
General Original Portion,8.46,5.1,60.22,8.2,"snuff, moist",pouch,2006
General White Portion,7.92,4.81,60.77,8.21,"snuff, moist",pouch,2006
Grizzly Long Cut Wintergreen,10.29,6.59,64.01,8.27,"snuff, moist",long cut,2006
Grizzly Long Cut Wintergreen,11.2,5.86,52.3,8.06,"snuff, moist",long cut,2007
Husky Fine Cut Natural,12.86,4.77,37.06,7.79,"snuff, moist",fine cut,2007
Kayak Long Cut Wintergreen,11.88,2.26,18.99,7.39,"snuff, moist",long cut,2007
Kodiak Premium Wintergreen,10.93,6.52,59.66,8.19,"snuff, moist",long cut,2006
Kodiak Premium Wintergreen,10.7,8.18,76.39,8.53,"snuff, moist",long cut,2007
Longhorn Long Cut Wintergreen,13.79,5.72,41.45,7.87,"snuff, moist",long cut,2007
Red Seal Fine Cut Natural,13.17,3.11,23.61,7.51,"snuff, moist",fine cut,2007
Renegades Wintergreen,13.36,2.4,17.95,7.36,"snuff, moist",pouch,2007
Skoal Fine Cut Original,13.31,3.85,28.95,7.63,"snuff, moist",fine cut,2006
Skoal Long Cut Cherry,12.7,1.67,13.15,7.2,"snuff, moist",long cut,2006
Skoal Long Cut Mint,12.93,3.68,28.47,7.62,"snuff, moist",long cut,2006
Skoal Long Cut Straight,13.37,3.94,29.42,7.64,"snuff, moist",long cut,2006
Skoal Long Cut Wintergreen,12.84,2.87,22.38,7.48,"snuff, moist",long cut,2006
Timberwolf Long Cut Wintergreen,14.13,5.16,36.53,7.78,"snuff, moist",long cut,2007
