Year,Film,Role,Director,Co-artists
1995,Banglar Nayok,Munna,Dewan Nazrul,Sonia
1996,Ojante,Mirza Ashik,Dilip Biswas,Sonia
1996,Priyojon,Sumon,Rana Naser,"Shilpi, Salman Shah"
1996,Bachar Lorai,Raju,Syed Harun,Sonia
1996,Mithyar Mrittu,Raju,Chotku Ahmed,Sonia
1997,Praner Cheye Priyo,Anik / Rony,Mohammad Hannan,Ravina
1997,Hridoyer Ayna,Hridoy,Mokhlesur Rahman,Ayna
1997,Prithibi Amare Chay Na,Sagor,Anjan,Snigdha
1997,Mon Mane Na,Sagor,Matin Rahman,Shabnur
1997,Tumi Sudhu Tumi,Sagor,Abid Hasan,Shabnur
1997,Bhalobashi Tomake,Anik,Mohammad Hannan,Shabnur
1997,E Jibon Tomar Amar,Prithibi,Jakir Hossain Raju,Purnima
1998,Buk Bhora Bhalobasha,Sagor,Chotku Ahmed,Shabnur
1998,Bidrohi Charidike,Anik / Biplob,Mohammad Hannan,Popy
1998,Prithibi Tomar Amar,Shaon,Badol Khandokar,Shabnur
1998,Kajer Meye,Sagor,Azadi Hasnat Firoz,Shabnur
1998,Swapner Purush,Noor,Monowar Khokon,Shabnur
1998,Biyer Phul,Sagor,Matin Rahman,Shabnur
1998,Asha Amar Asha,Jadu,Helal Khan,"Shabnur, Ayesha Jhulka"
1998,Tomar Jonno Pagol,Jibon,Shilpi Chakraborty,Shabnur
2000,Narir Mon,Akash,Matin Rahman,Shabnur
2000,Dui Duari,Mystery Man,Humayun Ahmed,Meher Afroz Shaon
2000,E Badhon Jabena Chhire,Badhon,F I Manik,Shabnur
2000,Sabdhan,Khoka / Sultan,Mohammad Hannan,Ravina
2000,Noyoner Noyon,Gahor,Kazi Morshed,Shabnur
2000,Mone Rekho Amay,Sagor,Nasir Uddin,Purnima
2000,Bhoyonkar Bishu,Surjo,Montazur Rahman Akbar,Shabnur
2000,Ei Mon Chai Je..!,Shamim,Matin Rahman,"Shabnur, Ferdous"
2001,Khobordar,Anik,Mohammad Hannan,Purnima
2001,Karishma,Moni,AKM Selim,Shabnur
2001,Mayer Somman,Biplob,Gazi Jahangir,Purnima
2001,Dalopati,Shahid,Mohammad Hannan,Ravina
2001,Ami Tomari,Sagor,Matin Rahman,Shabnur
2001,Iblish,Golam E-Mostafa,Sheikh Ruhul Amin,Purnima
2001,Dhawa,Riaz Ahmed,Kazi Hayat,Shimla
2001,Hridoye Lekha Naam,Sagor,Sheikh Didaar,Tamanna
2001,Shoshurbari Zindabad,Badhon,Debashish Biswas,Shabnur
2001,Kothin Bastob,Rasha,Montazur Rahman Akbar,Keya
2002,Hridoyer Bandhon,Akash,F I Manik,Shabnur
2002,Mone Pore Tomake,Raj,Montazur Rahman Akbar,Riya Sen
2002,Premer Taj Mahal,Robin,Gazi Mahbub,Shabnur
2002,Khepa Basu,Sagar,Komol Sarkar,Popy
2002,Eri Naam Dosti: Ties Never Die,Raju,Syedur Rahman,Shabnur
2002,Nishwase Tumi Bishwase Tumi,Apon,Jakir Hossain Raju,"Shabnur, Purnima"
2002,Sundori Bodhu,Babu,Amjad Hossain,Shabnur
2002,Bhalobashar Shotru,Raju,Aziz Ahmed Babul,Keya
2002,Oder Dhor,Rashed,Babul Reza,Popy
2002,Bostir Meye,Jony,Azadi Hasnat Firoz,"Shabnur, Ferdous"
2002,Milon Hobe Koto Dine,Parosh,Jakir Hossain Raju,Shabnur
2002,Ontore Jhor,Major Shadhin,Shilpi Chakraborty,Ayna
2002,O Priya Tumi Kothay,Sagor,Shahadat Hossain Liton,"Shabnur, Shakib Khan"
