Pos,Grid,No.,Driver,Team,Manufacturer,Laps,Points
1,25,2,Brad Keselowski,Team Penske,Ford,267,47
2,8,24,Jeff Gordon,Hendrick Motorsports,Chevrolet,267,43
3,10,42,Kyle Larson,Chip Ganassi Racing,Chevrolet,267,42
4,28,22,Joey Logano,Team Penske,Ford,267,40
5,12,4,Kevin Harvick,Stewart-Haas Racing,Chevrolet,267,41
6,24,11,Denny Hamlin,Joe Gibbs Racing,Toyota,267,38
7,1,18,Kyle Busch,Joe Gibbs Racing,Toyota,267,38
8,14,41,Kurt Busch,Stewart-Haas Racing,Chevrolet,267,36
9,11,1,Jamie McMurray,Chip Ganassi Racing,Chevrolet,267,36
10,5,20,Matt Kenseth,Joe Gibbs Racing,Toyota,267,34
11,13,88,Dale Earnhardt Jr.,Hendrick Motorsports,Chevrolet,267,33
12,7,48,Jimmie Johnson,Hendrick Motorsports,Chevrolet,267,32
13,19,5,Kasey Kahne,Hendrick Motorsports,Chevrolet,267,31
14,27,78,Martin Truex Jr.,Furniture Row Racing,Chevrolet,267,30
15,2,31,Ryan Newman,Richard Childress Racing,Chevrolet,267,29
16,15,3,Austin Dillon,Richard Childress Racing,Chevrolet,267,28
17,4,17,Ricky Stenhouse Jr.,Roush Fenway Racing,Ford,267,27
18,22,14,Tony Stewart,Stewart-Haas Racing,Chevrolet,267,26
19,18,10,Danica Patrick,Stewart-Haas Racing,Chevrolet,267,25
20,3,99,Carl Edwards,Roush Fenway Racing,Ford,266,24
21,9,27,Paul Menard,Richard Childress Racing,Chevrolet,266,23
22,17,47,A. J. Allmendinger,JTG Daugherty Racing,Chevrolet,265,22
23,20,16,Greg Biffle,Roush Fenway Racing,Ford,265,21
24,16,55,Brian Vickers,Michael Waltrip Racing,Toyota,265,20
25,21,9,Marcos Ambrose,Richard Petty Motorsports,Ford,265,19
26,29,13,Casey Mears,Germain Racing,Chevrolet,264,18
27,26,51,Justin Allgaier,HScott Motorsports,Chevrolet,264,17
28,38,40,Landon Cassill,Hillman-Circle Sport LLC,Chevrolet,263,0
29,36,36,Reed Sorenson,Tommy Baldwin Racing,Chevrolet,262,15
30,33,26,Cole Whitt,BK Racing,Toyota,262,14
31,39,34,David Ragan,Front Row Motorsports,Ford,262,13
32,32,95,Michael McDowell,Leavine Family Racing,Ford,262,12
33,34,98,Josh Wise,Phil Parsons Racing,Chevrolet,262,11
34,30,38,David Gilliland,Front Row Motorsports,Ford,261,10
35,37,23,Alex Bowman,BK Racing,Toyota,261,9
36,41,66,Joe Nemechek,Identity Ventures Racing,Toyota,258,0
37,43,32,Joey Gase,Go FAS Racing,Ford,257,0
38,42,33,Travis Kvapil,Hillman-Circle Sport LLC,Chevrolet,256,6
39,6,15,Clint Bowyer,Michael Waltrip Racing,Toyota,244,5
40,35,7,Michael Annett,Tommy Baldwin Racing,Chevrolet,233,4
41,23,43,Aric Almirola,Richard Petty Motorsports,Ford,230,4
42,31,83,Ryan Truex,BK Racing,Toyota,184,2
43,40,37,Mike Bliss,Hillman-Circle Sport LLC,Chevrolet,13,0
