Name,Appearances,Tries,Goals,Field Goals,Points,Captain,Age
Adam Clydsdale,17,2,0,0,8,0.0,22
David Fa'alogo,16,1,0,0,4,0.0,35
Lachlan Fitzgibbon,1,0,0,0,0,0.0,21
Dane Gagai,24,7,2,0,32,0.0,24
Kurt Gidley,22,6,13,0,50,22.0,33
Chris Houston,22,3,0,0,12,0.0,30
Joseph Leilua,13,6,0,0,24,0.0,24
Danny Levi,7,2,0,0,8,0.0,20
Jake Mamo,9,4,0,0,16,0.0,21
Sam Mataora,9,0,0,0,0,0.0,25
Chanel Mata'utia,1,0,0,0,0,0.0,23
Sione Mata'utia,22,3,0,0,12,0.0,19
James McManus,17,5,0,0,20,0.0,29
Jarrod Mullen,10,1,0,0,4,0.0,28
Clint Newton,10,1,0,0,4,0.0,34
Tyler Randell,20,4,2,0,20,0.0,23
Chad Redman,2,1,0,0,4,0.0,23
Tyrone Roberts,21,3,54,0,120,0.0,24
Robbie Rochow,5,1,0,0,4,0.0,25
Nathan Ross,6,2,0,0,8,0.0,27
Beau Scott,18,2,0,0,8,2.0,31
Korbin Sims,22,2,0,0,8,0.0,23
Tariq Sims,19,4,0,0,16,0.0,25
Jeremy Smith,17,2,0,0,8,0.0,35
Kade Snowden,21,3,0,0,12,0.0,29
Jack Stockwell,12,0,0,0,0,0.0,23
Joseph Tapine,13,1,0,0,4,0.0,21
Carlos Tuimavave,5,1,0,0,4,0.0,23
Akuila Uate,22,12,0,0,48,0.0,28
Paterika Vaivai,5,0,0,0,0,0.0,23
