Player,GP,GS,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,RPG,APG,SPG,BPG,TOV,PPG
Karim Abdul,14,14.0,33.0,82,190,43.2,2,6,33.3,63,97,64.9,12.1,1.4,0.9,2.0,3.2,16.4
Aljon Mariano,14,8.0,29.7,64,149,43.0,6,17,35.3,45,67,67.2,7.1,2.4,0.5,0.2,2.6,12.8
Jeric Teng,7,7.0,27.4,30,90,33.3,4,26,15.4,19,24,79.2,4.3,1.7,0.9,0.0,1.6,11.9
Kevin Ferrer,14,10.0,30.4,58,171,33.9,9,71,12.7,42,61,68.9,8.1,2.1,0.7,1.0,1.9,11.9
Ed Daquioag,14,8.0,24.4,45,104,43.3,9,37,24.3,24,39,61.5,4.5,2.5,0.6,0.4,2.3,8.8
Tata Bautista,14,8.0,28.5,38,130,29.2,23,79,29.1,15,19,78.9,3.8,1.6,0.4,0.0,1.7,8.1
Kim Lo,14,6.0,17.6,17,55,30.9,2,13,15.4,10,15,66.7,2.9,1.1,0.8,0.2,0.9,3.3
Jon Sheriff,8,1.0,12.5,5,16,31.3,0,0,0.0,6,10,60.0,2.8,1.5,0.3,0.0,0.1,2.0
Brian So,6,2.0,5.5,2,8,25.0,0,2,0.0,3,4,75.0,0.8,0.0,0.0,0.0,0.3,1.2
Paolo Pe,14,5.0,11.9,4,19,21.1,0,0,0.0,3,8,37.5,2.9,0.3,0.1,0.3,0.6,0.8
Robert Hainga,8,1.0,4.4,3,7,42.9,0,0,0.0,0,1,0.0,0.5,0.1,0.0,0.0,0.0,0.8
Jeepy Faundo,4,0.0,2.0,0,0,0.0,0,0,0.0,2,2,100.0,0.0,0.0,0.0,0.0,0.0,0.5
Kent Lao,6,0.0,3.8,0,4,0.0,0,0,0.0,1,2,50.0,0.7,0.0,0.0,0.2,0.0,0.2
Joco Macasaet,1,0.0,9.0,0,0,0.0,0,0,0.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Pipoy Marata,1,0.0,2.0,0,1,0.0,0,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Robin Tan,4,0.0,3.8,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,14,,41.1,348,944,36.9,55,251,21.9,233,349,66.8,47.8,13.2,4.7,4.2,14.9,70.3
Opponents,14,,41.1,358,1011,35.4,89,369,24.8,140,237,59.1,46.9,14.9,4.1,3.2,15.0,67.5
