Year,Association,Category,Work,Result
2012,Teen Choice Awards,Choice Love Song,Home,Nominated
2012,Teen Choice Awards,Choice Music: Breakout Artist,Himself,Nominated
2013,World Music Awards,World's Best Song,Home,Nominated
2013,World Music Awards,World's Best Male Artist,Himself,Nominated
2013,Billboard Music Awards,Top Rock Song,Home,Nominated
2013,Billboard Music Awards,Top Rock Album,The World from the Side of the Moon,Nominated
2013,MuchMusic Video Awards,International Video of the Year - Artist,Home,Nominated
2013,Teen Choice Awards,Choice Male Artist,Himself,Nominated
2013,Teen Choice Awards,Choice Rock Song,"Gone, Gone, Gone",Nominated
2013,American Music Awards,New Artist of the Year,Himself,Nominated
2014,BMI Pop Music Awards,Award-Winning Songs - Raging Fire,Songwriter,Won
