Week,FedEx Air Player of the Week (Quarterbacks),FedEx Ground Player of the Week (Running backs),Pepsi Rookie of the Week,Castrol Edge Clutch Performer of the Week
1,Alex Smith,Kareem Hunt,Kareem Hunt,Alex Smith
2,Trevor Siemian,C. J. Anderson,Tyus Bowser,Trevor Siemian
3,Tom Brady,Kareem Hunt,Jake Elliott,Jake Elliott
4,Deshaun Watson,Le'Veon Bell,Alvin Kamara,Deshaun Watson
5,Carson Wentz,Leonard Fournette,Aaron Jones,Aaron Rodgers
6,Carson Wentz,Adrian Peterson,Marshon Lattimore,Mark Ingram II
7,Derek Carr,Aaron Jones,Aaron Jones,Carson Wentz
8,Russell Wilson,LeSean McCoy,Marshon Lattimore,Russell Wilson
9,Jay Cutler,Alvin Kamara,Alvin Kamara,Carson Wentz
10,Case Keenum,Mark Ingram II,Alvin Kamara,Mark Ingram II
11,Drew Brees,Mark Ingram II,Alvin Kamara,Drew Brees
12,Philip Rivers,Alvin Kamara,Alvin Kamara,Antonio Brown
13,Alex Smith,Jamaal Williams,Alvin Kamara,Aaron Jones
14,Ben Roethlisberger,LeSean McCoy,Jamaal Williams,Davante Adams
15,Jimmy Garoppolo,Todd Gurley,Marshon Lattimore,Jimmy Garoppolo
16,Jared Goff,Todd Gurley,Marshon Lattimore,Jimmy Garoppolo
17,Philip Rivers,Orleans Darkwa,Alvin Kamara,Tyler Boyd
