Year,Launched,Model,Family,Discontinued
1990,"March 19, 1990",Macintosh IIfx,Mac II,"April 15, 1992"
1990,"October 15, 1990",Macintosh LC,LC,"March 23, 1992"
1990,"October 15, 1990",Macintosh Classic,Compact,"September 14, 1992"
1990,"October 15, 1990",Macintosh IIsi,Mac II,"March 15, 1993"
1991,"February 11, 1991",Macintosh Portable,Portable,"October 21, 1991"
1991,"October 21, 1991",Macintosh Classic II,Compact,"January 1, 2001"
1991,"October 21, 1991",Macintosh Quadra 700,Quadra,"March 15, 1993"
1991,"October 21, 1991",Macintosh Quadra 900,Quadra,"May 18, 1992"
1991,"October 21, 1991",PowerBook 100,PowerBook 100,"August 3, 1992"
1991,"October 21, 1991",PowerBook 140,PowerBook 100,"August 3, 1992"
1991,"October 21, 1991",PowerBook 170,PowerBook 100,"October 19, 1992"
1992,"March 23, 1992",Macintosh LC II,LC,"March 15, 1993"
1992,"May 18, 1992",Macintosh Quadra 950,Quadra,"October 14, 1995"
1992,"August 3, 1992",PowerBook 145,PowerBook 100,"July 7, 1993"
1992,"October 19, 1992",Macintosh IIvi,Mac II,"February 10, 1993"
1992,"October 19, 1992",Macintosh IIvx,Mac II,"October 19, 1993"
1992,"October 19, 1992",PowerBook 160,PowerBook 100,"August 16, 1993"
1992,"October 19, 1992",PowerBook 180,PowerBook 100,"May 16, 1994"
1992,"October 19, 1992",PowerBook Duo 210,PowerBook Duo,"October 21, 1993"
1992,"October 19, 1992",PowerBook Duo 230,PowerBook Duo,"July 27, 1994"
1993,"February 10, 1993",Macintosh LC III,LC,"February 14, 1994"
1993,"February 10, 1993",Macintosh Color Classic,Compact,"May 16, 1994"
1993,"February 10, 1993",Macintosh Centris/Quadra 610,Centris,"October 21, 1993"
1993,"February 10, 1993",Macintosh Centris/Quadra 650,Centris,"October 21, 1993"
1993,"February 10, 1993",Macintosh Quadra 800,Quadra,"March 14, 1994"
1993,"February 10, 1993",PowerBook 165c,PowerBook 100,"December 13, 1993"
1993,"March 22, 1993",Workgroup Server 80,Workgroup Server,"October 17, 1994"
1993,"March 22, 1993",Workgroup Server 95,Workgroup Server,"April 3, 1995"
1993,"June 7, 1993",PowerBook 145B,PowerBook 100,"July 18, 1994"
1993,"June 7, 1993",PowerBook 180c,PowerBook 100,"March 14, 1994"
1993,"June 28, 1993",Macintosh LC 520,LC,"February 2, 1994"
1993,"July 26, 1993",Workgroup Server 60,Workgroup Server,"October 17, 1994"
1993,"July 29, 1993",Macintosh Centris/Quadra 660AV,Quadra,"September 12, 1994"
1993,"July 29, 1993",Macintosh Quadra 840AV,Quadra,"July 18, 1994"
1993,"August 16, 1993",PowerBook 165,PowerBook 100,"July 18, 1994"
1993,"October 10, 1993",Macintosh Color Classic II,Compact,"November 1, 1995"
1993,"October 18, 1993",Macintosh LC III+,LC,"February 14, 1994"
1993,"October 21, 1993",Macintosh Quadra 605,Quadra,"October 17, 1994"
1993,"October 21, 1993",Macintosh Quadra 610,Quadra,"July 18, 1994"
1993,"October 21, 1993",Macintosh Quadra 650,Quadra,"September 12, 1994"
1993,"October 21, 1993",Macintosh TV,LC,"February 1, 1995"
1993,"October 21, 1993",PowerBook Duo 250,PowerBook Duo,"May 16, 1994"
1993,"October 21, 1993",PowerBook Duo 270c,PowerBook Duo,"May 16, 1994"
1994,"February 2, 1994",Macintosh LC 550,LC,"March 23, 1995"
