No,Player,Position,Previous Club,Apps,Tries,Goals,DG,Points
1,Zak Hardaker,Fullback,Featherstone Rovers,31,13,9,1,71
2,Tom Briscoe,Winger,Hull F.C.,17,15,0,0,60
3,Kallum Watkins,Centre,Academy,32,20,0,0,80
4,Joel Moon,Centre,Salford Red Devils,32,15,0,0,60
5,Ryan Hall,Wing,Academy,31,22,0,0,88
6,Danny McGuire,Stand Off,Academy,34,17,0,0,68
7,Rob Burrow,Scrum-half,Academy,30,12,0,0,48
8,Kylie Leuluai,Prop,Manly Sea Eagles,22,2,0,0,8
9,Paul Aiton,Hooker,Wakefield Trinity,27,3,0,0,12
10,Jamie Peacock,Prop,Bradford Bulls,34,3,0,0,12
11,Jamie Jones-Buchanan,Second Row,Academy,11,0,0,0,0
12,Carl Ablett,Second Row,Academy,36,12,0,0,48
13,Kevin Sinfield,Loose forward,Academy,30,3,137,3,289
14,Stevie Ward,Loose forward,Academy,28,5,0,0,20
15,Brett Delaney,Second Row,Gold Coast Titans,26,4,0,0,16
16,Mitch Achurch,Prop,Penrith Panthers,20,3,0,0,12
17,Adam Cuthbertson,Prop,Newcastle Knights,34,9,0,0,36
18,Liam Sutcliffe,Stand-off,Academy,15,6,25,0,74
19,Brad Singleton,Prop,Academy,34,9,0,0,36
20,Jimmy Keinhorst,Centre,Academy,17,6,0,0,24
21,Josh Walters,Second Row,Academy,12,2,0,0,8
22,Andy Yates,Prop,Academy,10,1,0,0,4
23,Elliott Minchella,Loose forward,Academy,0,0,0,0,0
24,Robbie Ward,Hooker,Academy,3,0,0,0,0
26,Ashton Golding,Fullback,Academy,4,0,0,0,0
27,Ash Handley,Wing,Academy,20,13,0,0,52
28,Rob Mulhern,Prop,Academy,2,0,0,0,0
29,Jordan Lilley,Prop,Academy,6,0,1,0,2
30,Mitch Garbutt,Prop,Brisbane Broncos,14,1,0,0,4
