Date,Event,Venue,Location,Attendance,Final match
January 01,Day 1,State Farm Arena,"Atlanta, Georgia",13657.0,Big E  vs. Seth Freakin Rollins vs. Kevin Owens vs. Bobby Lashley vs. Brock Lesnar in a Fatal five-way match for the WWE Championship
January 29,Royal Rumble,The Dome at America's Center,"St. Louis, Missouri",44390.0,30-man Royal Rumble match
February 19,Elimination Chamber,Jeddah Super Dome,"Jeddah, Saudi Arabia",33328.0,Bobby Lashley  vs. AJ Styles vs. Austin Theory vs. Brock Lesnar vs. Riddle vs. Seth Freakin Rollins in a six-man Elimination Chamber match for the WWE Championship
April 02,Stand & Deliver,American Airlines Center,"Dallas, Texas",,Dolph Ziggler  vs. Bron Breakker for the NXT Championship
April 02,WrestleMania 38,AT&T Stadium,"Arlington, Texas",65719.0,Night 1: Stone Cold Steve Austin vs. Kevin Owens in a No Holds Barred match
April 03,WrestleMania 38,AT&T Stadium,"Arlington, Texas",65653.0,Night 2: Brock Lesnar  vs. Roman Reigns  in a Winner Takes All match to unify the WWE Championship and WWE Universal Championship
May 08,WrestleMania Backlash,Dunkin' Donuts Center,"Providence, Rhode Island",8050.0,Drew McIntyre and RK-Bro  vs. The Bloodline ) in a six-man tag team match
June 04,In Your House,WWE Performance Center,"Orlando, Florida",,Bron Breakker  vs. Joe Gacy for the NXT Championship
June 05,Hell in a Cell,Allstate Arena,"Rosemont, Illinois",12834.0,Cody Rhodes vs. Seth Freakin Rollins in a Hell in a Cell match
July 02,Money in the Bank,MGM Grand Garden Arena,"Paradise, Nevada",12076.0,Drew McIntyre vs. Madcap Moss vs. Omos vs. Riddle vs. Sami Zayn vs. Seth Freakin Rollins vs. Sheamus vs. Theory in an eight-man Money in the Bank ladder match
July 30,SummerSlam,Nissan Stadium,"Nashville, Tennessee",48449.0,Roman Reigns  vs. Brock Lesnar in a Last Man Standing match for the Undisputed WWE Universal Championship
September 03,Clash at the Castle,Principality Stadium,"Cardiff, Wales",62296.0,Roman Reigns  vs. Drew McIntyre for the Undisputed WWE Universal Championship
September 04,Worlds Collide,WWE Performance Center,"Orlando, Florida",,Bron Breakker  vs. Tyler Bate  to unify the NXT Championship and NXT United Kingdom Championship
October 08,Extreme Rules,Wells Fargo Center,"Philadelphia, Pennsylvania",15944.0,Matt Riddle vs. Seth Freakin Rollins in a Fight Pit match
October 22,Halloween Havoc,WWE Performance Center,"Orlando, Florida",,Bron Breakker  vs. Ilja Dragunov vs. JD McDonagh in a triple threat match for the NXT Championship
November 05,Crown Jewel,Mrsool Park,"Riyadh, Saudi Arabia",,Roman Reigns  vs. Logan Paul for the Undisputed WWE Universal Championship
November 26,Survivor Series: WarGames,TD Garden,"Boston, Massachusetts",15609.0,"The Brawling Brutes , Drew McIntyre, and Kevin Owens vs. The Bloodline ) in a WarGames match"
December 10,Deadline,WWE Performance Center,"Orlando, Florida",,Bron Breakker  vs. Apollo Crews for the NXT Championship
