Team,Location,Stadium,Capacity,Manager,Kit Sponsor,MLS Affiliate/Partnership
Arizona United SC,"Peoria, Arizona",Peoria Sports Complex,12339,Frank Yallop,Food City,
Bethlehem Steel FC,"Bethlehem, Pennsylvania",Goodman Stadium,16000,Brendan Burke,Lehigh Valley Health Network,Philadelphia Union
Charleston Battery,"Charleston, South Carolina",MUSC Health Stadium,5100,Michael Anhaeuser,Teamphoria!,Atlanta United FC
Charlotte Independence,"Charlotte, North Carolina",Ramblewood Soccer Complex,4300,Mike Jeffries,OrthoCarolina,Colorado Rapids
Colorado Springs Switchbacks FC,"Colorado Springs, Colorado",Switchbacks Stadium,3500,Steve Trittschuh,Penrose-St. Francis Health Services,
FC Cincinnati,"Cincinnati, Ohio",Nippert Stadium,40000,John Harkes,Toyota,
FC Montreal,Montreal,Complexe sportif Claude-Robillard,3500,Philippe Eullaffroy,,Montreal Impact
Harrisburg City Islanders,"Harrisburg, Pennsylvania",FNB Field,6187,Bill Becher,Capital Blue Cross,
LA Galaxy II,"Carson, California",StubHub Center Track and Field Stadium,2000,Curt Onalfo,Herbalife,LA Galaxy
Louisville City FC,"Louisville, Kentucky",Louisville Slugger Field,13131,James O'Connor,Humana,
New York Red Bulls II,"Harrison, New Jersey",Red Bull Arena,20000,John Wolyniec,Red Bull,New York Red Bulls
Oklahoma City Energy FC,"Oklahoma City, Oklahoma",Taft Stadium,7500,Jimmy Nielsen,First Fidelity Bank,FC Dallas
Orange County Blues FC,"Irvine, California",Anteater Stadium,2500,Barry Venison,,
Orlando City B,"Melbourne, Florida",Titan Soccer Complex,3500,Anthony Pulis,Orlando Health,Orlando City SC
Pittsburgh Riverhounds,"Pittsburgh, Pennsylvania",Highmark Stadium,3500,Dave Brandt,Allegheny Health Network,Columbus Crew SC
Portland Timbers 2,"Portland, Oregon",Merlo Field,4892,Andrew Gregor,Alaska Airlines,Portland Timbers
Real Monarchs SLC,"Sandy, Utah",Rio Tinto Stadium,20213,Freddy Juarez,LifeVantage,Real Salt Lake
Richmond Kickers,"Richmond, Virginia",City Stadium,22000,Leigh Cowlishaw,Woodfin Home Comfort Systems,D.C. United
Rio Grande Valley FC Toros,"Edinburg, Texas",H-E-B Park,9400,Wilmer Cabrera,,Houston Dynamo
Rochester Rhinos,"Rochester, New York",Sahlen's Stadium,13768,Bob Lilley,,New England Revolution
Saint Louis FC,"Fenton, Missouri",Soccer Park,5500,Tim Leonard,"Electrical Connection, NECA/IBEW Local 1",Chicago Fire
Sacramento Republic FC,"Sacramento, California",Bonney Field,11569,Paul Buckle,UC Davis Children's Hospital,San Jose Earthquakes
San Antonio FC,"San Antonio, Texas",Toyota Field,8296,Darren Powell,Toyota,
Seattle Sounders FC 2,"Tukwila, Washington",Starfire Sports Complex,4500,Ezra Hendrickson,Xbox,Seattle Sounders FC
Swope Park Rangers,"Kansas City, Missouri",Swope Soccer Village,3557,Marc Dos Santos,Ivy Funds,Sporting Kansas City
Toronto FC II,"Vaughan, Ontario",Ontario Soccer Centre,3500,Jason Bent,,Toronto FC
Tulsa Roughnecks FC,"Tulsa, Oklahoma",ONEOK Field,7833,David Irving,Oculto,
Vancouver Whitecaps FC 2,"Vancouver, British Columbia",Thunderbird Stadium,3500,Alan Koch,Bell Canada,Vancouver Whitecaps FC
Wilmington Hammerheads FC,"Wilmington, North Carolina",Legion Stadium,6000,Mark Briggs,New Hanover Regional Medical Center,New York City FC
