Player,G,AB,R,H,2B,3B,HR,RBI,AVG,OBP,SLG,SB
"Albert Almora, Jr.",9,10,1,0,0,0,0,0,0.0,0.0,0.0,0
Jake Arrieta,4,5,1,1,0,0,1,3,0.2,0.2,0.8,0
Javier Baez,17,68,8,18,4,0,2,8,0.265,0.282,0.412,2
Kris Bryant,17,65,11,20,5,0,3,8,0.308,0.4,0.523,1
Chris Coghlan,9,7,1,0,0,0,0,0,0.0,0.125,0.0,0
Willson Contreras,17,39,4,10,2,0,1,5,0.256,0.326,0.385,0
Dexter Fowler,17,72,11,18,5,0,3,6,0.25,0.28,0.444,1
Kyle Hendricks,5,6,0,1,0,0,0,2,0.167,0.167,0.167,0
Jason Heyward,16,48,4,5,1,1,0,1,0.104,0.14,0.167,4
Tommy La Stella,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0
John Lackey,3,4,0,0,0,0,0,0,0.0,0.0,0.0,0
Jon Lester,6,7,0,0,0,0,0,0,0.0,0.0,0.0,0
Miguel Montero,9,12,1,2,0,0,1,5,0.167,0.167,0.417,0
Mike Montgomery,11,2,1,1,0,0,0,0,0.5,0.5,0.5,0
Anthony Rizzo,17,65,11,18,5,0,3,10,0.277,0.373,0.492,2
David Ross,8,16,2,4,1,0,2,4,0.25,0.3,0.688,0
Addison Russell,17,64,7,13,2,0,3,13,0.203,0.235,0.375,0
Kyle Schwarber,5,17,2,7,1,0,0,2,0.412,0.5,0.471,1
Jorge Soler,8,13,0,2,0,1,0,0,0.154,0.313,0.308,0
Travis Wood,9,1,1,1,0,0,1,1,1.0,1.0,4.0,0
Ben Zobrist,17,64,9,16,5,1,0,5,0.25,0.319,0.359,0
