Demographic Subgroup,LPC,CPC,NDP,BQC,GPC,PPC,Other,Sample
Total Vote,33.1,34.3,16.0,7.6,6.5,1.6,0.2,10337
Men,32.6,37.6,12.0,9.4,5.4,1.7,1.2,3901
Women,33.7,31.3,19.7,5.9,7.6,1.5,0.3,4058
18-29,34.8,22.7,28.3,4.9,7.7,1.6,0.0,1101
30-39,33.3,30.8,19.2,6.0,7.0,2.9,0.7,1551
40-49,30.2,36.1,16.0,6.7,7.9,1.7,1.4,1275
50-59,32.0,36.0,13.3,8.9,6.8,1.8,1.2,1247
60-69,33.4,38.0,11.3,10.7,5.1,1.0,0.6,1577
70-79,35.4,37.6,10.4,10.2,5.2,0.7,0.7,738
80+,34.9,46.1,8.8,4.5,5.1,0.4,0.3,494
English,34.2,38.2,17.3,0.8,7.0,1.6,0.8,6656
French,27.8,15.0,9.4,41.8,4.1,1.7,0.3,1327
High School or Less,29.5,36.0,15.1,10.1,6.6,1.9,0.7,3982
College,30.5,37.6,17.7,5.3,6.5,1.7,0.6,1824
University,41.9,28.4,16.1,5.0,6.5,1.1,1.0,2169
Atheist,32.6,27.3,21.4,7.6,9.1,1.3,0.7,2231
Agnostic,34.5,22.4,23.7,4.6,11.1,3.2,0.6,523
Buddhist,35.3,24.6,30.0,1.2,4.4,1.8,2.6,73
Hindu,39.7,36.2,13.5,0.0,10.6,0.0,0.0,37
Jewish,46.2,43.2,7.9,0.0,1.9,0.8,0.0,112
Muslim/Islam,81.1,10.0,8.1,0.0,0.8,0.0,0.0,115
Sikh,50.6,22.3,23.2,0.0,2.0,1.9,0.0,37
Christian,31.9,39.5,12.5,9.3,4.7,1.5,0.6,4274
Catholic,34.5,31.3,12.2,16.2,4.0,1.1,0.6,2297
Protestant & Other Christian,28.8,48.9,12.8,1.4,5.4,1.9,0.7,1977
Other Religion,30.7,36.1,14.4,1.6,8.9,4.0,4.2,231
Indigenous,26.6,36.8,25.2,2.1,6.3,1.6,1.4,390
European,31.7,34.1,15.8,9.3,6.5,1.7,0.9,6272
Chinese,40.7,39.9,9.8,0.4,8.3,0.3,0.6,278
Hispanic,46.6,25.2,14.6,0.6,9.4,1.5,2.1,86
Indian,52.7,30.9,12.4,0.0,2.0,1.9,0.0,120
Other,39.1,30.7,19.0,1.0,7.4,1.9,0.9,1071
"0-30,000",31.8,27.1,20.3,9.5,8.5,2.6,0.3,1161
"30,001-60,000",32.8,31.0,16.9,9.3,7.6,1.7,0.8,2038
"60,001-90,000",32.0,36.6,15.2,8.6,5.6,1.2,0.7,1848
"90,001-110,000",33.6,36.2,17.6,4.4,5.6,2.0,0.5,806
"110,001-150,000",36.3,38.2,12.5,5.6,6.0,1.2,0.3,1004
"150,001-200,000",35.1,41.1,9.7,4.4,5.8,2.0,1.8,402
">200,000",33.4,42.2,8.6,5.6,5.9,0.4,4.1,235
Own a residence,32.5,38.9,13.3,6.9,6.1,1.4,0.8,5483
Don't own a residence,34.5,24.3,21.8,9.2,7.4,2.0,0.7,2500
A rural area or village,24.4,45.0,13.3,5.7,7.5,2.2,1.9,849
A town,26.0,37.8,15.8,11.4,6.4,2.2,0.5,1059
A suburb,39.1,31.1,14.1,7.4,6.6,1.3,0.5,908
A city,36.2,31.4,17.9,6.1,6.4,1.3,0.8,1875
Married,32.4,41.9,12.6,4.8,5.8,1.7,0.7,3663
Not Married,33.7,27.8,18.7,10.1,7.2,1.6,0.8,4276
Yes,30.9,39.8,12.9,8.1,5.8,1.6,0.9,4607
No,36.1,26.7,20.4,6.9,7.6,1.7,0.6,3343
Full-time,33.2,34.1,16.3,7.3,6.4,1.5,1.1,3476
Part-time,37.1,28.3,19.2,5.8,7.7,1.7,0.3,618
Self employed,31.6,38.5,11.7,4.9,9.5,3.4,0.4,459
Retired,33.7,38.6,10.9,10.2,5.0,0.9,0.7,2197
Unemployed,28.5,33.6,21.5,3.9,8.0,4.1,0.3,286
Student,32.4,15.8,34.1,6.7,10.7,0.3,0.0,229
Caregiver/Homemaker,22.6,39.7,20.3,6.4,6.7,4.2,0.0,244
Disabled,32.2,31.8,20.1,6.3,6.8,2.1,0.8,260
Yes,34.3,28.6,21.5,7.3,6.1,1.5,0.8,1470
No,32.9,35.8,14.6,7.7,6.7,1.6,0.8,6468
