Week,FedEx Air Player of the Week (Quarterbacks),FedEx Ground Player of the Week (Running backs),Pepsi Rookie of the Week
1,Ryan Fitzpatrick,James Conner,Denzel Ward CB
2,Patrick Mahomes,Matt Breida,Shaquille Leonard OLB
3,Drew Brees,Adrian Peterson,Baker Mayfield QB
4,Mitchell Trubisky,Alvin Kamara,Nick Chubb RB
5,Drew Brees,Isaiah Crowell,Denzel Ward CB
6,Aaron Rodgers,Todd Gurley,Saquon Barkley RB
7,Patrick Mahomes,Kerryon Johnson,Baker Mayfield QB
8,Patrick Mahomes,James Conner,Shaquille Leonard OLB
9,Drew Brees,Kareem Hunt,Baker Mayfield QB
10,Mitchell Trubisky,Nick Chubb,Nick Chubb RB
11,Drew Brees,Saquon Barkley,Tre'Quan Smith WR
12,Andrew Luck,Christian McCaffrey,Baker Mayfield QB
13,Philip Rivers,Phillip Lindsay,Phillip Lindsay RB
14,Dak Prescott,Derrick Henry,Baker Mayfield QB
15,Philip Rivers,Derrick Henry,Jaylen Samuels RB
16,Nick Foles,C. J. Anderson,Baker Mayfield QB
17,Dak Prescott,Jordan Howard,Baker Mayfield QB
