Year,Award,Category,Work,Result
2012,Radio Disney Music Awards,The Next Big Thing,Themselves,Won
2017,NAACP Image Awards,Outstanding New Artist,Themselves,Nominated
2018,BET Awards,Best Group,Themselves,Nominated
2018,BET Awards,Her Award,The Kids Are Alright,Nominated
2018,MTV Video Music Awards,Best New Artist,Themselves,Nominated
2018,MTV Video Music Awards,Push Artist of the Year,Themselves,Nominated
2018,MTV Europe Music Awards,Best Push Act,Themselves,Nominated
2018,Soul Train Music Awards,Album of the Year,The Kids Are Alright,Nominated
2019,Grammy Awards,Best New Artist,Themselves,Nominated
2019,Grammy Awards,Best Urban Contemporary Album,The Kids Are Alright,Nominated
2019,BET Awards,Best Group,Themselves,Nominated
2019,Berlin Music Video Awards,Best Editor,The Kids Are Alright film,Third
2019,Bulletin Awards,Duo/Group of the Year,Themselves,Won
2020,BET Awards,Best Group,Themselves,Nominated
2020,MTV Video Music Awards,Best Group,Themselves,Nominated
2020,MTV Video Music Awards,Best R&B,Do It,Nominated
2020,MTV Video Music Awards,Best Quarantine Performance,Do It,Nominated
2020,People's Choice Awards,Group of 2020,Themselves,Nominated
2020,MTV Europe Music Awards,Best Group,Themselves,Nominated
2020,Soul Train Music Awards,Album of the Year,Ungodly Hour,Nominated
2020,Soul Train Music Awards,The Ashford And Simpson Songwriter's Award,Do It,Nominated
2020,Soul Train Music Awards,Best Dance Performance,Do It,Nominated
2020,Soul Train Music Awards,Song of the Year,Do It,Nominated
2020,Soul Train Music Awards,Video of the Year,Do It,Nominated
2020,Billboard Women in Music,Rising Star Award,Themselves,Won
2020,Bulletin Awards,Duo/Group of the Year,Themselves,Nominated
2020,Bulletin Awards,Single of the Year,Do It,Nominated
2020,Bulletin Awards,Music Video of the Year,Do It,Nominated
2020,Bulletin Awards,Song of the Summer,Do It,Nominated
2020,Bulletin Awards,Album of the Year,Ungodly Hour,Nominated
2021,Grammy Awards,Best Progressive R&B Album,Ungodly Hour,Nominated
2021,Grammy Awards,Best R&B Song,Do It,Nominated
2021,Grammy Awards,Best Traditional R&B Performance,Wonder What She Thinks of Me,Nominated
2021,NAACP Image Awards,"Outstanding Duo, Group or Collaboration",Do It,Nominated
2021,NAACP Image Awards,"Outstanding Duo, Group or Collaboration",Wonder What She Thinks of Me,Won
2021,NAACP Image Awards,Outstanding Music Video/Visual Album,Do It,Nominated
2021,NAACP Image Awards,Outstanding Soul/R&B Song,Do It,Won
2021,iHeartRadio Music Awards,Best New R&B Artist,Themselves,Nominated
2021,iHeartRadio Music Awards,Favorite Music Video Choreography,Do It,Nominated
2021,BET Awards,Album of the Year,Ungodly Hour,Nominated
2021,BET Awards,Best Group,Themselves,Nominated
2021,BET Awards,Her Award,Baby Girl,Nominated
2021,BET Awards,Video of the Year,Do It,Nominated
2021,Soul Train Music Awards,Best Dance Performance,Ungodly Hour,Nominated
2021,Bulletin Awards,Duo of the Year,Themselves,Won
2021,Bulletin Awards,Performance of the Year,Ungodly Hour,Nominated
2022,NAACP Image Awards,"Outstanding Duo, Group or Collaboration",Georgia On My Mind,Nominated
2022,,,,
2022,,,,
2022,,,,
2022,,,,
2022,,,,
2022,,,,
2022,,,,
2022,,,,
2022,,,,
2022,,,,
2022,,,,
2022,,,,
2022,,,,
2022,,,,
2022,,,,
