Name,Position,Team
Geronimo Allison,WR,Detroit
John Atkins,DT,Detroit
Sam Beal,CB,New York Giants
Travis Benjamin,WR,San Francisco
Andrew Billings,DT,Cleveland
Russell Bodine,C,Detroit
Brandon Bolden,RB,New England
Caleb Brantley,DT,Washington
Chandler Brewer,OT,Los Angeles Rams
Maurice Canady,CB,Dallas
Marcus Cannon,OT,New England
Patrick Chung,S,New England
Shon Coleman,OT,San Francisco
Josh Doctson,WR,New York Jets
Drake Dorbeck,OT,Cleveland
Laurent Duvernay-Tardif,G,Kansas City
Ukeme Eligwe,LB,Las Vegas
Drew Forbes,G,Cleveland
Devin Funchess,WR,Green Bay
E. J. Gaines,CB,Buffalo
Marcus Gilbert,OT,Arizona
Eddie Goldman,DT,Chicago
Marquise Goodwin,WR,Philadelphia
Colby Gossett,G,Cleveland
Stephen Guidry,WR,Dallas
Josh Harvey-Clemons,LB,Washington
Dont'a Hightower,LB,New England
Allen Hurns,WR,Miami
Ja'Wuan James,OT,Denver
D. J. Killings,CB,Las Vegas
Leo Koloamatangi,C,New York Jets
Matt LaCosse,TE,New England
Marqise Lee,WR,New England
Star Lotulelei,DT,Buffalo
Jordan Lucas,S,Chicago
Jordan Mack,LB,Carolina
Lerentee McCray,LB,Jacksonville
Anthony McKinney,OT,Tennessee
Rashaan Melvin,CB,Jacksonville
Christian Miller,LB,Carolina
Rolan Milligan,S,Indianapolis
Skai Moore,LB,Indianapolis
C. J. Mosley,LB,New York Jets
Lucas Niang,OT,Kansas City
Jamize Olawale,FB,Dallas
Kyle Peko,DT,Denver
Michael Pierce,DT,Minnesota
Malcolm Pridgeon,G,Cleveland
Isaiah Prince,OT,Cincinnati
Da'Mari Scott,WR,New York Giants
Brad Seaton,OT,Tampa Bay
Andre Smith,OT,Baltimore
Nate Solder,OT,New York Giants
Marvell Tell,CB,Indianapolis
De'Anthony Thomas,WR,Baltimore
Najee Toran,OT,New England
Josh Tupou,OT,Cincinnati
Jeremiah Valoaga,DE,Las Vegas
Eddie Vanderdoes,DT,Houston
Jason Vander Laan,TE,New Orleans
Danny Vitale,FB,New England
Larry Warford,G,Free agent
Chance Warmack,G,Seattle
Cole Wick,TE,New Orleans
Damien Williams,RB,Kansas City
Albert Wilson,WR,Miami
Al Woods,DT,Jacksonville
