Character,Actor,Description
Ronnie Dobbs,David Cross,"A white trash habitual petty criminal, regularly caught in the act on Fuzz, a COPS-like program. Known for the catchphrases Y'all are brutalizing me and Let's have us a champagne jam!. Sketch also launched Maynard James Keenan's band Puscifer."
Grass Valley Greg,David Cross,"An eccentric billionaire computer genius who invented the delete key, loves vegan sweets and retarded goats."
Dylan,David Cross,"A pretentious man clad in a long scarf, even in hot weather, and friend of Droopy. He shuns popular American culture and modern technology."
Terry Twillstein,Bob Odenkirk,British television producer who discovers Ronnie Dobbs and tries to utilize him in a West End-like fashion.
Sen. Howell Tankerbell,Bob Odenkirk,An ultra-conservative Georgia Dixiecrat Senator
Blueberry Head,David Cross,A blue-haired comedian who serves as a parody of Carrot Top known for his use of nonsensical props
Fancy Pants,Bill Odenkirk,"A dandy who makes occasional silent, walk-ons. First seen clad in Edwardian garb he makes his second appearance in a more Elizabethan style."
Droopy,Bob Odenkirk,"A twenty-something slacker. He wants to work at a local museum, though he has few qualifications. He never went by any name during the show."
Three Times One Minus One,David Cross and Bob Odenkirk,An R&B duo from Scarsdale made up of Pootie T.  and Wolfgang Amadeus Thelonius Von Funkenmeister the XIX 3/4 . They are sponsored by The WPCBCN .
Kedzie Matthews,Tom Kenny,A hyperactive comedian whose humor is overblown.
Famous Mortimer,Patton Oswalt,"A director known for his documentary Naked Ambition and Coupon: The Movie. Son of, among others, recently divorced newscast members."
