Export,Millions of US dollars FOB,%
Mining,43937,49.11
Copper,40158,44.88
Cathodes,18804,21.02
Concentrates,16883,18.87
Gold,1384,1.55
Iron,1379,1.54
Silver,379,0.42
Lithium carbonate,226,0.25
Molybdenum concentrate,178,0.2
Sea salt and table salt,120,0.13
"Agriculture, silviculture and fishing",5749,6.43
Fruit sector,4738,5.3
Grape,1605,1.79
Apple,843,0.94
Vaccinium,461,0.52
Cherry,391,0.44
Kiwifruit,245,0.27
Avocado,185,0.21
Pear,168,0.19
Plum,152,0.17
Other agriculture,830,0.93
Corn kernel,361,0.4
Vegetable seed,158,0.18
Extractive fishing,149,0.17
Silviculture sector,33,0.04
Industrial,26997,30.17
Foodstuff,8298,9.28
Salmon,2772,3.1
Trout,766,0.86
Mollusks and crustaceans,498,0.56
Pork,454,0.51
Fish meal,418,0.47
Dried fruit,383,0.43
Frozen fruit,337,0.38
Poultry meat,276,0.31
Fruit juice,240,0.27
Canned fruit,156,0.17
Fish oil,109,0.12
Hake,107,0.12
Canned fish,53,0.06
Chemical products,5447,6.09
Fertilizers,860,0.96
Iodine,839,0.94
Molybdenum oxide,761,0.85
Tires,393,0.44
Potassium nitrate,296,0.33
Methanol,56,0.06
"Cellulose, paper and other",3607,4.03
Bleached and semi-bleached eucalyptus pulp,1262,1.41
Bleached and semi-bleached coniferous pulp,1261,1.41
Cardboard,329,0.37
Raw coniferous pulp,281,0.31
"Metallic products, machinery and equipment",2796,3.12
Machinery and equipment,1416,1.58
Transport material,879,0.98
Metallic manufactures,500,0.56
Beverage and tobacco,2407,2.69
Bottled wine,1560,1.74
Bulk wine and others,417,0.47
Non-alcoholic beverages,297,0.33
Forestry and wood furniture,2272,2.54
Lumber,814,0.91
Wood fibreboards,350,0.39
Woodchips,315,0.35
Profiled timber,273,0.31
Plywood,254,0.28
Basic metals industry,1106,1.24
Copper wire,457,0.51
Ferromolybdenum,223,0.25
Other industrial products,1064,1.19
Goods total,76684,85.71
Transport,6357,7.11
Travel,2219,2.48
Others,4211,4.71
Services total,12787,14.29
Total exports,89471,100.0
