Name of banner,Mongol population,Percentage
"Horqin Right Middle Banner, Hinggan",221258,86.6%
"New Barag Right Banner, Hulunbuir",28369,82.2%
"Horqin Left Back Banner, Tongliao",284000,75%
"New Barag Left Banner, Hulunbuir",31531,74.9%
"Horqin Left Middle Banner, Tongliao",395000,73.5%
"East Ujimqin Banner, Xilingol",43394,72.5%
"West Ujimqin Banner, Xilingol",57000,65%
"Sonid Left Banner, Xilingol",20987,62.6%
"Bordered Yellow Banner, Xilingol",19000,62%
"Hure Banner, Tongliao",93000,56%
"Jarud Banner, Tongliao",144000,48%
"Horqin Right Front Banner, Hinggan",162000,45%
"Old Barag Banner, Hulunbuir",25903,43.6%
"Jalaid Banner, Hinggan",158000,39%
"Ar Khorchin Banner, Chifeng",108000,36.6%
