Name (Alphabetical Last Name),Party,Date of Appointment,Date of Retirement,Term,State
Mohammad Aas,JD,03/04/1994,02/04/2000,1,Bihar
Hashim Raza Allahabadi Abdi,INC,03/04/1982,02/04/1988,1,Uttar Pradesh
Dr. Farooq Abdullah,J&KNC,30/11/2002,29/11/2008,1,Jammu & Kashmir
Dr. Farooq Abdullah,J&KNC,16/02/2009,15/02/2015,2,Jammu & Kashmir
Kasim Ali Abid,INC,10/04/1972,09/04/1978,1,Andhra Pradesh
Abu Abraham,NOM,03/04/1972,02/04/1978,1,Kerala
Joy Abraham,KC,02/07/2012,01/07/2018,1,Kerala
P. Abraham,INC,07/08/1963,06/08/1969,1,Puducherry
Prasanna Acharya,BJD,02/07/2016,01/07/2022,1,Odisha
Suryakantbhai Acharya,BJP,19/08/2005,21/12/2009,1,Gujarat
M. P. Achuthan,CPI,22/04/2009,21/04/2015,1,Kerala
Mohammed Adeeb,IND,26/11/2008,25/11/2014,1,Uttar Pradesh
Govindrao Adik,INC,03/08/1993,02/04/1994,1,Maharashtra
Govindrao Adik,INC,03/04/1994,02/04/2000,2,Maharashtra
Govindrao Adik,NCP,04/08/2009,02/04/2012,3,Maharashtra
Dr. Malcolm Sathianathan Adiseshiah,NOM,14/04/1978,13/04/1984,1,Tamil Nadu
Adityendra,INC,03/04/1954,02/04/1960,1,Rajasthan
Sushila Shankar Adivarekar,INC,18/09/1971,02/04/1972,1,Maharashtra
Sushila Shankar Adivarekar,INC,03/04/1972,02/04/1978,2,Maharashtra
Sushila Shankar Adivarekar,INC,03/04/1978,02/04/1984,3,Maharashtra
Lal Krishna Advani,JS,03/04/1976,02/04/1982,1,Delhi
Lal Krishna Advani,JS,03/04/1976,02/04/1982,2,Gujarat
Lal Krishna Advani,BJP,03/04/1982,02/04/1988,3,Madhya Pradesh
Lal Krishna Advani,BJP,03/04/1988,27/11/1989,4,Madhya Pradesh
Anu Aga,NOM,27/04/2012,26/04/2018,4,Maharashtra
Amar Nath Agarwal,INC,03/04/1952,02/04/1954,1,Uttar Pradesh
Amar Nath Agarwal,INC,03/04/1954,02/04/1960,2,Uttar Pradesh
Beni Prasad Agarwal,INC,03/04/1952,02/04/1958,1,West Bengal
Lakkhiram Agarwal,BJP,10/04/1990,09/04/1996,1,Madhya Pradesh
Lakkhiram Agarwal,BJP,10/04/1996,31/10/2000,2,Madhya Pradesh
Lakkhiram Agarwal,BJP,01/11/2000,09/04/2002,3,Chhattisgarh
Prof. M.M. Agarwal,IND,03/04/2000,02/04/2006,1,Uttar Pradesh
Naresh Agrawal,SP,03/03/2010,02/04/2012,1,Uttar Pradesh
Naresh Agrawal,SP,03/04/2012,02/04/2018,2,Uttar Pradesh
Ramdas Agarwal,BJP,10/04/1990,09/04/1996,1,Rajasthan
Ramdas Agarwal,BJP,10/04/1996,09/04/2002,2,Rajasthan
Ramdas Agarwal,BJP,04/04/2006,03/04/2012,3,Rajasthan
Satish Agarwal,BJP,03/04/1994,10/09/1997,1,Rajasthan
Satish Agarwal,BJP,03/04/1994,10/09/1997,1,Rajasthan
Ram Gopal Agarwala,INC,03/04/1952,02/04/1956,1,Bihar
Ram Gopal Agarwala,INC,08/07/1992,07/07/1998,2,Bihar
Parmeshwar Kumar Agarwalla,BJP,10/04/1990,09/04/1996,1,Bihar
Parmeshwar Kumar Agarwalla,BJP,08/07/1998,07/07/2004,2,Jharkhand
Jai Parkash Aggarwal,INC,28/01/2006,16/05/2009,1,Delhi
Ramesh Umrao Agnibhoj,INC,10/11/1952,02/04/1958,1,Madhya Pradesh
S. Agniraj,DMK,30/06/1998,29/06/2004,1,Tamil Nadu
Jagannath Prasad Agrawal,INC,03/04/1952,02/04/1958,1,Uttar Pradesh
Jagannath Prasad Agrawal,INC,03/04/1958,02/04/1964,2,Uttar Pradesh
S. S. Ahluwalia,INC,07/07/1986,06/07/1992,1,Bihar
S. S. Ahluwalia,INC,08/07/1992,07/07/1998,2,Bihar
