Title,Writer,Year
The Laughing Dragon of Oz,Frank Joslyn Baum,1934
The Dinamonster of Oz,Kenneth Gage Baum,1941/1991
Dorothy of Oz,Roger S. Baum,1989
The Rewolf of Oz,Roger S. Baum,1990
The SillyOzbuls of Oz,Roger S. Baum,1991
The SillyOzbul of Oz and Toto,Roger S. Baum,1992
The SillyOzbul of Oz and the Magic Merry-Go-Round,Roger S. Baum,1992
Lion of Oz and the Badge of Courage,Roger S. Baum,1995
The Green Star of Oz: A Special Oz Story,Roger S. Baum,2000
Toto in Candy Land of Oz,Roger S. Baum,2000
The Wizard of Oz and the Magic Merry-Go-Round,Roger S. Baum,2002
Toto of Oz and the Surprise Party,Roger S. Baum,2004
The Oz Odyssey,Roger S. Baum,2006
Candy Cane: An Oz Christmas Tale,Roger S. Baum,2010
Oz Odyssey II,Roger S. Baum,2011
The Oz Enigma,Roger S. Baum,2013
