Year,Award,Category,Result
2018,Game Critics Awards,Best Racing Game,Won
2018,Gamescom Awards,Best Racing Game,Won
2018,Gamescom Awards,Best Console Game,Nominated
2018,Golden Joystick Awards,Best Audio Design,Nominated
2018,Golden Joystick Awards,Best Competitive Game,Nominated
2018,Golden Joystick Awards,Xbox Game of the Year,Won
2018,Golden Joystick Awards,Ultimate Game of the Year,Nominated
2018,The Game Awards 2018,Best Audio Design,Nominated
2018,The Game Awards 2018,Best Sports/Racing Game,Won
2018,Gamers' Choice Awards,Fan Favourite Sports/Racing Game,Nominated
2018,Titanium Awards,Best Sports/Driving Game,Won
2018,Australian Games Awards,"Sports, Racing or Fighting Title of the Year",Won
2019,Guild of Music Supervisors Awards,Best Music Supervision in a Video Game,Nominated
2019,22nd Annual D.I.C.E. Awards,Racing Game of the Year,Won
2019,National Academy of Video Game Trade Reviewers Awards,Control Precision,Nominated
2019,National Academy of Video Game Trade Reviewers Awards,Engineering,Nominated
2019,National Academy of Video Game Trade Reviewers Awards,"Game, Franchise Racing",Won
2019,National Academy of Video Game Trade Reviewers Awards,"Graphics, Technical",Nominated
2019,National Academy of Video Game Trade Reviewers Awards,"Original Light Mix Score, Franchise",Nominated
2019,National Academy of Video Game Trade Reviewers Awards,Song Collection,Won
2019,National Academy of Video Game Trade Reviewers Awards,Sound Editing in a Game Cinema,Nominated
2019,SXSW Gaming Awards,Excellence in SFX,Nominated
2019,Game Developers Choice Awards,Best Technology,Nominated
2019,15th British Academy Games Awards,British Game,Won
2019,Italian Video Game Awards,Game of the Year,Nominated
2019,Italian Video Game Awards,Best Audio,Nominated
2019,Italian Video Game Awards,Best Sports Game,Won
2019,Game Critics Awards,Best Racing Game,Nominated
2019,Develop:Star Awards,Best Visual Art,Won
2019,Develop:Star Awards,Best Game Design,Nominated
2019,Develop:Star Awards,Best Audio,Nominated
2019,Develop:Star Awards,Best Use of Game Engine,Won
2019,Develop:Star Awards,Game of the Year,Nominated
2019,2019 Golden Joystick Awards,Best Game Expansion,Nominated
