Pos.,Team,Car,DAY,SEB,MOH,WGL,MOS,LIM,ELK,VIR,LGA,ATL,Points
1,#98 Bryan Herta Autosport with Curb-Agajanian,Hyundai Veloster N TCR,9.0,6.0,1.0,2.0,12.0,1.0,4.0,4.0,2.0,1.0,291
2,#21 Bryan Herta Autosport with Curb-Agajanian,Hyundai Veloster N TCR,5.0,4.0,7.0,8.0,10.0,3.0,1.0,2.0,10.0,4.0,268
3,#61 Roadshagger Racing by eEuroparts.com,Audi RS 3 LMS TCR,10.0,10.0,2.0,3.0,3.0,11.0,3.0,8.0,1.0,6.0,267
4,#37 LA Honda World Racing,Honda Civic Type R TCR,1.0,1.0,5.0,5.0,14.0,12.0,2.0,6.0,3.0,11.0,265
5,#84 Atlanta Speedwerks,Honda Civic Type R TCR,4.0,8.0,8.0,7.0,4.0,4.0,5.0,11.0,5.0,5.0,252
6,#23 FastMD,Audi RS 3 LMS TCR,3.0,11.0,13.0,9.0,6.0,9.0,7.0,1.0,8.0,3.0,249
7,#52 LA Honda World Racing,Honda Civic Type R TCR,7.0,5.0,11.0,13.0,2.0,6.0,6.0,10.0,9.0,9.0,235
8,#54 JDC-Miller MotorSports,Audi RS 3 LMS TCR,14.0,12.0,10.0,10.0,5.0,2.0,12.0,3.0,13.0,13.0,221
9,#5 KMW Motorsports with TMR Engineering,Alfa Romeo Giulietta TCR,12.0,14.0,9.0,6.0,7.0,10.0,11.0,7.0,4.0,14.0,217
10,#3 KMW Motorsports with TMR Engineering,Alfa Romeo Giulietta TCR,8.0,9.0,14.0,11.0,11.0,7.0,9.0,9.0,12.0,12.0,208
11,#89 HART,Honda Civic Type R TCR,11.0,3.0,6.0,12.0,13.0,5.0,13.0,,7.0,7.0,204
12,#12 eEuroparts.com ROWE Racing,Audi RS 3 LMS TCR,6.0,7.0,3.0,4.0,9.0,8.0,10.0,5.0,,,199
13,#17 JDC-Miller MotorSports,Audi RS 3 LMS TCR,,2.0,,,1.0,,8.0,12.0,6.0,2.0,166
14,#73 LA Honda World Racing,Honda Civic Type R TCR,2.0,15.0,12.0,1.0,,,,,11.0,8.0,145
15,#81 Mark Motors Racing,Audi RS 3 LMS TCR,,,4.0,,8.0,,,,,,51
16,#10 eEuroparts.com ROWE Racing,Audi RS 3 LMS TCR,13.0,13.0,,,,,,,,,36
17,#94 Atlanta Speedwerks,Honda Civic Type R TCR,,,,,,,,,,10.0,21
