M-V pin#,Name,State,Year,Boat,Event
1,Cecil McVilly,TAS,1912.0,M1x,1912 Stockholm Olympics
2,John Ryrie,NSW,1912.0,M8+,1912 Stockholm Olympics
3,Simon Fraser,VIC,1912.0,M8+,1912 Stockholm Olympics
4,Hugh Ward,NSW,1912.0,M8+,1912 Stockholm Olympics
5,Thomas Parker,NSW,1912.0,M8+,1912 Stockholm Olympics
6,Henry Hauenstein,NSW,1912.0,M8+,1912 Stockholm Olympics
7,Sydney Middleton,NSW,1912.0,M8+,1912 Stockholm Olympics
8,Harry Ross-Soden,VIC,1912.0,M8+,1912 Stockholm Olympics
9,Roger Fitzhardinge,NSW,1912.0,M8+,1912 Stockholm Olympics
10,Robert Waley,NSW,1912.0,M8+,1912 Stockholm Olympics
11,Arthur Bull,NSW,1924.0,M1x,1924 Paris Olympics
12,Harry Graetz,SA,1924.0,M8+,1924 Paris Olympics
13,Edward Thomas,SA,1924.0,M8+,1924 Paris Olympics
14,Walter Jarvis,SA,1924.0,M8+,1924 Paris Olympics
15,Arthur Scott,SA,1924.0,M8+,1924 Paris Olympics
16,Alf Taeuber,SA,1924.0,M8+,1924 Paris Olympics
17,Walter Pfeiffer,SA,1924.0,M8+,1924 Paris Olympics
18,Frank Cummings,SA,1924.0,M8+,1924 Paris Olympics
19,William Sladden,SA,1924.0,M8+,1924 Paris Olympics
20,Robert Cummings,SA,1924.0,M8+,1924 Paris Olympics
21,Henry Bobby Pearce,NSW,1928.0,M1x,1928 Amsterdam Olympics
22,Cecil Pearce,NSW,1936.0,M1x,1936 Berlin Olympics
23,William Cross,NSW,1936.0,M8+,1936 Berlin Olympics
24,Don Ferguson,NSW,1936.0,M8+,1936 Berlin Olympics
25,Len Einsaar,NSW,1936.0,M8+,1936 Berlin Olympics
26,George Elias,NSW,1936.0,M8+,1936 Berlin Olympics
27,Mervyn Wood,NSW,1936.0,M8+,1936 Berlin Olympics
28,Walter Jordan,NSW,1936.0,M8+,1936 Berlin Olympics
29,Joe Gould,NSW,1936.0,M8+,1936 Berlin Olympics
30,Wal Mackney,NSW,1936.0,M8+,1936 Berlin Olympics
31,Norman Ella,NSW,1936.0,M8+,1936 Berlin Olympics
32,Bill Dixon,NSW,1936.0,M2x,1936 Berlin Olympics
33,Herb Turner,NSW,1936.0,M2x,1936 Berlin Olympics
34,Gordon Freeth,WA,1938.0,M4+,1938 Commonwealth Games
35,Don Fraser,WA,1938.0,M4+,1938 Commonwealth Games
36,Stewart Elder,VIC,1938.0,M4+,1938 Commonwealth Games
37,Jack Fisher,NSW,1938.0,M4+,1938 Commonwealth Games
38,Harry Kerr,NSW,1938.0,M4+,1938 Commonwealth Games
39,William Thomas,NSW,1938.0,M8+,1938 Commonwealth Games
40,Frank le Soeuf,VIC,1938.0,M8+,1938 Commonwealth Games
41,Gordon Yewers,WA,1938.0,M8+,1938 Commonwealth Games
42,Richard Paramor,WA,1938.0,M8+,1938 Commonwealth Games
43,Ted Bromley,NSW,1938.0,M8+,1938 Commonwealth Games
44,Alfred Gregory,SA,1938.0,M8+,1938 Commonwealth Games
45,Doug Bowden,NSW,1938.0,M8+,1938 Commonwealth Games
46,Spencer Grace,NSW,1948.0,M2-,1948 London Olympics
47,Jack Webster,VIC,1948.0,M4+,1948 London Olympics
48,Colin Douglas-Smith,VIC,1948.0,M4+,1948 London Olympics
49,Hugh Lambie,VIC,1948.0,M4+,1948 London Olympics
50,Walter Lambert,VIC,1948.0,M4+,1948 London Olympics
51,Tom Darcy,TAS,1948.0,M4+,1948 London Olympics
52,Murray Riley,NSW,1950.0,M2x,1950 Commonwealth Games
53,Ken Gee,NSW,1950.0,M4+,1950 Commonwealth Games
54,Cecil Winkworth,NSW,1950.0,M4+,1950 Commonwealth Games
55,Erwin Elder,NSW,1950.0,M4+,1950 Commonwealth Games
56,Leslie Montgomery,NSW,1950.0,M4+,1950 Commonwealth Games
57,Kevin Fox,NSW,1950.0,M4+,1950 Commonwealth Games
58,Bob Tinning,NSW,1950.0,M8+,1950 Commonwealth Games
59,Phil Cayzer,NSW,1950.0,M8+,1950 Commonwealth Games
60,Peter Holmes a Court,NSW,1950.0,M8+,1950 Commonwealth Games
61,Bruce Goswell,NSW,1950.0,M8+,1950 Commonwealth Games
62,Ross Selman,NSW,1950.0,M8+,1950 Commonwealth Games
63,Eric Longley,NSW,1950.0,M8+,1950 Commonwealth Games
64,Edward Pain,NSW,1950.0,M8+,1950 Commonwealth Games
65,Alan Brown,NSW,1950.0,M8+,1950 Commonwealth Games
66,James Barnes,NSW,1950.0,M8+,1950 Commonwealth Games
67,John Rodgers,NSW,1952.0,M2x,1952 Helsinki Olympics
68,Don Palmer,NSW,1952.0,M2-,1952 Helsinki Olympics
69,Vic Middleton,NSW,1952.0,M2-,1952 Helsinki Olympics
70,Ernest Chapman,NSW,1952.0,M8+,1952 Helsinki Olympics
71,Nimrod Greenwood,NSW,1952.0,M8+,1952 Helsinki Olympics
72,David Anderson,NSW,1952.0,M8+,1952 Helsinki Olympics
73,Geoff Williamson,NSW,1952.0,M8+,1952 Helsinki Olympics
74,Mervyn Finlay,NSW,1952.0,M8+,1952 Helsinki Olympics
75,Tom Chessell,NSW,1952.0,M8,1952 Helsinki Olympics
76,Peter Evatt,NSW,1954.0,M1x,1954 Commonwealth Games
77,Lionel Robberds,NSW,1954.0,M4+,1954 Commonwealth Games
78,Stuart Mackenzie,NSW,1956.0,M1x,1956 Melbourne Olympics
79,Peter Raper,NSW,1956.0,M2-,1956 Melbourne Olympics
80,Maurice Grace,NSW,1956.0,M2-,1956 Melbourne Olympics
81,Robert Duncan,VIC,1956.0,M2+,1956 Melbourne Olympics
82,Bruce Dickson,VIC,1956.0,M2+,1956 Melbourne Olympics
83,John Cockbill,VIC,1956.0,M2+,1956 Melbourne Olympics
84,John Harrison,NSW,1956.0,M4-,1956 Melbourne Olympics
85,Gordon Cowey,VIC,1956.0,M4+,1956 Melbourne Olympics
86,Kevin McMahon,VIC,1956.0,M4+,1956 Melbourne Olympics
87,Reg Libbis,VIC,1956.0,M4+,1956 Melbourne Olympics
88,Ian Allen,VIC,1956.0,M4+,1956 Melbourne Olympics
89,John Jenkinson,VIC,1956.0,M4+,1956 Melbourne Olympics
90,Michael Aikman,VIC,1956.0,M8+,1956 Melbourne Olympics
91,David Boykett,VIC,1956.0,M8+,1956 Melbourne Olympics
92,Fred Benfield,NSW,1956.0,M8+,1956 Melbourne Olympics
93,Jim Howden,VIC,1956.0,M8+,1956 Melbourne Olympics
94,Garth Manton,VIC,1956.0,M8+,1956 Melbourne Olympics
95,Neville Howell,VIC,1956.0,M8+,1956 Melbourne Olympics
96,Adrian Monger,VIC,1956.0,M8+,1956 Melbourne Olympics
97,Brian Doyle,VIC,1956.0,M8+,1956 Melbourne Olympics
