District,Representative,Party,Residence
1,Colton Moore,Republican,Trenton
2,Steve Tarvin,Republican,Chickamauga
3,Dewayne Hill,Republican,Ringgold
4,Kasey Carpenter,Republican,Dalton
5,Matt Barton,Republican,Calhoun
6,Jason Ridley,Republican,Cohutta
7,"David Ralston, Speaker",Republican,Blue Ridge
8,Matt Gurtler,Republican,Blairsville
9,Kevin Tanner,Republican,Dawsonville
10,Terry Rogers,Republican,Clarkesville
11,Rick Jasperse,Republican,Jasper
12,Eddie Lumsden,Republican,Armuchee
13,Katie M. Dempsey,Republican,Rome
14,Mitchell Scoggins,Republican,Cartersville
15,Matthew Gambill,Republican,Cartersville
16,Trey Kelley,Republican,Cedartown
17,Martin Momtahan,Republican,Dallas
18,Kevin Cooke,Republican,Carrollton
19,Joseph Gullett,Republican,Dallas
20,Michael Caldwell,Republican,Woodstock
21,Scot Turner,Republican,Holly Springs
22,Wes Cantrell,Republican,Canton
23,Mandi L. Ballinger,Republican,Canton
24,Sheri Gilligan,Republican,Cumming
25,Todd Jones,Republican,Suwanee
26,Marc Morris,Republican,Cumming
27,Lee Hawkins,Republican,Gainesville
28,Chris Erwin,Republican,
29,Matt Dubnik,Republican,Gainesville
30,Emory Dunahoo,Republican,Gainesville
31,Tommy Benton,Republican,Jefferson
32,Alan Powell,Republican,Hartwell
33,Rob Leverett,Republican,Elberton
34,Bert Reeves,Republican,Kennesaw
35,Ed Setzler,Republican,Acworth
36,Ginny Ehrhart,Republican,Powder Springs
37,Mary Frances Williams,Democratic,Marietta
38,David Wilkerson,Democratic,Austell
39,Erica Thomas,Democratic,Austell
40,Erick E. Allen,Democratic,Smyrna
41,Michael Smith,Democratic,Marietta
42,Teri Anulewicz,Democratic,Smyrna
43,Sharon Cooper,Republican,Marietta
44,Don Parsons,Republican,Marietta
45,Matt Dollar,Republican,Marietta
46,John Carson,Republican,Marietta
47,Jan Jones,Republican,Milton
48,Mary Robichaux,Democratic,Roswell
49,Chuck Martin,Republican,Alpharetta
50,Angelika Kausche,Democratic,Johns Creek
51,Josh McLaurin,Democratic,Sandy Springs
52,Deborah Silcox,Republican,Atlanta
53,Sheila Jones,Democratic,Smyrna
54,Betsy Holland,Democratic,Atlanta
55,Marie Metze,Democratic,Atlanta
56,Able Mable Thomas,Democratic,Atlanta
57,Pat Gardner,Democratic,Atlanta
58,Park Cannon,Democratic,Atlanta
59,David Dreyer,Democratic,Atlanta
60,Kim Schofield,Democratic,Atlanta
61,Roger B. Bruce,Democratic,Atlanta
62,William Boddie,Democratic,Atlanta
63,Debra Bazemore,Democratic,Fayetteville
64,Derrick Jackson,Democratic,Tyrone
65,Sharon Beasley-Teague,Democratic,Red Oak
66,Kimberly Alexander,Democratic,Hiram
67,Micah Gravley,Republican,Douglasville
68,J. Collins,Republican,Villa Rica
69,Randy Nix,Republican,LaGrange
70,Lynn Ratigan Smith,Republican,Newnan
71,Philip Singleton,Republican,Newnan
72,Josh Bonner,Republican,Peachtree City
73,Karen Mathiak,Republican,Griffin
74,Valencia Stovall,Democratic,Ellenwood
75,Mike Glanton,Democratic,Jonesboro
76,Sandra Scott,Democratic,Rex
77,Rhonda Burnough,Democratic,Riverdale
78,Demetrius Douglas,Democratic,Stockbridge
79,Mike Wilensky,Democratic,Dunwoody
80,Matthew Wilson,Democratic,Brookhaven
81,Scott Holcomb,Democratic,Atlanta
82,Mary Margaret Oliver,Democratic,Decatur
83,Becky Evans,Democratic,Atlanta
84,Renitta Shannon,Democratic,Atlanta
85,Karla Drenner,Democratic,Avondale Estates
86,Michele D. Henson,Democratic,Stone Mountain
87,Viola Davis,Democratic,Stone Mountain
88,Billy Mitchell,Democratic,Stone Mountain
89,Bee Nguyen,Democratic,Atlanta
90,Pam Stephenson,Democratic,Decatur
91,Vernon Jones,Democratic,Lithonia
92,Doreen Carter,Democratic,Lithonia
93,Dar'shun Kendrick,Democratic,Lithonia
94,Karen Bennett,Democratic,Stone Mountain
95,Beth Moore,Democratic,Peachtree Corners
96,Pedro Marin,Democratic,Duluth
97,Brooks Coleman,Republican,Duluth
98,David Clark,Republican,Buford
99,Brenda Lopez,Democratic,Norcross
100,Dewey McClain,Democratic,Lilburn
101,Sam Park,Democratic,Lawrenceville
102,Gregg Kennard,Democratic,Lawrenceville
103,Timothy Barr,Republican,Lawrenceville
104,Chuck Efstration,Republican,Dacula
105,Donna McLeod,Democratic,Lawrenceville
106,Brett Harrell,Republican,Snellville
107,Shelly Hutchinson,Democratic,Snellville
108,Jasmine Clark,Democratic,Tucker
109,Dale Rutledge,Republican,McDonough
110,Andrew Welch,Republican,McDonough
111,El-Mahdi Holly,Democratic,Stockbridge
112,Dave Belton,Republican,Social Circle
113,Pam Dickerson,Democratic,Conyers
114,Tom Kirby,Republican,Loganville
115,Bruce Williamson,Republican,Monroe
116,Terry Lamar England,Republican,Auburn
117,Houston Gaines,Republican,Athens
118,Spencer Frye,Democratic,Athens
119,Marcus A. Wiedower,Republican,Watkinsville
120,Trey Rhodes,Republican,Greensboro
121,Barry Fleming,Republican,Harlem
122,Jodi Lott,Republican,Evans
123,Mark Newton,Republican,Augusta
124,Henry Wayne Howard,Democratic,Augusta
125,Sheila Clark Nelson,Democratic,Augusta
126,Gloria Frazier,Democratic,Hephzibah
127,Brian Prince,Democratic,Augusta
128,Mack Jackson,Democratic,Sandersville
129,Susan Holmes,Republican,Monticello
130,David Knight,Republican,Griffin
131,Ken Pullin,Republican,Zebulon
132,Bob Trammell,Democratic,LaGrange
133,Vance Smith,Republican,Pine Mountain
134,Richard H. Smith,Republican,Columbus
135,Calvin Smyre,Democratic,Columbus
136,Carolyn Hugley,Democratic,Columbus
137,Debbie Buckner,Democratic,Junction City
138,Mike Cheokas,Republican,Americus
139,Patty Bentley,Democratic,Reynolds
140,Robert Dickey,Republican,Musella
141,Allen Peake,Republican,Macon
142,Miriam Paris,Democratic,Macon
143,James Beverly,Democratic,Macon
144,Danny Mathis,Republican,Cochran
145,Rick Williams,Republican,Milledgeville
146,Shaw Blackmon,Republican,Bonaire
147,Heath Clark,Republican,Warner Robins
148,"Noel Williams, Jr.",Republican,Cordele
149,Jimmy Pruett,Republican,Eastman
150,Matt Hatchett,Republican,Dublin
