Team,GP,Total,High,Low,Average
New Mexico United,17,215775,15247,8330,12693
Indy Eleven,17,182481,20251,8035,10734
Sacramento Republic FC,17,177409,11569,9324,10436
Louisville City FC,17,153705,12188,6811,9041
Las Vegas Lights FC,17,131085,10117,5101,7711
Nashville SC,17,118985,13047,5356,6999
San Antonio FC,17,115009,8406,5704,6765
Phoenix Rising FC,17,114789,7606,6372,6752
Memphis 901 FC,17,112598,8062,4142,6623
El Paso Locomotive FC,17,111930,8324,5015,6584
Tampa Bay Rowdies,17,93445,7851,4022,5497
Hartford Athletic,17,85424,11346,2746,5025
Ottawa Fury FC,17,77431,6807,3094,4555
Birmingham Legion FC,17,77365,5807,3824,4551
Saint Louis FC,17,77038,5963,3524,4532
OKC Energy FC,17,75514,6549,3096,4442
Reno 1868 FC,17,73325,5112,2919,4313
North Carolina FC,17,70008,6172,2833,4118
Fresno FC,17,69988,7863,2343,4117
Colorado Springs Switchbacks FC,17,68091,5606,2702,4005
Rio Grande Valley FC,17,64806,4967,2408,3812
Pittsburgh Riverhounds SC,17,63400,8391,2150,3729
Orange County SC,17,54258,5122,1558,3192
Tacoma Defiance,17,44804,5185,1396,2636
Charleston Battery,17,41211,3915,1359,2424
Austin Bold FC,17,40714,5803,1201,2395
Tulsa Roughnecks FC,17,34523,3260,1215,2031
Real Monarchs,17,33713,2936,1036,1983
Portland Timbers 2,17,32289,3513,1116,1899
Atlanta United 2,17,29824,3109,1015,1754
Charlotte Independence,17,29745,3544,1217,1750
Loudoun United FC,17,23483,5015,550,1381
LA Galaxy II,17,14970,1984,535,881
New York Red Bulls II,17,14476,1522,467,852
Swope Park Rangers,17,8585,1565,214,505
Bethlehem Steel FC,17,8127,1537,219,478
Total,612,2740323,20251,214,4478
