Week,FedEx Air Player of the Week,FedEx Ground Player of the Week,Pepsi Rookie of the Week
1,"QB Jay Cutler, Chicago Bears","RB Arian Foster, Houston Texans","WR Dexter McCluster, Kansas City Chiefs"
2,"QB Matt Schaub, Houston Texans","RB LeSean McCoy, Philadelphia Eagles","RB Jahvid Best, Detroit Lions"
3,"QB Michael Vick, Philadelphia Eagles","RB Adrian Peterson, Minnesota Vikings","TE Tony Moeaki, Kansas City Chiefs"
4,"QB Kyle Orton, Denver Broncos","RB LaDainian Tomlinson, New York Jets","QB Sam Bradford, St. Louis Rams"
5,"QB Shaun Hill, Detroit Lions","RB Matt Forte, Chicago Bears","QB Max Hall, Arizona Cardinals"
6,"QB Kevin Kolb, Philadelphia Eagles","RB Chris Ivory, New Orleans Saints","RB Chris Ivory, New Orleans Saints"
7,"QB Matt Ryan, Atlanta Falcons","RB Darren McFadden, Oakland Raiders","WR Dez Bryant, Dallas Cowboys"
8,"QB Jason Campbell, Oakland Raiders","RB Jamaal Charles, Kansas City Chiefs","DT Ndamukong Suh, Detroit Lions"
9,"QB Brett Favre, Minnesota Vikings","RB Peyton Hillis, Cleveland Browns","WR Jacoby Ford, Oakland Raiders"
10,"QB Michael Vick, Philadelphia Eagles","RB Fred Jackson, Buffalo Bills","QB Tim Tebow, Denver Broncos"
11,"QB Aaron Rodgers, Green Bay Packers","RB Maurice Jones-Drew, Jacksonville Jaguars","PR Bryan McCann, Dallas Cowboys"
12,"QB Matt Cassel, Kansas City Chiefs","RB Peyton Hillis, Cleveland Browns","QB Sam Bradford, St. Louis Rams"
13,"QB Aaron Rodgers, Green Bay Packers","RB Maurice Jones-Drew, Jacksonville Jaguars","LB Sean Lee, Dallas Cowboys"
14,"QB Tom Brady, New England Patriots","RB Darren McFadden, Oakland Raiders","TE Rob Gronkowski, New England Patriots"
15,"QB Michael Vick, Philadelphia Eagles","RB Ray Rice, Baltimore Ravens","TE Aaron Hernandez, New England Patriots"
16,"QB Josh Freeman, Tampa Bay Buccaneers","RB LeGarrette Blount, Tampa Bay Buccaneers","QB Tim Tebow, Denver Broncos"
17,"QB Josh Freeman, Tampa Bay Buccaneers","RB Arian Foster, Houston Texans","TE Rob Gronkowski, New England Patriots"
