P,MLS team,Player,Pos.,College,Conference,Academy team,Amateur team,Signed
1,Inter Miami CF,Robbie Robinson,FW,Clemson,ACC,Charleston Battery,,Inter Miami CF
2,Nashville SC,Jack Maher,DF,Indiana,Big Ten,Saint Louis FC,Saint Louis FC U23,Nashville SC
3,Inter Miami CF,Dylan Nealis,MF,Georgetown,Big East,BW Gottschee,Long Island Rough Riders,Inter Miami CF
4,Vancouver Whitecaps FC,Ryan Raposo,MF,Syracuse,ACC,Vaughan SC,Vaughan Azzurri,Vancouver Whitecaps FC
5,Orlando City SC,Daryl Dike,FW,Virginia,ACC,OKC Energy,OKC Energy U23,Orlando City SC
6,New England Revolution,Henry Kessler,DF,Virginia,ACC,New York Red Bulls,Charlottesville Alliance,New England Revolution
7,Columbus Crew,Miguel Berry,FW,San Diego,WCC,San Diego Surf,Orange County SC U-23,Columbus Crew
8,Houston Dynamo,Garrett McLaughlin,FW,SMU,American,Oklahoma FC 97,OKC Energy U23,Rio Grande Valley FC
9,Montreal Impact,Jeremy Kelly,MF,North Carolina,ACC,Carolina RailHawks,North Carolina FC U23,Colorado Rapids
10,New York Red Bulls,Patrick Seagrist,DF,Marquette,Big East,Sockers FC,Chicago FC United,New York Red Bulls
11,Nashville SC,Alistair Johnston,MF,Wake Forest,ACC,Vaughan SC,Vaughan Azzurri,Nashville SC
12,San Jose Earthquakes,Tanner Beason,DF,Stanford,Pac-12,North Carolina Fusion,San Francisco City,San Jose Earthquakes
13,Nashville SC,Elliot Panicco,GK,Charlotte,C-USA,Carolina Rapids,,Nashville SC
14,FC Dallas,Nkosi Tafari,DF,Seattle,WAC,Dix Hills Heat,,FC Dallas
15,New York Red Bulls,Cherif Dieye,MF,Louisville,ACC,IMG Academy,,New York Red Bulls II
16,Portland Timbers,Aaron Molloy,MF,Penn State,Big Ten,Bohemians,Reading United,Portland Timbers 2
17,FC Dallas,Cal Jennings,FW,UCF,American,Georgia United,,Memphis 901
18,Minnesota United FC,Noah Billingsley,DF,UC Santa Barbara,Big West,Waitakere United,,Minnesota United FC
19,Toronto FC,Nyal Higgins,DF,Syracuse,ACC,Ajax Soccer Club,Vaughan Azzurri,Toronto FC II
20,Real Salt Lake,Dayonn Harris,MF,UConn,American,Vaughan Azzurri,Vaughan Azzurri,Real Monarchs
21,D.C. United,Simon Lefebvre,GK,Temple,American,Girondins de Bordeaux,Reading United,Loudoun United
22,New York City FC,Jesus Perez,MF,UIC,Horizon,Chicago Fire FC,Chicago FC United,Tacoma Defiance
23,Atlanta United FC,Patrick Nielsen,DF,Michigan State,Big Ten,Hvidovre IF,Flint City Bucks,Atlanta United 2
24,Los Angeles FC,Paulo Pita,GK,Marshall,C-USA,Oklahoma FC 97,FC Wichita,North Carolina FC
25,Toronto FC,Ifunanyachi Achara,FW,Georgetown,Big East,Chicago Magic PSG,Black Rock FC,Toronto FC
26,Chicago Fire FC,Jonathan Jimenez,DF,Pacific,WCC,,Portland Timbers U23,Rio Grande Valley FC
