Artist,Country,Number-one single(s),Year,Weeks at #1
The Walker Brothers,United States,Make It Easy on Yourself,1965,1
The Walker Brothers,United States,The Sun Ain't Gonna Shine Anymore,1966,4
Wamdue Project,United States,King of My Castle,1999,1
The Wanted,England / Ireland,All Time Low,2010,1
The Wanted,England / Ireland,Glad You Came,2011,2
Wanz,United States,Thrift Shop,2013,1
Anita Ward,United States,Ring My Bell,1979,2
Shayne Ward,England,That's My Goal,2005,4
Alex Warren,United States,Ordinary,2025,13
Tion Wayne,England,Body,2021,3
The Weeknd,Canada,Blinding Lights,2020,8
Florence Welch,England,Sweet Nothing,2012,1
Kanye West,United States,Stronger,2007,2
Kanye West,United States,American Boy,2008,4
Kanye West,United States,Run This Town,2009,1
Westlife,Ireland,Swear It Again,1999,2
Westlife,Ireland,If I Let You Go,1999,1
Westlife,Ireland,Flying Without Wings,1999,1
Westlife,Ireland,I Have a Dream / Seasons in the Sun,1999,4
Westlife,Ireland,Fool Again,2000,1
Westlife,Ireland,Against All Odds,2000,2
Westlife,Ireland,My Love,2000,1
Westlife,Ireland,Uptown Girl,2001,1
Westlife,Ireland,Queen of My Heart,2001,1
Westlife,Ireland,World of Our Own,2002,1
Westlife,Ireland,Unbreakable,2002,1
Westlife,Ireland,Mandy,2003,1
Westlife,Ireland,You Raise Me Up,2005,2
Westlife,Ireland,The Rose,2006,1
Wet Wet Wet,Scotland,With a Little Help from My Friends,1988,4
Wet Wet Wet,Scotland,Goodnight Girl,1992,4
Wet Wet Wet,Scotland,Love Is All Around,1994,15
Wham!,England,Wake Me Up Before You Go-Go,1984,2
Wham!,England,Freedom,1984,3
Wham!,England,I'm Your Man,1985,2
Wham!,England,The Edge of Heaven,1986,2
Wham!,England,Last Christmas,2021,10
Whigfield,Denmark,Saturday Night,1994,4
Barry White,United States,"You're the First, the Last, My Everything",1974,2
White Town,India / England,Your Woman,1997,1
David Whitfield,England,Answer Me,1953,2
David Whitfield,England,Cara Mia,1954,10
Slim Whitman,United States,Rose Marie,1955,11
Wiley,England,Heatwave,2012,2
will.i.am,United States,OMG,2010,1
will.i.am,United States,This Is Love,2012,1
will.i.am,United States,Hall of Fame,2012,2
will.i.am,United States,Scream & Shout,2013,2
will.i.am,United States,It's My Birthday,2014,1
Andy Williams,United States,Butterfly,1957,2
Danny Williams,South Africa,Moon River,1961,2
Deniece Williams,United States,Free,1977,2
Hayley Williams,United States,Airplanes,2010,1
Pharrell Williams,United States,Get Lucky,2013,4
Pharrell Williams,United States,Blurred Lines,2013,5
Pharrell Williams,United States,Happy,2013,4
Pharrell Williams,United States,Feels,2017,1
Robbie Williams,England,Millennium,1998,1
Robbie Williams,England,She's the One / It's Only Us,1999,1
Robbie Williams,England,Rock DJ,2000,1
Robbie Williams,England,Eternity/The Road to Mandalay,2001,2
Robbie Williams,England,Somethin' Stupid,2001,3
Robbie Williams,England,Radio,2004,1
Robbie Williams,England,Candy,2012,2
Chris Willis,United States,Gettin' Over You,2010,1
Jackie Wilson,United States,Reet Petite,1986,4
BeBe Winans,United States,I Wanna Be the Only One,1997,1
Mario Winans,United States,I Don't Wanna Know,2004,2
Wings,England / United States,Mull of Kintyre / Girls' School,1977,9
St Winifred's School Choir,England,There's No One Quite Like Grandma,1980,2
Cody Wise,United States,It's My Birthday,2014,1
Wizkid,Nigeria,One Dance,2016,15
Wizzard,England,See My Baby Jive,1973,4
Wizzard,England,Angel Fingers,1973,1
Stevie Wonder,United States,Ebony and Ivory,1982,3
Stevie Wonder,United States,I Just Called to Say I Love You,1984,6
The Wonder Stuff,England,Dizzy,1991,2
Wretch 32,England,Don't Go,2011,1
The Wurzels,England,Combine Harvester,1976,2
Tammy Wynette,United States,Stand by Your Man,1975,3
