Year,Nominated Work,Award,Result
1998,Usher,Artist of the Year,Won
1998,Usher,Hot 100 Singles Artist of the Year,Won
1998,Usher,R&B/Hip-hop Artist of the Year,Won
1998,Usher,R&B/Hip-Hop Singles Artist of the Year,Nominated
1998,Nice & Slow,R&B/Hip-hop Airplay singles track of the Year,Nominated
1998,My Way,Male Album of the Year,Nominated
2002,Usher,Male Artist of the Year,Nominated
2002,Usher,Hot 100 Singles Artist of the Year,Nominated
2002,Usher,Hot 100 Singles Male Artist of the Year,Nominated
2002,Usher,R&B/Hip-Hop Artist of the Year,Nominated
2002,Usher,R&B/Hip-Hop Singles Artist of the Year,Nominated
2002,U Don't Have to Call,R&B/Hip-hop Single of the Year,Nominated
2004,Usher,Artists of the Year,Won
2004,Usher,Hot 100 Artists of the Year,Won
2004,Usher,Billboard 200 Artist of the Year,Won
2004,Usher,Mainstream Top 40 Artist of the Year,Won
2004,Usher,R&B/Hip-Hop Artists of the Year,Won
2004,Usher,R&B/Hip-Hop Albums Artists of the Year,Won
2004,Usher,R&B/Hip-Hop Singles Artists of the Year,Nominated
2004,Usher,Digital Artist of the Year,Nominated
2004,Burn,Hot 100 Single of the Year,Nominated
2004,Burn,Hot 100 Airplay Single of the Year,Nominated
2004,Burn,R&B/Hip-hop Single of the Year,Nominated
2004,Burn,R&B/Hip-hop Airplay Single of the Year,Nominated
2004,Yeah!,R&B/Hip-hop Airplay Single of the Year,Nominated
2004,Yeah!,R&B/Hip-hop Single of the Year,Nominated
2004,Yeah!,Hot 100 Airplay Single of the Year,Won
2004,Yeah!,Hot 100 Single of the Year,Won
2004,Yeah!,Mainstream Top 40 Single of the Year,Won
2004,Confessions,Billboard 200 Albums of the Year,Won
2004,Confessions,R&B/Hip-Hop Album of the Year,Won
2005,Lovers and Friends,R&B/Hip-Hop Single of the Year,Nominated
2005,Lovers and Friends,R&B/Hip-hop Airplay Single of the Year,Nominated
2005,Lovers and Friends,Ringtone of the Year,Nominated
2005,Lovers and Friends,Rap single of the Year,Won
2011,DJ Got Us Fallin' In Love,Top Radio Song,Nominated
2011,OMG,Top Radio Song,Nominated
2011,OMG,Top Hot 100 Song,Nominated
2011,OMG,Top R&B Song,Won
2011,There Goes My Baby,Top R&B Song,Nominated
2011,Usher,Top Hot 100 Artists,Nominated
2011,Usher,Top Male Artists,Nominated
2011,Usher,Top R&B Artists,Won
2011,Usher,Top Radio Songs Artists,Nominated
2011,Raymond V Raymond,Top R&B Album,Won
2012,Promise,Top Latin Song,Nominated
2012,Without You,Top Dance Song,Nominated
2012,Without You,Top Streaming Song,Nominated
2013,Usher,R&B Artist of the Year,Nominated
2013,Looking 4 Myself,R&B Album of the Year,Nominated
2022,Usher,Top R&B Tour,Nominated
