Film,No,Song,Composer(s),Writer(s),Co-artist(s)
Aadanthe Ado Type,95,O Prema O Prema,Yuvan Shankar Raja,Surendra Krishna,
Aayudham,96,Abba Yem,Vandemataram Srinivas,Srivare,Anuradha Sriram
Aayudham,97,Meghaale Eevela,Vandemataram Srinivas,Warangal Srinivas,Swarnalatha
Ammulu,98,Dekho Allah,Vandemataram Srinivas,Gundavarapu Subbarao,
Boys,99,Ayyappa,A. R. Rahman,A. M. Rathnam,
Chantigadu,100,Kokkoroko,Vandemataram Srinivas,Kasarla Shyam,
Danush,101,Chinna Papa,Dhina,Bhuvana Chandra,Prasanna
Dham,102,Addira Banna,Ramana Gogula,Surendra Krishna,K. S. Chithra
Dongodu,103,Kodi Munda Guddu,Vidyasagar,Chandrabose,Rimi Tomy
Goa,104,Entha Muddho,Krishna Vasa,T Mani Sharma,Sunitha Upadrashta
Janaki Weds Sriram,105,Eiffel Toweraina,Ghantadi Krishna,Taidala Babu,Sureka Murthy
Juniors,106,Hello Hello,Chakri,Pothula Ravi Kiran,Kousalya
Kalyana Ramudu,107,Sitakokamma,Mani Sharma,Chandrabose,S. P. Charan
Kalyana Ramudu,108,Dolu Baaja Sannayi,Mani Sharma,Sirivennela Sitaramasastri,
Kalyana Ramudu,109,Guthonkaaya,Mani Sharma,Chandrabose,Sujatha Mohan
Missamma,110,Entha Sukhamidho,Vandemataram Srinivas,Bhuvana Chandra,Shreya Ghoshal
Neeku Nenu Naaku Nuvvu,111,Prema Kanna,R. P. Patnaik,Kulashekar,K. S. Chithra
Neetho Vastha,112,One Two Three,M. M. Srilekha,Veturi Sundara Ramamurhty,
Nenu Pelliki Ready,113,Chandramukhi,Chakri,Paidipalli Srinivas,Kousalya
Nenu Pelliki Ready,114,Saavi One,Chakri,Bhaskarabhatla,Smitha
O Radha Iddaru Krishnula Pelli,115,Naa Gunde Kaalam,Chakri,Paidipalli Srinivas,Kousalya
Okkadu,116,Hare Rama,Mani Sharma,Sirivennela Sitamramsastri,
Ottesi Cheputhunna,117,Bandharulanti,Vidyasagar,,Swarnalatha
Ottu Ee Ammayi Evaro Theleedhu,118,Nee Shepu Choosi,Ghantadi Krishna,Jayasurya,Ganga Sitharasu
Palnati Brahmanayudu,119,Bandarulo,Mani Sharma,Veturi Sundara Ramamurhty,K. S. Chithra
Praanam,120,Dhim Dhim Dhim,Kamalakar,Suddala Ashok Teja,Kalpana Raghavendar
Premayanamaha,121,Ennalluga,Ramesh Erra,Chandrabose,
Raghavendra,122,Calcutta Pan,Mani Sharma,Suddala Ashok Teja,K. S. Chithra
Satyam,123,Madhurame,Chakri,Kandikonda,
Sivamani,124,Sun Sun,Chakri,Kandikonda,Kousalya
Tagore,125,Kodithe Kottaalira,Mani Sharma,Chandrabose,
Toli Choopulone,126,Echecha,Chakri,Bhaskarabhatla,
Toli Choopulone,127,Sakhiya Sakhiya,Chakri,Kandikonda,Kousalya
Vasantam,128,O Lolly Papaki,S. A. Rajkumar,Chandrabose,
Veede,129,Andhamaina Papa Peru,Chakri,Bhaskarabhatla,Kousalya
Villain,130,Vaadichoopo,Vidyasagar,Veturi Sundara Ramamurhty,Sujatha Mohan
Vishnu,131,Vandhanam,Ismail Darbar,Bhuvana Chandra,
