Year,Award,Category,Recipient,Result
2019,13th Korean Media Awards,Best TV Show on Digital Terrestrial Television,When the Camellia Blooms,Won
2019,2019 KBS Drama Awards,Grand Prize,Gong Hyo-jin,Won
2019,2019 KBS Drama Awards,"Top Excellence Award, Actor",Kang Ha-neul,Won
2019,2019 KBS Drama Awards,"Top Excellence Award, Actress",Go Doo-shim,Nominated
2019,2019 KBS Drama Awards,"Top Excellence Award, Actress",Gong Hyo-jin,Nominated
2019,2019 KBS Drama Awards,"Excellence Award, Actor in a Mid-length Drama",Kang Ha-neul,Nominated
2019,2019 KBS Drama Awards,"Excellence Award, Actor in a Mid-length Drama",Kim Ji-suk,Won
2019,2019 KBS Drama Awards,"Excellence Award, Actress in a Mid-length Drama",Go Doo-shim,Nominated
2019,2019 KBS Drama Awards,"Excellence Award, Actress in a Mid-length Drama",Gong Hyo-jin,Nominated
2019,2019 KBS Drama Awards,"Excellence Award, Actress in a Mid-length Drama",Lee Jung-eun,Won
2019,2019 KBS Drama Awards,Best Supporting Actor,Jeon Bae-soo,Nominated
2019,2019 KBS Drama Awards,Best Supporting Actor,Oh Jung-se,Won
2019,2019 KBS Drama Awards,Best Supporting Actress,Kim Sun-young,Nominated
2019,2019 KBS Drama Awards,Best Supporting Actress,Yeom Hye-ran,Won
2019,2019 KBS Drama Awards,Best Child Actor,Kim Kang-hoon,Won
2019,2019 KBS Drama Awards,Best Child Actress,Kim Dan-woo,Nominated
2019,2019 KBS Drama Awards,Best Child Actress,Seo Yi-soo,Nominated
2019,2019 KBS Drama Awards,Best New Actress,Son Dam-bi,Won
2019,2019 KBS Drama Awards,"Netizen Award, Actor",Kang Ha-neul,Won
2019,2019 KBS Drama Awards,"Netizen Award, Actor",Kim Ji-seok,Nominated
2019,2019 KBS Drama Awards,"Netizen Award, Actor",Oh Jung-se,Nominated
2019,2019 KBS Drama Awards,"Netizen Award, Actress",Gong Hyo-jin,Nominated
2019,2019 KBS Drama Awards,"Netizen Award, Actress",Lee Jung-eun,Nominated
2019,2019 KBS Drama Awards,"Netizen Award, Actress",Son Dam-bi,Nominated
2019,2019 KBS Drama Awards,Best Couple Award,Gong Hyo-jin and Kang Ha-neul,Won
2019,2019 KBS Drama Awards,Best Couple Award,Oh Jung-se and Yeom Hye-ran,Won
2019,2019 KBS Drama Awards,Best Couple Award,Kim Ji-seok and Kim Kang-hoon,Nominated
2019,2019 KBS Drama Awards,Best Writer,Lim Sang-choon,Won
2020,32nd Korea Producer Awards,Best Drama,When the Camellia Blooms,Won
2020,56th Baeksang Arts Awards,Grand Prize,When the Camellia Blooms,Won
2020,56th Baeksang Arts Awards,Best Drama,When the Camellia Blooms,Nominated
2020,56th Baeksang Arts Awards,Best Director,Cha Yeong-hoon,Nominated
2020,56th Baeksang Arts Awards,Best Screenplay,Lim Sang-choon,Won
2020,56th Baeksang Arts Awards,Best Actor,Kang Ha-neul,Won
2020,56th Baeksang Arts Awards,Best Actress,Gong Hyo-jin,Nominated
2020,56th Baeksang Arts Awards,Best Supporting Actor,Oh Jung-se,Won
2020,56th Baeksang Arts Awards,Best Supporting Actress,Son Dam-bi,Nominated
2020,56th Baeksang Arts Awards,Best Supporting Actress,Yeom Hye-ran,Nominated
2020,56th Baeksang Arts Awards,Best New Actor,Kim Kang-hoon,Nominated
2020,47th Korea Broadcasting Awards,Best TV Drama,When the Camellia Blooms,Won
2020,47th Korea Broadcasting Awards,Best Screenwriter,Lim Sang-choon,Won
2020,47th Korea Broadcasting Awards,Best Actor,Kang Ha-neul,Won
2020,15th Seoul International Drama Awards,Best Mini-Series,When the Camellia Blooms,Nominated
2020,15th Seoul International Drama Awards,Top Excellence Award for Korean Drama,When the Camellia Blooms,Won
2020,15th Seoul International Drama Awards,Best Screenwriter,Lim Sang-choon,Won
2020,15th Seoul International Drama Awards,Best Actor,Kang Ha-neul,Nominated
2020,15th Seoul International Drama Awards,Outstanding Korean Actor,Kang Ha-neul,Won
2020,15th Seoul International Drama Awards,Best Actress,Gong Hyo-jin,Won
2020,15th Seoul International Drama Awards,Outstanding Korean Drama OST,Punch,Won
2020,2nd Asia Contents Awards,Best Asian Drama,When The Camellia Blooms,Won
2020,2nd Asia Contents Awards,Best Actor,Kang Ha-neul,Nominated
2021,7th APAN Star Awards,Grand Prize,Gong Hyo-jin,Nominated
2021,7th APAN Star Awards,"Top Excellence Award, Actor in Miniseries",Kang Ha-neul,Won
2021,7th APAN Star Awards,Drama of the Year,When The Camellia Blooms,Nominated
2021,7th APAN Star Awards,Best Director,Cha Young-hoon,Won
2021,7th APAN Star Awards,Best Supporting Actress,Lee Jung-eun,Nominated
2021,7th APAN Star Awards,Best Supporting Actress,Yeom Hye-ran,Nominated
2021,7th APAN Star Awards,Best Supporting Actress,Son Dam-bi,Nominated
2021,7th APAN Star Awards,"Popular Star Award, Actor",Kang Ha-neul,Nominated
2021,7th APAN Star Awards,"Popular Star Award, Actress",Gong Hyo-jin,Nominated
