Release,Ep #,DVD release date,Bonus features
The Complete 1st Season,13,"September 26, 2006","Featurette: Mama's Family Tree: The Branches  Family History: A Classic Family Sketch from The Carol Burnett Show, featuring Betty White"
The Complete 2nd Season,22,"September 10, 2013",The original TV movie Eunice Featurette: Mama's Family Tree: The Roots  Interviews: Vicki Lawrence interviews Mama; Vicki Lawrence and Carol Burnett; Betty White
The Complete 3rd Season,25,"February 25, 2014","Family History: A Classic Family Sketch from The Carol Burnett Show, featuring Maggie Smith Featurette: Mama's Family Tree: The Sprouts   Mama Knows Best: A Mama's Family Cast Reunion Interview: Allan Kayser"
The Complete 4th Season,25,"June 24, 2014",Featurette: Mama's Family Tree: The Neighbors  Interview: Beverly Archer  Under One Roof: A Mama's Family Cast Reunion
The Complete 5th Season,25,"September 23, 2014",Interviews: Vicki Lawrence Dorothy Lyman Ken Berry Rick Hawkins
The Complete 6th Season,20,"February 10, 2015",Interviews: Jim Evering Manny Basanese Vicki Lawrence and Rick Hawkins Bob Mackie and Ret Turner
Mama's Family: Mama's Favorites,7,"September 10, 2013","Vint and the Kids Move In, The Wedding, pt. 1, The Wedding, pt. 2; Cellmates, Family Feud, Positive Thinking, Mama's Boyfriend"
Mama's Family: Mama's Favorites,6,"September 10, 2013","Country Club, Rashomama, Aunt Gert Rides Again, Mama Learns to Drive, Mama Buys a Car, Dear Aunt Fran"
Mama's Family: Mama's Favorites,6,"September 9, 2014","Soup to Nuts, Cat's Meow, Steal One, Pearl Two, Where There's Smoke, Birthright, It Takes Two to Watusi"
Mama's Family: Mama's Favorites,6,"January 27, 2015","Zirconia's are a Girl's Best Friend, Educating Mama, The Sins of the Mother, Mama on Jeopardy!, Mama Goes Hawaiian, pt. 1, Mama Goes Hawaiian, pt. 2"
Mama's Family: Mama's Favorites,6,"April 28, 2015","Naomi's New Position; The Really Loud Family, Found Money, Mama's Layaway Plan, Mama in One, Dependence Day"
Mama's Family: Mama's Favorites,6,"July 28, 2015","Mama Fights Back, Bubba's House Band, The Big Nap, Pinup Mama, Look Who's Breathing, Bye-Bye Baby!"
The Complete Series,130,"September 10, 2013  September 23, 2014",
