Manufacturer,Team,No.,Driver,Crew chief
Ford,DGR-Crosley,4,Hailie Deegan,Seth Smith
Ford,DGR-Crosley,17,Tanner Gray 6,Blake Bainbridge
Ford,DGR-Crosley,17,Taylor Gray 12,Blake Bainbridge
Ford,DGR-Crosley,17,Anthony Alfredo 1,Blake Bainbridge
Ford,DGR-Crosley,17,Dylan Lupton 1,Marcus Richmond
Toyota,Joe Gibbs Racing,18,Riley Herbst 4,Mark McFarland
Toyota,Joe Gibbs Racing,18,Ty Gibbs 16,Mark McFarland
Toyota,Venturini Motorsports,15,Drew Dollar,Shannon Rursch
Toyota,Venturini Motorsports,20,Ryan Repko 5,Billy Venturini
Toyota,Venturini Motorsports,20,Chandler Smith 13,Billy Venturini
Toyota,Venturini Motorsports,20,Jesse Love 1,Billy Venturini
Toyota,Venturini Motorsports,20,Corey Heim 1,Billy Venturini
Toyota,Venturini Motorsports,25,Michael Self,Kevin Reed
Toyota 10 Ford 5 Chevrolet 5,Venturini Motorsports,10,Corey Heim 1,Kevin Reed Jr.
Toyota 10 Ford 5 Chevrolet 5,Fast Track Racing,10,Ryan Huff 7,Dick Doheny 1 Mike Sroufe 3 Kevin Cram 7 Trey Galgon 3 Tim Monroe 5
Toyota 10 Ford 5 Chevrolet 5,Fast Track Racing,10,Mike Basham 6,Dick Doheny 1 Mike Sroufe 3 Kevin Cram 7 Trey Galgon 3 Tim Monroe 5
Toyota 10 Ford 5 Chevrolet 5,Fast Track Racing,10,Morgen Baird 1,Dick Doheny 1 Mike Sroufe 3 Kevin Cram 7 Trey Galgon 3 Tim Monroe 5
Toyota 10 Ford 5 Chevrolet 5,Fast Track Racing,10,Owen Smith 2,Dick Doheny 1 Mike Sroufe 3 Kevin Cram 7 Trey Galgon 3 Tim Monroe 5
Toyota 10 Ford 5 Chevrolet 5,Fast Track Racing,10,Tim Monroe 1,Dick Doheny 1 Mike Sroufe 3 Kevin Cram 7 Trey Galgon 3 Tim Monroe 5
Toyota 10 Ford 5 Chevrolet 5,Fast Track Racing,10,Rick Clifton 1,Dick Doheny 1 Mike Sroufe 3 Kevin Cram 7 Trey Galgon 3 Tim Monroe 5
Toyota 8 Ford 6 Chevrolet 6,Fast Track Racing,11,Chuck Hiers 1,David Ifft
Toyota 8 Ford 6 Chevrolet 6,Fast Track Racing,11,Dawson Cram 1,Clinton Cram
Toyota 8 Ford 6 Chevrolet 6,Fast Track Racing,11,Willie Mullins 2,Dick Doheny 3 Trey Galgon 6 Tony Furr 1  Mike Sroufe 3 Tim Monroe 4
Toyota 8 Ford 6 Chevrolet 6,Fast Track Racing,11,Clay Greenfield 1,Dick Doheny 3 Trey Galgon 6 Tony Furr 1  Mike Sroufe 3 Tim Monroe 4
Toyota 8 Ford 6 Chevrolet 6,Fast Track Racing,11,Mike Basham 4,Dick Doheny 3 Trey Galgon 6 Tony Furr 1  Mike Sroufe 3 Tim Monroe 4
Toyota 8 Ford 6 Chevrolet 6,Fast Track Racing,11,Dick Doheny 1,Dick Doheny 3 Trey Galgon 6 Tony Furr 1  Mike Sroufe 3 Tim Monroe 4
