Rank,Player,Club,Goals
1,Raphel Success,Ayeyawady United,16
2,Patrick Edubat,Sagaing United,14
3,Francis Emeka,Hanthawady United,13
3,Donald Bissa,Hanthawady United,13
5,Win Naing Soe,Yadanarbon,10
6,Pyae Moe,Magwe,9
7,Emmanuel Uzochukwu,Yangon United,8
7,Ernest Barfo,Yangon United,8
9,Zin Min Tun,Shan United,7
10,Hein Htet Aung,Hanthawady United,6
10,Dway Ko Ko Chit,Shan United,6
10,Keith Martu Nah,Shan United,6
10,Nanda Kyaw,Shan United,6
10,Myo Ko Tun,Yadanarbon,6
10,Aung Thu,Yadanarbon,6
10,Kyi Lin,Yangon United,6
15,Than Htet Aung,Ayeyawady United,5
15,Myo Zaw Oo,Hanthawady United,5
15,Kyi Soe,I.S.P.E,5
15,Aung Myat Thu,Southern Myanmar,5
20,Kaung Myat Thu,Ayeyawady United,4
20,Naing Naing Kyaw,Magwe,4
20,Hlaing Bo Bo,Yadanarbon,4
20,Kaung Myat Thu,Ayeyawady United,3
20,Thiha Zaw,Ayeyawady United,3
20,Kaung Myat Kyaw,Rakhine United,3
20,Ti Nyein Minn,Rakhine United,3
20,Barnabas Friday,Sagaing United,3
20,Myo Min Phyo,Sagaing United,3
20,Maximum,Shan United,3
20,Maung Maung Lwin,Yangon United,3
20,Kaung Htet Soe,Yangon United,3
30,Win Naing Tun,Ayeyawady United,2
30,Yar Zar Aung,Ayeyawady United,2
30,Khin Kyaw Win,I.S.P.E,2
30,Thein Zaw,Magwe,2
30,Aung Myint Tun,Magwe,2
30,Wai Yan Tun,Magwe,2
30,Chan Oo,Rakhine United,2
30,Alexander,Rakhine United,2
30,Kyaw Swar Min,Sagaing United,2
30,Yakubu Abubakar,Shan United,2
30,Hein Phyo Win,Shan United,2
30,David Htan,Shan United,2
30,Ernest Aboubacar Congo,Yangon United,2
30,Yan Naing Oo,Yangon United,2
30,Shori Murata,Yangon United,2
46,Tin Win Aung,Ayeyawady United,1
46,Aung Naing Win,Ayeyawady United,1
46,Ye Lin Htet,Ayeyawady United,1
46,Victor Kamhuka,Ayeyawady United,1
46,Aung Moe Htwe,Hanthawady United,1
46,Aung Moe Htwe,Hanthawady United,1
46,Aung Myo Thura,Hanthawady United,1
46,Aung Hlaing Win,Hanthawady United,1
46,Zaw Moon Aung,I.S.P.E,1
46,Wai Lin Aung,I.S.P.E,1
46,Thant Zin Myint,I.S.P.E,1
46,Lin Htet Soe,I.S.P.E,1
46,Ban Htoung Kyae O,I.S.P.E,1
46,Thiha,Magwe,1
46,Soe Lwin Lwin,Magwe,1
46,Aung Zaw Myint,Magwe,1
46,Soe Lwin Lwin,Magwe,1
46,Aung Thant Zaw,Rakhine United,1
46,Min Ko Thu,Rakhine United,1
46,Aung Kyaw Thu,Rakhine United,1
46,Nay Myo Aung,Rakhine United,1
46,Ye Win Aung,Rakhine United,1
46,Zaw Lin Htet,Sagaing United,1
46,Aung Hein Kyaw,Sagaing United,1
46,Set Phyo Wai,Shan United,1
46,Shwe Ko,Shan United,1
46,Ye Min Thu,Shan United,1
46,Zar Nay Ya Thu,Shan United,1
46,Daniel Tagoe,Shan United,1
46,Phone Myat Kyaw,Southern Myanmar,1
46,Swan Htet Aung,Southern Myanmar,1
46,Yan Kyaw Htwe,Southern Myanmar,1
46,Chan Nyein,Southern Myanmar,1
46,Phyo Paing Soe,Southern Myanmar,1
46,Zaw Ye Tun,Yadanarbon,1
46,Myat Kaung Khant,Yadanarbon,1
46,Sithu Aung,Yadanarbon,1
46,Zarni Htet,Yangon United,1
46,Than Paing,Yangon United,1
46,Aee Soe,Yangon United,1
46,Soe Min Naing,Yangon United,1
46,Yan Pai Soe,Yangon United,1
46,Nyein Chan Aung,Yangon United,1
